"","adm2","adm2.hdx","country","lat.hdx","lon.hdx"
"1","north western tigray",NA,"Ethiopia",NA,NA
"2","central tigray",NA,"Ethiopia",NA,NA
"3","eastern tigray",NA,"Ethiopia",NA,NA
"4","south tigray",NA,"Ethiopia",NA,NA
"5","western tigray",NA,"Ethiopia",NA,NA
"6","north gondar","north gondar","Ethiopia",13.2286458601374,38.0655869181872
"7","south gondar","south gondar","Ethiopia",11.748347838019,38.1205225725111
"8","north wollo",NA,"Ethiopia",NA,NA
"9","south wolo",NA,"Ethiopia",NA,NA
"10","north shewa",NA,"Ethiopia",NA,NA
"11","east gojjam","east gojam","Ethiopia",10.5057676949891,37.930953315899
"12","west gojjam","west gojam","Ethiopia",11.0809698366555,37.2130306353483
"13","wag himra",NA,"Ethiopia",NA,NA
"14","awi","awi","Ethiopia",11.1946942600997,36.5970811505316
"15","oromiya","oromia","Ethiopia",10.7406891772303,40.0107300228982
"16","west wellega","west wellega","Ethiopia",9.33492889819328,35.3011029783575
"17","east wellega","east wellega","Ethiopia",9.40466345692432,36.6173127022048
"18","ilu aba bora","ilu aba bora","Ethiopia",8.26198155756749,35.486374677766
"19","jimma","jimma","Ethiopia",7.91870599500271,36.834945022939
"20","west shewa","west shewa","Ethiopia",9.17449776245522,37.8188746395105
"21","east shewa","east shewa","Ethiopia",8.49452707793664,39.1680673918271
"22","arsi","arsi","Ethiopia",7.93683791474398,39.6823632647787
"23","west hararge","west hararge","Ethiopia",8.66998016912279,40.7732406485474
"24","east hararge","east hararge","Ethiopia",8.8374670729726,42.0000246696421
"25","bale","bale","Ethiopia",6.36006504197746,40.1150135253691
"26","borena","borena","Ethiopia",4.46312206182138,38.2681073420985
"27","south west shewa","south west shewa","Ethiopia",8.57938869856556,38.1384114041998
"28","guji","guji","Ethiopia",5.56570810540431,39.1945633475587
"29","west arsi","west arsi","Ethiopia",7.05871186049767,38.9802986686365
"30","qeleme wellega",NA,"Ethiopia",NA,NA
"31","horo gudru wellega","horo gudru wellega","Ethiopia",9.70967073138076,37.1972712515631
"32","shinile",NA,"Ethiopia",NA,NA
"33","jijjiga",NA,"Ethiopia",NA,NA
"34","liben",NA,"Ethiopia",NA,NA
"35","metekel","metekel","Ethiopia",11.0009620990386,35.7694090338425
"36","assosa","assosa","Ethiopia",10.2249448057327,34.7121047914583
"37","kamashi","kamashi","Ethiopia",9.91670636554386,35.7995861821153
"38","mao komo",NA,"Ethiopia",NA,NA
"39","hadiya","hadiya","Ethiopia",7.51464210244157,37.7581908481202
"40","kembata timbaro","kembata tembaro","Ethiopia",7.2884646720975,37.7448731877057
"41","sidama","sidama","Ethiopia",6.66413715584049,38.5458731117656
"42","wolayita","wolayita","Ethiopia",6.86277331130538,37.7235714106058
"43","south omo","south omo","Ethiopia",5.38025033318085,36.3774745476246
"44","sheka","sheka","Ethiopia",7.5375117986437,35.4127400869609
"45","kefa","kefa","Ethiopia",7.22761835899923,36.0780949603626
"46","gamo gofa",NA,"Ethiopia",NA,NA
"47","bench maji",NA,"Ethiopia",NA,NA
"48","amaro special",NA,"Ethiopia",NA,NA
"49","burji special",NA,"Ethiopia",NA,NA
"50","konso special",NA,"Ethiopia",NA,NA
"51","derashe lyiu wereda",NA,"Ethiopia",NA,NA
"52","basketo","basketo","Ethiopia",6.28173836355782,36.5597976112744
"53","alaba",NA,"Ethiopia",NA,NA
"54","agnewak","agnewak","Ethiopia",7.54728631838161,34.4556118099526
"55","mejenger",NA,"Ethiopia",NA,NA
"56","none",NA,"Ethiopia",NA,NA
"57","kayes","kayes","Mali",14.5230481049819,-11.4739356723726
"58","bafoulabe","bafoulabe","Mali",13.7071183717099,-10.5714685201196
"59","diema","diema","Mali",14.5900925673214,-9.17860904140922
"60","kenieba","kenieba","Mali",12.7035404184783,-11.0160527839213
"61","kita","kita","Mali",13.2277774265515,-9.43400453492344
"62","nioro","nioro","Mali",15.0697415349165,-9.60348547171106
"63","yelimane","yelimane","Mali",15.1014377838744,-10.5390345935515
"64","koulikoro","koulikoro","Mali",13.1626498985085,-7.36672906822719
"65","banamba","banamba","Mali",13.856991754948,-7.30835202005964
"66","diolia",NA,"Mali",NA,NA
"67","kangaba","kangaba","Mali",11.9355438134132,-8.5832836888062
"68","kati","kati","Mali",12.519799699887,-8.12805573738711
"69","kolokani","kolokani","Mali",13.7761687465742,-8.15847336587307
"70","nara","nara","Mali",14.9355318400018,-7.52673882294701
"71","sikasso","sikasso","Mali",11.5028347430748,-5.91117511432454
"72","bougouni","bougouni","Mali",11.3213863137774,-7.36461656156327
"73","kadiolo","kadiolo","Mali",10.6307775309333,-5.85060688312826
"74","kolondieba","kolondieba","Mali",10.9079045970665,-6.74822470526995
"75","koutiala","koutiala","Mali",12.3910905486397,-5.55456373501367
"76","yanfolila","yanfolila","Mali",10.9515601943811,-8.08982201198697
"77","yorosso","yorosso","Mali",12.3424604435526,-4.77619011465015
"78","segou","segou","Mali",13.6770053630614,-6.19054044986886
"79","baroueli","baraoueli","Mali",13.0455282884442,-6.65334244345811
"80","bla","bla","Mali",12.9411099429986,-5.78502588285389
"81","macina","macina","Mali",13.9941128834832,-5.37065232667496
"82","niono","niono","Mali",14.870521973047,-5.89689824004085
"83","san","san","Mali",13.1750856114119,-4.94540907167832
"84","tominian","tominian","Mali",13.28185030181,-4.38188372438755
"85","mopti","mopti","Mali",14.7550142174887,-4.10104700277929
"86","bandiagara","bandiagara","Mali",14.4913352142472,-3.61375297639549
