hhID,crop,crop_area_share,planting_month,planting_year,plotID,harvest_month_begin,harvest_month_end,adm1,adm2,adm3,latitude,longitude,plot_area_reported,plot_area_reported_unit,plot_area_measured,season,harvest_year,harvest_year_begin,harvest_year_end,source,country,harvest_month
010101088800910007,sorghum,NA,6,2010,1_2,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,0.1875,3. Timad,0.16247999999999999,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910007,maize,NA,6,2010,1_3,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,NA,7. Tilm,0.055366,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910017,sorghum,NA,6,2010,1_2,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,NA,7. Tilm,0.031219999999999998,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910017,red pepper,NA,6,2010,1_3,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,NA,8. Medeb,0.00173,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910017,sorghum,NA,6,2010,2_1,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,0.25,3. Timad,0.213534,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910038,maize,NA,5,2010,1_2,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,NA,7. Tilm,0.023071,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910038,sorghum,NA,6,2010,2_1,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,1,3. Timad,0.863241,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910038,maize,NA,6,2010,2_2,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,NA,7. Tilm,0.024531,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910038,millet,NA,5,2010,3_1,10,12,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,6,1. Hectare,1.203407,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
010101088800910038,sesame,NA,7,2010,3_2,10,10,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,1.75,3. Timad,1.319446,NA,NA,NA,NA,ETH_2018_ESS_v02_M,Ethiopia,NA
