Value;Category;Adm_level;;;
1;Kayes;1;;;
2;Koulikoro;1;;;
3;Sikasso;1;;;
4;Ségou;1;;;
5;Mopti;1;;;
6;Tombouctou;1;;;
7;Gao;1;;;
8;Kidal;1;;;
9;Bamako;1;;;
11;kayes;2;;;
12;bafoulabe;2;;;
13;diema;2;;;
14;kenieba;2;;;
15;kita;2;;;
16;nioro;2;;;
17;yelimane;2;;;
21;koulikoro;2;;;
22;banamba;2;;;
23;dioila;2;;;
24;kangaba;2;;;
25;kati;2;;;
26;kolokani;2;;;
27;nara;2;;;
31;sikasso;2;;;
32;bougouni;2;;;
33;kadiolo;2;;;
34;kolondieba;2;;;
35;koutiala;2;;;
36;yanfolila;2;;;
37;yorosso;2;;;
41;segou;2;;;
42;baroueli;2;;;
43;bla;2;;;
44;macina;2;;;
45;niono;2;;;
46;san;2;;;
47;tominian;2;;;
51;mopti;2;;;
52;bandiagara;2;;;
53;bankass;2;;;
54;djenne;2;;;
55;douentza;2;;;
56;koro;2;;;
57;tenenkou;2;;;
58;youwarou;2;;;
61;tombouctou;2;;;
62;dire;2;;;
63;goundam;2;;;
64;GOURMA-RHAROUS;2;;;
65;niafunke;2;;;
71;gao;2;;;
72;ansongo;2;;;
73;bourem;2;;;
75;almoustrat;2;;;
81;kidal;2;;;
82;abeibara;2;;;
83;tessalit;2;;;
84;TIN-ESSAKO;2;;;
85;achibogho;2;;;
91;Commune I - BAMAKO;2;;;
92;Commune II - BAMAKO;2;;;
93;Commune III - BAMAKO;2;;;
94;Commune IV - BAMAKO;2;;;
95;Commune V - BAMAKO;2;;;
96;Commune VI - BAMAKO;2;;;
101;menaka;2;;;
102;anderaboukane;2;;;
103;WARITOUFOULOUT OU INEKAR;2;;;
104;tiderm;2;;;
111;taoudenit;2;;;
112;achouratt;2;;;
113;AL - OURCHE;2;;;
114;araouane;2;;;
115;bo;2;;;
116;FOM ELBA;2;;;
1101;kayes;3;;;
1102;bangassi;3;;;
1104;diamou;3;;;
1105;djelebou;3;;;
1108;GORY GOPELA;3;;;
1110;GUIDIMAKAN KERI KAFFO;3;;;
1112;karakoro;3;;;
1113;KEMENE TAMBO;3;;;
1114;khouloum;3;;;
1116;koussane;3;;;
1117;LIBERTE DE MBAYA;3;;;
1119;MARENA DIOMBOUGOU;3;;;
1120;marintoumania;3;;;
1121;sadiola;3;;;
1123;SAME DIOMGOMA;3;;;
1124;segala;3;;;
1125;SERO DIAMANOU;3;;;
1127;sony;3;;;
1201;bafoulabe;3;;;
1202;bamafele;3;;;
1203;diakon;3;;;
1204;diallan;3;;;
1207;kontela;3;;;
1209;mahina;3;;;
1211;oualia;3;;;
1212;sidibela;3;;;
1213;tomora;3;;;
1301;diema;3;;;
1302;bema;3;;;
1303;DIANGOUNTE CAMARA;3;;;
1304;dianguirde;3;;;
1305;dieoura;3;;;
1306;DIOUMARA KOUSSATA;3;;;
1312;lakamane;3;;;
1313;lambidou;3;;;
1401;kenieba;3;;;
1402;baye;3;;;
1403;dabia;3;;;
1404;dialafara;3;;;
1405;dombia;3;;;
1406;falea;3;;;
1408;guenegore;3;;;
1409;kassama;3;;;
1410;kroukoto;3;;;
1411;sagalo;3;;;
1501;kita;3;;;
1503;bendougouba;3;;;
1505;boudofo;3;;;
1510;GADOUGOU 1;3;;;
1513;kassaro;3;;;
1514;KITA NORD;3;;;
1515;KITA OUEST;3;;;
1521;madina;3;;;
1522;makano;3;;;
1523;NAMALA GUIMBA;3;;;
1524;niantanso;3;;;
1525;saboula;3;;;
1526;sebekoro;3;;;
1528;SEFETO OUEST;3;;;
1530;sirakoro;3;;;
1531;SOURANSAN TOMOTO;3;;;
1532;tambaga;3;;;
1601;nioro;3;;;
1602;BANIERE KORE;3;;;
1603;diabigue;3;;;
1605;DIAYE COURA;3;;;
1606;gavinane;3;;;
1607;gogui;3;;;
1609;KADIABA KADIEL;3;;;
1610;KORERA KORE;3;;;
1612;sandare;3;;;
1613;simbi;3;;;
1615;yerere;3;;;
1701;guidime;3;;;
1703;DIAFOUNOU GORY;3;;;
1704;fanga;3;;;
1705;;3;;;
1706;KIRANE KANIAGA;3;;;
1708;kremis;3;;;
1709;marekafo;3;;;
1710;soumpou;3;;;
2101;koulikoro;3;;;
2102;dinandougou;3;;;
2104;koula;3;;;
2105;meguetan;3;;;
2106;nyamina;3;;;
2107;sirakorola;3;;;
2108;tienfala;3;;;
2109;tougouni;3;;;
2201;banamba;3;;;
2203;boron;3;;;
2204;duguwolowula;3;;;
2205;kiban;3;;;
