Value;Category;Adm_Level
1;Kayes;1
2;Koulikoro;1
3;Sikasso;1
4;Ségou;1
5;Mopti;1
6;Tombouctou;1
11;Kayes;2
12;Bafoulabe;2
13;Diema;2
14;Kenieba;2
15;Kita;2
16;Nioro;2
17;Yelimane;2
21;Koulikoro;2
22;Banamba;2
23;Diolia;2
24;Kangaba;2
25;Kati;2
26;Kolokani;2
27;Nara;2
31;Sikasso;2
32;Bougouni;2
33;Kadiolo;2
34;Kolondieba;2
35;Koutiala;2
36;Yanfolila;2
37;Yorosso;2
41;Ségou;2
42;Baroueli;2
43;Bla;2
44;Macina;2
45;Niono;2
46;San;2
47;Tominian;2
51;Mopti;2
52;Bandiagara;2
53;Bankass;2
54;Djenne;2
55;Douentza;2
56;Koro;2
57;Tenenkou;2
61;Tombouctou;2
62;Dire;2
63;Goundam;2
64;GOURMA-RHAROUS;2
65;Niafunke;2
111;KAYES CENTRAL;3
119;AMBIDEDI;3
121;BAFOULABE CENTRAL;3
131;DIEMA CENTRAL;3
141;KENIEBA CENTRAL;3
151;KITA CENTRAL;3
161;NIORO CENTRAL;3
171;YELIMANE CENTRAL;3
211;KOULIKORO CENTRAL;3
221;BANAMBA CENTRAL;3
231;DIOILA CENTRAL;3
241;KANGABA CENTRAL;3
251;KATI CENTRAL;3
261;KOLOKANI CENTRAL;3
271;NARA CENTRAL;3
311;SIKASSO CENTRAL;3
321;BOUGOUNI CENTRAL;3
331;KADIOLO CENTRAL;3
341;KOLONDIEBA CENTRAL;3
351;KOUTIALA CENTRAL;3
361;YANFOLILA CENTRAL;3
371;YOROSSO CENTRAL;3
411;SEGOU CENTRAL;3
421;BAROUELI CENTRAL;3
431;BLA CENTRAL;3
441;MACINA CENTRAL;3
451;NIONO CENTRAL;3
461;SAN CENTRAL;3
471;TOMINIAN CENTRAL;3
511;MOPTI CENTRAL;3
521;BANDIAGARA CENTRAL;3
531;BANKASS CENTRAL;3
541;DJENNE CENTRAL;3
551;DOUENTZA CENTRAL;3
561;KORO CENTRAL;3
571;TENENKOU CENTRAL;3
581;YOUWAROU CENTRAL;3
611;TOMBOUCTOU CENTRAL;3
621;DIRE CENTRAL;3
631;GOUNDAM CENTRAL;3
641;GOURMA-RHAROUS C;3
651;NIAFUNKE CENTRAL;3
1117;AOUROU;3
1125;DIADIOUMERA;3
1133;DIAMOU;3
1141;KOUSSANE;3
1149;LONTOU;3
1157;SADIOLA;3
1165;SAME;3
1173;SEGALA;3
1191;KAYES;3
1212;BAMAFELE;3
1223;DIAKON;3
1234;DIALLAN;3
1239;GOUNDARA;3
1245;KOUNDIAN;3
1256;MAHINA;3
1267;OUALIA;3
1278;OUSSOUBIDIAGNA;3
1318;BEMA;3
1335;DIANGOUNTE CAMAR;3
1352;DIOUMARA;3
1369;LAKAMANE;3
1415;DIALAFARA;3
1429;DOMBIA;3
1443;FALEA;3
1457;FARABA;3
1471;KASSAMA;3
1512;DJIDIAN;3
1523;KOKOFATA;3
1534;SAGABARI;3
1545;SEBEKORO;3
1556;SEFETO;3
1567;SIRAKORO;3
1578;TOUKOTO;3
1591;KITA;3
1613;GAVINANE;3
1625;GOGUI;3
1637;KORERA KORE;3
1649;SANDARE;3
1661;SIMBI;3
1673;TROUNGOUMBE;3
1691;NIORO;3
1723;KIRANE;3
1745;MARENA;3
1767;TAMBACARA;3
2113;KENEKOU;3
2125;KOULA-KOULIKORO;3
2137;NIAMINA;3
2149;SIRAKOROLA;3
2161;TIENFALA;3
2173;TOUGOUNI;3
2191;COMMUNE KOULIKORO;3
2215;BORON;3
2229;MADINA SACKO;3
2243;SEBETE;3
2257;TOUBACOURA;3
2271;TOUKOROBA;3
2315;BANCO;3
2329;BELEKO;3
2343;FANA;3
2357;MASSIGUI;3
2371;MENA;3
2445;NARENA;3
2513;BAGUINEDA;3
2525;KALABANCORO;3
2531;KOUROUBA;3
2537;NEGUELA;3
2549;OUELESSEBOUGOU;3
2561;SANANKOROBA;3
2573;SIBY;3
2591;KATI;3
2623;DJIDIENI;3
2645;MASSANTOLA;3
2667;NONSSOMBOUGOU;3
2715;BALLE;3
2729;DILLY;3
2743;FALLOU;3
2757;GUIRE;3
2771;MOURDIAH;3
3110;BLENDIO;3
3119;DANDERESSO;3
3128;DOGONI;3
3133;FINKOLO;3
3137;KIGNAN;3
3146;KLELA;3
3155;LOBOUGOULA;3
3164;NIENA;3
3173;N'KOURALA;3
3191;COMMUNE SIKASSO;3
3210;DOGO-BOUGOUNI;3
3219;FARAGOUARAN;3
