"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2014_tot","h2014_wetQ","h2014_wetQstart","ndvi_avg","ndvi_max","h2014_ndvi_avg","h2014_ndvi_max","type","lat_dd_mod","lon_dd_mod"
1,19,94,4,19,292,284,624,210,504,140,10,312,1.5,64,14,1,1,1,1,1,1,1,560,426,18,722,499,18,0.2921,0.3839,0.3204,0.4294,"offset",14.6111907855,-11.3652868033
2,16,92,3,16,292,284,627,210,506,130,7,312,1.5,63,14,1,1,1,1,1,1,1,564,429,19,735,510,18,0.2846,0.3727,0.3151,0.4218,"offset",14.5785269451,-11.3795467759
3,12,77,4,12,292,286,618,210,506,50,3,312,1.6,46,14,1,1,1,1,1,1,1,561,425,19,681,489,18,0.2774,0.3587,0.2927,0.3794,"offset",14.5727195171,-11.5036226588
4,5,82,1,5,292,283,638,212,515,2250,25,312,2.1,42,14,1,1,1,1,1,1,1,573,446,19,741,548,18,0.2709,0.3443,0.302,0.3766,"offset",14.469902561,-11.4219397555
5,7,79,2,7,292,282,643,214,520,1770,26,312,3.4,50,14,1,1,1,1,1,1,1,586,450,19,688,503,18,0.2797,0.3566,0.2949,0.3866,"offset",14.4322335689,-11.4794761157
6,66,34,16,66,295,294,529,192,431,220,12,312,1.9,27,14,1,1,1,1,1,1,1,523,393,19,621,435,18,0.2775,0.3537,0.2995,0.3652,"offset",14.6976500984,-11.9773298154
7,50,41,5,50,298,301,586,202,472,150,34,312,1.7,34,13,1,1,1,1,1,1,1,548,414,19,631,422,18,0.299,0.3791,0.3223,0.3632,"offset",14.6190630039,-11.8564269967
8,41,49,2,41,299,302,605,206,488,200,29,312,1.8,35,15,1,1,1,1,1,1,1,548,414,19,621,421,18,0.2977,0.3787,0.3149,0.3678,"offset",14.6113794257,-11.7734347613
9,23,63,3,23,294,292,622,213,511,290,29,312,2,39,15,1,1,1,1,1,1,1,556,422,19,624,434,18,0.296,0.3748,0.3063,0.3864,"offset",14.5191721805,-11.6417013219
10,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,439,342,18,0.2143,0.274,0.1984,0.2457,"comm_ctr",15.2077182238,-11.7025599862
11,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,439,342,18,0.2143,0.274,0.1984,0.2457,"comm_ctr",15.2077182238,-11.7025599862
12,85,49,16,85,294,296,406,145,342,110,0,312,1.5,59,14,3,3,3,2,2,2,3,461,350,19,425,330,18,0.2231,0.2898,0.2133,0.2768,"offset",15.1057046743,-11.7890592616
13,85,49,16,85,294,296,406,145,342,110,0,312,1.5,59,14,3,3,3,2,2,2,3,462,351,19,431,334,18,0.2242,0.292,0.2152,0.2791,"offset",15.1009695301,-11.7750559887
14,55,97,4,55,292,285,599,204,484,130,10,312,1.6,62,13,1,1,1,1,1,1,1,542,413,19,626,458,18,0.2618,0.3372,0.2774,0.3644,"offset",14.8115993635,-11.0736546191
15,47,113,2,47,290,278,714,226,552,40,25,312,5.9,64,14,1,1,3,1,1,1,3,634,465,19,765,510,18,0.3176,0.4182,0.3404,0.4119,"offset",14.0800534197,-11.274553953
16,50,90,13,50,292,286,593,203,482,40,15,312,1.7,85,14,2,1,1,1,1,1,1,524,399,19,621,460,18,0.3102,0.4028,0.3467,0.4279,"offset",14.8499673458,-11.2068458508
17,67,83,4,67,286,274,781,245,599,70,0,312,2.2,129,13,1,1,3,1,1,1,2,629,465,19,713,458,18,0.3255,0.4159,0.2973,0.3679,"offset",13.9032596845,-11.6874899933
18,23,60,11,23,292,288,645,219,527,60,14,312,1.7,59,13,1,1,1,1,1,1,1,568,430,19,631,424,18,0.3067,0.3936,0.3143,0.4007,"offset",14.4585204297,-11.6653834606
19,46,121,4,46,291,282,653,218,519,200,8,312,1.9,59,13,1,1,1,1,1,1,1,581,443,19,740,520,18,0.3011,0.3937,0.3467,0.4152,"offset",14.5795779148,-11.067755869
20,48,119,5,48,291,282,649,217,516,210,5,312,1.9,58,13,1,1,1,1,1,1,1,580,442,19,737,517,18,0.2812,0.3683,0.3196,0.3976,"offset",14.6320361194,-11.0342754551
21,38,116,3,38,292,282,649,217,517,180,9,312,1.7,58,14,1,1,1,1,1,1,1,578,441,19,723,508,18,0.2906,0.376,0.3229,0.3948,"offset",14.5962812367,-11.1208660629
22,44,120,3,44,291,282,653,218,519,200,7,312,1.9,58,13,1,1,1,1,1,1,1,582,443,19,740,519,18,0.3028,0.3971,0.3529,0.4287,"offset",14.5680777886,-11.0783077163
23,58,132,4,58,290,280,673,223,530,160,15,312,2.4,72,14,2,2,1,1,1,1,1,581,437,18,787,542,18,0.3243,0.4316,0.3762,0.4399,"offset",14.5556556647,-10.9042910067
25,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
26,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
27,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
28,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
29,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
30,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
31,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
32,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
33,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
34,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,715,534,18,0.272,0.3463,0.2979,0.3785,"comm_ctr",14.44691466,-11.4379091583
35,98,166,3,98,285,274,780,247,598,140,19,312,2.1,103,15,1,1,2,1,1,1,2,682,500,18,883,580,20,0.3276,0.4151,0.3434,0.389,"offset",13.8078066976,-10.824939455
36,96,164,2,96,285,274,779,247,598,150,18,312,2.1,103,15,1,1,2,1,1,1,2,677,494,18,874,574,19,0.3276,0.4168,0.3456,0.4097,"offset",13.8366097217,-10.8416405104
37,127,211,3,152,280,268,929,278,689,60,9,312,1.8,166,14,1,1,3,1,1,1,2,751,543,18,938,626,20,0.3738,0.4647,0.3926,0.4564,"offset",13.3335644806,-10.6403860601
38,111,229,4,169,280,267,966,286,712,100,11,312,3.7,173,18,1,1,3,1,1,1,3,774,555,18,980,654,20,0.2781,0.3458,0.2868,0.3513,"offset",13.2050761102,-10.4641181376
39,112,171,27,130,276,267,763,243,581,110,21,312,2.8,291,13,1,1,2,1,1,1,4,616,454,18,704,495,19,0.3207,0.4197,0.3573,0.4725,"offset",14.4202157344,-10.2525884712
40,112,170,23,125,277,268,756,241,576,100,15,312,3.5,281,14,1,1,2,1,1,1,3,601,443,18,676,482,19,0.3178,0.4134,0.3505,0.4599,"offset",14.4821609362,-10.274939305
41,111,168,13,116,278,269,742,235,564,30,10,312,3.8,273,14,1,1,2,1,1,1,3,584,431,18,674,468,19,0.3107,0.41,0.3299,0.4595,"offset",14.5599033787,-10.3629821967
42,103,165,15,103,281,271,736,235,563,120,15,312,3.4,216,13,2,1,2,1,1,1,3,593,437,19,749,527,18,0.3223,0.4205,0.3528,0.4435,"offset",14.5042969245,-10.5363369907
43,100,159,17,137,275,267,747,238,570,40,21,312,2.4,319,13,1,1,2,1,1,1,3,598,441,18,643,462,19,0.3261,0.4236,0.365,0.4922,"offset",14.5213168473,-10.1734784921
