"passage","grappe","menage","extension","type","s0aq01","s0aq02","s0aq03","s0aq04","s1cq000","s1cq00","s1cq01","s1cq02","s1cq03","s1cq04","s1cq05","s1cq06","s1cq07","s1cq08","s1cq09","s1cq10a","s1cq10b","s1cq11a","s1cq11b","s1cq12","s1cq13a","s1cq13b","s1cq13c","s1cq14","s1cq15"
1,1,6,0,2,1,1,1,2,5,2,3,1,102,"SORGHO",1,,2,,1,15,2,25,7,2,0,,,2,9
1,1,6,0,2,1,1,1,2,5,5,2,3,121,"ARACHIDE",1,,2,,1,13,2,24,8,2,0,,,2,9
1,1,6,0,2,1,1,1,2,5,3,2,1,121,"ARACHIDE",1,,2,,1,12,2,15,8,2,0,,,2,9
1,1,6,0,2,1,1,1,2,5,1,1,1,104,"MAIS",1,,2,,1,10,2,20,7,2,0,,,2,9
1,1,6,0,2,1,1,1,2,5,4,2,2,121,"ARACHIDE",1,,2,,1,14,2,20,8,2,0,,,2,9
1,1,9,0,2,1,1,1,2,6,6,2,5,121,"ARACHIDE",1,,2,,1,6,2,22,8,2,600,1,1,2,9
1,1,9,0,2,1,1,1,2,6,1,1,1,104,"MAIS",1,,2,,1,15,2,25,7,2,700,1,1,2,9
1,1,9,0,2,1,1,1,2,6,5,2,4,121,"ARACHIDE",1,,2,,1,8,2,20,8,2,700,1,1,2,9
1,1,9,0,2,1,1,1,2,6,2,2,1,121,"ARACHIDE",1,,2,,1,10,2,15,8,2,800,1,1,2,9
1,1,9,0,2,1,1,1,2,6,4,2,3,121,"ARACHIDE",1,,2,,1,7,2,19,8,2,600,1,1,2,9
1,1,9,0,2,1,1,1,2,6,3,2,2,121,"ARACHIDE",1,,2,,1,5,2,17,8,2,500,1,1,2,9
1,2,3,0,2,1,1,1,2,3,2,1,2,102,"SORGHO",1,,2,,9,15,2,20,7,2,800,1,1,2,9
1,2,3,0,2,1,1,1,2,3,3,1,3,121,"ARACHIDE",1,,2,,9,6,2,15,8,2,500,1,1,2,9
1,2,3,0,2,1,1,1,2,3,1,1,1,104,"MAIS",1,,2,,9,10,2,14,7,2,600,1,1,2,9
1,2,6,0,2,1,1,1,2,3,1,1,1,104,"MAIS",1,,9,,1,15,2,15,7,2,800,1,1,2,9
