"passage","grappe","menage","extension","type","s0aq01","s0aq02","s0aq03","s0aq04","s1bq000","s1bq00a","s1bq00","s1bq01","s1bq02","s1bq03","s1bq04a","s1bq04b","s1bq05a","s1bq05b","s1bq06","s1bq07","s1bq08a","s1bq08b","s1bq09","s1bq10","s1bq11","s1bq12","s1bq13","s1bq14","s1bq15","s1bq16","s1bq17","s1bq18","s1bq19","s1bq20","s1bq21","s1bq22","s1bq23","s1bq24","s1bq25","s1bq26","s1bq27","s1bq28","s1bq29a","s1bq29b","s1bq29c","s1bq29d","s1bq29e","s1bq29f","s1bq30","s1bq31","s1bq32","s1bq33","s1bq34","s1bq35a","s1bq35b","s1bq35c","s1bq35d","s1bq35e","s1bq35f","s1bq35g","s1bq36","s1bq37","s1bq38","s1bq39","s1bq40","s1bq41","s1bq42","s1bq43","s1bq44","s1bq45"
1,1,6,0,2,1,1,1,2,5,1,"MAIS",1,1,5,14.60768,11.33671,1.43900001049042,188,1,,"mais",104,5,0.14300000667572,1,1,1,10,9999,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,,3,2500
1,1,6,0,2,1,1,1,2,5,5,"ARACHIDE",2,3,14,14.61029,11.83646,0.476999998092651,171,1,,"arachide",121,14,0.146999999880791,3,99,1,3,9999,4,1,,,,1,1,,,,3,2,9,,,,,,,,,2,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,,3,2500
1,1,6,0,2,1,1,1,2,5,2,"SORGHO",3,1,5,14.60733,11.33676,1.69200003147125,438,1,,"sorgho",102,5,0.694999992847443,3,99,1,3,9999,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,,3,2500
1,1,6,0,2,1,1,1,2,5,4,"ARACHIDE",2,2,11,14.60981,11.33661,3.15499997138977,243,1,,"arachide",121,11,0.314999997615814,3,99,1,3,9999,4,1,,,,1,1,,,,2,2,9,,,,,,,,,2,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,,3,2500
1,1,6,0,2,1,1,1,2,5,3,"ARACHIDE",2,1,2,14.60734,11.33679,0.168999999761581,170,1,,"arachide",121,2,0.11599999666214,3,99,1,3,9999,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,,3,2500
1,1,9,0,2,1,1,1,2,6,5,"ARACHIDE",2,4,14,14.57245,11.34499,0.158999994397163,184,1,,"ARACHIDE",121,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,3,14,90,,,,,,1,,,,,,,,3,250
1,1,9,0,2,1,1,1,2,6,3,"ARACHIDE",2,2,36,14.57203,11.34571,0.103000000119209,142,1,,"ARACHIDE",121,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,3,36,90,,,,,,1,,,,,,,,3,250
1,1,9,0,2,1,1,1,2,6,4,"ARACHIDE",2,3,28,14.57156,11.34579,0.495000004768372,163,1,,"ARACHIDE",121,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,3,28,90,,,,,,1,,,,,,,,3,250
1,1,9,0,2,1,1,1,2,6,2,"ARACHIDE",2,1,21,14.57226,11.34539,0.333000004291534,245,1,,"ARCHIDE",121,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,3,21,90,,,,,,1,,,,,,,,3,250
1,1,9,0,2,1,1,1,2,6,1,"MAIS",1,1,13,14.57122,11.34569,1.18599998950958,387,1,,"MAIS",104,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,3,5000
1,1,9,0,2,1,1,1,2,6,6,"ARACHIDE",2,5,2,14.57191,11.34563,0.211999997496605,139,1,,"ARACHIDE",121,99,99,9,99,9,999,9999,4,1,,,,1,1,,,,1,2,2,,,,,,,,,2,,3,2,90,,,,,,1,,,,,,,,3,250
1,2,3,0,2,1,1,1,2,3,2,,1,2,3,14.57075,11.34716,1.28199994564056,123,1,,"sorgho",102,3,1.28199994564056,3,4,1,3,9999,4,1,,,,2,1,,,,1,2,2,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,3,5000
1,2,3,0,2,1,1,1,2,3,1,,1,1,5,14.57832,11.34078,1.67799997329712,210,1,,"mais",104,5,1.67799997329712,3,4,1,3,9999,4,1,,,,2,1,,,,1,2,2,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,3,5000
1,2,3,0,2,1,1,1,2,3,3,,1,3,6,14.57031,11.34692,1.54299998283386,176,1,,"arachide",121,6,1.54299998283386,3,4,1,3,9999,4,1,,,,2,1,,,,1,2,2,,,,,,,,,2,,3,6,2,3,4,5,6,7,1,,,,,,,,3,2500
1,2,6,0,2,1,1,1,2,3,1,,1,1,1,14.57081,11.35232,0.88400000333786,335,1,,"mais",104,1,0.88400000333786,3,3,9,2,9998,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,3,5000
1,2,6,0,2,1,1,1,2,3,2,,1,2,1,14.57045,11.35213,0.823000013828278,222,1,,"sorgho",102,1,0.824999988079071,3,3,9,2,9998,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,3,5000
1,2,6,0,2,1,1,1,2,3,3,,1,3,2,14.57064,11.35224,0.171000003814697,145,1,,"arachide",121,2,0.171000003814697,3,3,9,2,9998,4,1,,,,1,1,,,,1,2,9,,,,,,,,,2,,3,2,2,3,4,5,6,7,1,,,,,,,,3,2500
1,3,3,0,2,1,1,1,2,3,1,"SOFORO",1,1,1,14.48602,11.46761,0.00899999961256981,174,1,,"maïs",104,1,0.00899999961256981,1,99,1,5,9998,5,2,,,,,1,,,,1,2,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,3,0,2,1,1,1,2,3,3,"KOUNGOSSOUROUNFORO",2,2,1,14.48648,11.46397,99,180,1,,"arachide",121,1,1.01600003242493,2,99,1,15,9998,5,2,,,,,1,,,,1,2,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,3,0,2,1,1,1,2,3,2,"SOFORO",2,1,1,14.48772,11.46764,0.862999975681305,122,1,,"arachide",121,1,0.862999975681305,1,99,1,5,9998,5,2,,,,,1,,,,1,2,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,6,0,2,1,1,1,2,3,1,"SOFORO",1,1,1,14.49619,11.46387,1.08299994468689,133,1,,"maïs",104,1,1.08299994468689,2,1,1,30,9998,5,2,,,,,1,,,,1,1,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,6,0,2,1,1,1,2,3,3,"SOFORO",1,3,6,14.49538,11.46354,0.804000020027161,124,1,,"arachide",121,6,0.804000020027161,2,1,1,30,9998,5,2,,,,,1,,,,1,1,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,6,0,2,1,1,1,2,3,2,"SOFORO",1,2,2,14.49665,11.46394,0.563000023365021,103,1,,"arachide",121,2,0.563000023365021,2,1,1,30,9998,5,2,,,,,1,,,,1,1,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,9,0,2,1,1,1,2,2,2,"KOUNGOSSOUROUN FORO",1,2,1,14.49633,11.46407,0.342999994754791,70,1,,"arachide",121,1,0.342999994754791,2,99,1,18,9998,5,2,,,,,1,,,,1,2,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
1,3,9,0,2,1,1,1,2,2,1,"KOUNGOSSOUROUN FORO",1,1,1,14.4977,11.46758,0.709999978542328,115,1,,"maïs",104,1,0.709999978542328,2,99,1,18,9998,5,2,,,,,1,,,,1,2,2,,,,,,,,,2,,3,1,9,9,9,9,9,9,1,,,,,,,,2,
