"passage","grappe","menage","extension","type","s0aq01","s0aq02","s0aq03","s0aq04","s3aq000","s3aq0","s3aq01","s3aq02","s3aq03a","s3aq03b","s3aq","s3aq04a","s3aq04b","s3aq05","s3aq06","s3aq07a","s3aq07b","s3aq08a","s3aq08b","s3aq08c","s3aq09","s3aq10","s3aq11","s3aq12a","s3aq12b","s3aq12c","s3aq12d","s3aq13a","s3aq13b","s3aq13c","s3aq14a","s3aq14b","s3aq14c","s3aq15","s3aq16a","s3aq16b","s3aq16c","s3aq17","s3aq18","s3aq19","s3aq20","s3aq21","s3aq22","s3aq23a","s3aq23b","s3aq23c","s3aq24","s3aq25a","s3aq25b","s3aq26","s3aq27","s3aq28","s3aq29","s3aq30","s3aq31a","s3aq31b","s3aq31c","s3aq32","s3aq33","s3aq34a","s3aq34b"
2,1,6,0,2,1,1,1,2,5,4,2,2,"ARACHIDE",121,0,99,99,9,999,,,6000,1,1,2,,,,,,,0,,,0,,,1,6000,1,1,0,9,2,,9,9,0,,,0,99,99,9,0,0,9,9,,,,,9,9,9
2,1,6,0,2,1,1,1,2,5,5,2,3,"ARACHIDE",121,0,99,99,9,999,,,500,1,1,2,,,,,,,0,,,0,,,1,500,1,1,0,9,2,,9,9,0,,,0,99,99,9,0,0,9,9,,,,,9,9,9
2,1,6,0,2,1,1,1,2,5,3,2,1,"ARACHIDE",121,0,99,99,9,999,,,400,1,1,2,,,,,,,0,,,0,,,1,400,1,1,0,9,2,,9,9,0,,,0,99,99,9,0,0,9,9,,,,,9,9,9
2,1,6,0,2,1,1,1,2,5,2,3,1,"SORGHO",102,0,99,99,9,999,,,600,1,1,2,,,,,,,0,,,0,,,1,600,1,1,0,9,2,,9,9,0,,,0,99,99,9,0,0,9,9,,,,,9,9,9
2,1,6,0,2,1,1,1,2,5,1,1,1,"MAIS",104,0,99,99,9,999,,,500,1,1,2,,,,,,,0,,,0,,,1,500,1,1,0,9,2,,9,9,0,,,0,99,99,9,0,0,9,9,,,,,9,9,9
2,1,9,0,2,1,1,1,2,6,2,2,1,"ARACHIDE",121,21,16,10,1,,18,10,800,1,800,1,2,1,2,1,2,600,0,,,0,,,2,,,,0,9,2,,1,2,,,,,,,,,,2,1,,,,,9,9,9
2,1,9,0,2,1,1,1,2,6,3,2,2,"ARACHIDE",121,36,18,10,1,,20,10,500,1,500,1,2,1,2,1,2,600,0,,,0,,,2,,,,0,9,2,,1,2,,,,,,,,,,2,1,,,,,9,9,9
2,1,9,0,2,1,1,1,2,6,5,2,4,"ARACHIDE",121,14,23,10,1,,25,10,700,1,700,1,2,1,2,1,2,600,0,,,0,,,2,,,,0,9,2,,1,2,,,,,,,,,,2,1,,,,,9,9,9
2,1,9,0,2,1,1,1,2,6,1,1,1,"MAIS",104,13,14,9,1,,16,9,700,1,700,1,2,7,3,1,3,750,0,,,0,,,2,,,,0,9,2,,1,2,,,,,,,,,,2,1,,,,,9,9,9
2,1,9,0,2,1,1,1,2,6,6,2,5,"ARACHIDE",121,2,25,10,1,,28,10,600,1,600,1,2,1,2,1,2,600,0,,,0,,,2,,,,0,9,2,,1,2,,,,,,,,,,2,1,,,,,9,9,9
