case_id,ea_id,ag_c0a,ag_c01,ag_j0a,ag_j01,ag_j02,ag_s00
101012150001,10101215,,Yes,,No,,No
101012150004,10101215,,Yes,,No,,Yes
101012150021,10101215,,Yes,,No,,Yes
101012150022,10101215,,Yes,,No,,Yes
101012150026,10101215,,Yes,,No,,Yes
101012150028,10101215,,Yes,,No,,Yes
101012150034,10101215,,Yes,,No,,Yes
101012150038,10101215,,Yes,,No,,Yes
101012150040,10101215,,Yes,,No,,Yes
101012150045,10101215,,Yes,,No,,Yes
101012150048,10101215,,Yes,,No,,No
101012150049,10101215,,Yes,,No,,Yes
101012150053,10101215,,Yes,,No,,Yes
101012150059,10101215,,Yes,,No,,Yes
101012150060,10101215,,Yes,,No,,No
101012150074,10101215,,Yes,,Yes,Yes,Yes
101017060006,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060007,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060011,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060015,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060022,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060026,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060030,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060033,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060041,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060048,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060052,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060059,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060063,10101706,2009/2010,Yes,2008/2009,No,,No
101017060067,10101706,2009/2010,Yes,2008/2009,No,,Yes
101017060074,10101706,2009/2010,Yes,2008/2009,No,,Yes
101013740013,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740020,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740028,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740035,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740050,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740057,10101374,2009/2010,Yes,2008/2009,No,,Yes
101013740064,10101374,2009/2010,Yes,2008/2009,No,,No
101013740072,10101374,2009/2010,Yes,2008/2009,No,,No
