case_id,visit,ea_id,ag_k0a,ag_k01,ag_k02,ag_k03,ag_k04,ag_k04_os,ag_k05a,ag_k05b,ag_k06,ag_k07,ag_k08,ag_k09a,ag_k09b,ag_k09c,ag_k09c_os,ag_k09d,ag_k10a,ag_k10b,ag_k11a,ag_k11b,ag_k11c,ag_k11c_os,ag_k11d,ag_k12a,ag_k12b,ag_k12c,ag_k12d,ag_k13,ag_k13_os,ag_k14a,ag_k14b,ag_k15,ag_k15_os,ag_k16,ag_k17a,ag_k17b,ag_k17c,ag_k17c_os,ag_k17d,ag_k18a,ag_k18b,ag_k19a,ag_k19b,ag_k19c,ag_k19c_os,ag_k19d,ag_k20a,ag_k20b,ag_k20c,ag_k20d,ag_k21a,ag_k21a_os,ag_k21b,ag_k21b_os,ag_k21c,ag_k21c_os,ag_k21d,ag_k21d_os,ag_k21e,ag_k21e_os,ag_k22,ag_k22_os,ag_k23,ag_k24,ag_k25a,ag_k25a_os,ag_k25b,ag_k25b_os,ag_k26a,ag_k26a_os,ag_k26b,ag_k26b_os,ag_k27,ag_k28,ag_k29a,ag_k29a_os,ag_k29b,ag_k29b_os,ag_k30,ag_k30_os,ag_k31,ag_k31_os,ag_k32,ag_k33,ag_k34,ag_k35a,ag_k35a_os,ag_k35b,ag_k35b_os,ag_k36,ag_k37,ag_k38a,ag_k38b,ag_k38b_os,ag_k39,ag_k40a,ag_k40a_os,ag_k40b,ag_k40c,ag_k40c_os,ag_k40d,ag_k40e,ag_k40f,ag_k40f_os,ag_k40g,ag_k40h,ag_k40h_os,ag_k40i,ag_k40j,ag_k41,ag_k42a,ag_k42a_os,ag_k42b,ag_k42c,ag_k42c_os,ag_k42d,ag_k42d_os,ag_k42e,ag_k42f,ag_k42f_os,ag_k43a,ag_k43b,ag_k43c,ag_k43d,ag_k43e,ag_k43f,ag_k43g,ag_k43h,ag_k43i,ag_k43j,ag_k43k,ag_k43l,ag_k43m,ag_k43n,ag_k43o,ag_k43p,ag_k44a,ag_k44b,ag_k44c,ag_k44d,ag_k44e,ag_k44f,ag_k44g,ag_k44h,ag_k44i,ag_k44j,ag_k44k,ag_k44l,ag_k44m,ag_k44n,ag_k44o,ag_k44p,ag_k45a,ag_k45b,ag_k45c,ag_k45d,ag_k45e,ag_k45f,ag_k45g,ag_k45h,ag_k45i,ag_k45j,ag_k45k,ag_k45l,ag_k45m,ag_k45n,ag_k45o,ag_k45p,ag_k46a,ag_k46b,ag_k46c,ag_k46d,ag_k46e,ag_k46f,ag_k46g,ag_k46h,ag_k46i,ag_k46i_os,ag_k46j,ag_k47a,ag_k47b,ag_k47c,ag_k48a,ag_k48b,ag_k48c
101012150001,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150026,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150028,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150034,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150038,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150040,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150045,2,10101215,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
