case_id,visit,ea_id,ag_o0b,ag_o0b_os,ag_o01,ag_o02a,ag_o02b,ag_o02b_os,ag_o02c,ag_o03,ag_o04,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_os,ag_o10,ag_o11,ag_o12a,ag_o12b,ag_o12b_os,ag_o12c,ag_o13,ag_o14a,ag_o14b,ag_o15a,ag_o15b,ag_o16,ag_o17,ag_o17_os,ag_o18,ag_o19,ag_o20,ag_o21a,ag_o21b,ag_o21b_os,ag_o21c,ag_o22,ag_o23a,ag_o23b,ag_o24a,ag_o24b,ag_o25,ag_o26,ag_o26_os,ag_o27,ag_o28,ag_o29,ag_o30a,ag_o30b,ag_o30b_os,ag_o30c,ag_o31a,ag_o31b,ag_o31b_os,ag_o31c,ag_o32a,ag_o32b,ag_o32b_os,ag_o32c,ag_o33a,ag_o33b,ag_o33b_os,ag_o33c,ag_o34a,ag_o34b,ag_o34b_os,ag_o34c,ag_o35a,ag_o35b,ag_o35b_os,ag_o35c,ag_o36a,ag_o36b,ag_o36c,ag_o36b_os,ag_o36d,ag_o37a,ag_o37a_os,ag_o37b,ag_o37b_os,ag_o38,ag_o39,ag_o39_os,ag_o40a,ag_o40b,ag_o40b_os,ag_o40c,ag_o41a,ag_o41a_os,ag_o41b,ag_o41b_os,ag_o42a,ag_o42a_os,ag_o42b,ag_o42b_os
101012150001,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150026,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150028,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150034,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150038,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150040,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150045,2,10101215,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
