case_id,visit,ea_id,ag_p0a,ag_p0b,ag_p0d,ag_p0d_os,ag_p01,ag_p02a,ag_p02b,ag_p02b_os,ag_p03,ag_p04,ag_p05,ag_p06a,ag_p06b,ag_p06c,ag_p06d,ag_p07,ag_p08a,ag_p08a_os,ag_p08b,ag_p08b_os,ag_p09a,ag_p09b,ag_p09b_os
101012150001,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150004,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150021,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150022,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150026,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150028,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150034,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150038,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150040,2,10101215,yes,T1,banana,,scattered,,,,10,2008,3,June,2010,July,2010,yes,Rains,,,,2,OTHER (SPECIFY),MKOKO
101012150045,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150048,2,10101215,yes,T1,cassava,,plantation,1,acre,,,,,December,2009,March,2010,yes,Rains,,,,50,PAIL (LARGE),
101012150048,2,10101215,yes,T1,banana,,scattered,,,,26,2007,6,June,2010,August,2010,no,,,,,3,OTHER (SPECIFY),MKOKO
101012150049,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150053,2,10101215,yes,T1,banana,,scattered,,,,4,1997,0,June,2010,August,2010,yes,Animals,,,,3,OTHER (SPECIFY),MKOKO
101012150053,2,10101215,yes,T2,orange,,scattered,,,,2,1976,0,April,2010,May,2010,yes,Diseases,,,,18,BASKET (DENGU),
101012150059,2,10101215,yes,T1,mango,,scattered,,,,6,1987,0,November,2009,January,2010,no,,,,,21,BASKET (DENGU),
101012150060,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101012150074,2,10101215,no,,,,,,,,,,,,,,,,,,,,,,
101017060006,1,10101706,yes,T1,banana,,scattered,,,,20,2003,0,November,2009,October,2010,yes,Animals,,,,15,OTHER (SPECIFY),MKOKO
101017060007,1,10101706,yes,T1,banana,,scattered,,,,10,2003,0,November,2009,October,2010,no,,,,,12,OTHER (SPECIFY),MKOKO
101017060011,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060015,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060022,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060026,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060030,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060033,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060041,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060048,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060052,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060059,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060063,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101017060067,1,10101706,yes,R1,banana,,scattered,,,,999,1991,0,December,2009,November,2010,no,,,,,10,OTHER (SPECIFY),MKOKO
101017060074,1,10101706,no,,,,,,,,,,,,,,,,,,,,,,
101013740013,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740020,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740028,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740035,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740050,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740057,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740064,1,10101374,yes,T1,cassava,,plantation,.30000001,acre,,,,,May,2010,October,2010,no,,,,,4,90 KG BAG,
101013740072,1,10101374,yes,T1,banana,,scattered,,,,15,1990,0,August,2010,October,2010,no,,,,,5,OTHER (SPECIFY),MKOKO
101013740094,1,10101374,yes,T1,cassava,,plantation,.5,acre,,,,,December,2009,February,2010,no,,,,,10,BASKET (DENGU),
101013740101,1,10101374,yes,T1,cassava,,plantation,.5,acre,,,,,November,2009,February,2010,yes,Rains,,,,12,BASKET (DENGU),
101013740108,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740123,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740130,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740138,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101013740152,1,10101374,no,,,,,,,,,,,,,,,,,,,,,,
101012190012,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190018,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190025,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190032,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190045,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190052,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190059,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190065,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190079,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190086,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190092,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190099,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190112,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
101012190119,1,10101219,no,,,,,,,,,,,,,,,,,,,,,,
