case_id,visit,ea_id,ag_q0b,ag_q0b_os,ag_q01,ag_q02a,ag_q02b,ag_q02b_os,ag_q03,ag_q04,ag_q05a,ag_q05b,ag_q06a,ag_q06b,ag_q07a,ag_q07b,ag_q08,ag_q09,ag_q09_os,ag_q10,ag_q11,ag_q12a,ag_q12b,ag_q12b_os,ag_q13,ag_q14a,ag_q14b,ag_q15a,ag_q15b,ag_q16,ag_q17,ag_q17_os,ag_q18,ag_q19,ag_q20,ag_q21a,ag_q21b,ag_q21b_os,ag_q21c,ag_q22,ag_q23a,ag_q23b,ag_q24a,ag_q24b,ag_q25,ag_q26,ag_q26_os,ag_q27,ag_q28,ag_q29,ag_q30a,ag_q30b,ag_q30b_os,ag_q30c,ag_q31a,ag_q31b,ag_q31b_os,ag_q31c,ag_q32a,ag_q32b,ag_q32b_os,ag_q32c,ag_q33a,ag_q33b,ag_q33b_os,ag_q34a,ag_q34b,ag_q34b_os,ag_q34c,ag_q35a,ag_q35b,ag_q35b_os,ag_q35c,ag_q35d,ag_q36a,ag_q36a_os,ag_q36b,ag_q36b_os,ag_q37,ag_q38,ag_q38_os,ag_q39a,ag_q39b,ag_q39b_os,ag_q39c,ag_q40a,ag_q40a_os,ag_q40b,ag_q40b_os,ag_q41a,ag_q41a_os,ag_q41b,ag_q41b_os
101012150001,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150026,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150028,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150034,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150038,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150040,2,10101215,banana,,no,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,,,,,,no,,,,,,,,,,,Food for household,,Does not usually store,
101012150045,2,10101215,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
