case_id,visit,ea_id,ag_r00,ag_r27,ag_r28,ag_r29,ag_r30,ag_r31
101012150001,1,10101215,No,,,,,
101012150004,1,10101215,Yes,0,0,100,0,0
101012150021,1,10101215,Yes,0,0,0,0,0
101012150022,1,10101215,Yes,0,0,0,0,0
101012150026,1,10101215,Yes,800,0,600,0,0
101012150028,1,10101215,Yes,0,0,0,0,0
101012150034,1,10101215,Yes,0,0,360,0,0
101012150038,1,10101215,Yes,0,0,0,0,0
101012150040,1,10101215,Yes,0,0,0,0,0
101012150045,1,10101215,Yes,0,0,0,0,0
101012150048,1,10101215,No,,,,,
101012150049,1,10101215,Yes,0,0,0,0,0
101012150053,1,10101215,Yes,0,0,0,0,0
101012150059,1,10101215,Yes,0,0,0,0,0
101012150060,1,10101215,No,,,,,
101012150074,1,10101215,Yes,0,1000,0,0,0
101017060006,1,10101706,Yes,0,0,1470,0,0
101017060007,1,10101706,Yes,0,0,0,0,0
101017060011,1,10101706,Yes,0,0,0,0,0
101017060015,1,10101706,Yes,0,0,0,0,0
101017060022,1,10101706,Yes,0,0,0,0,0
101017060026,1,10101706,Yes,0,0,0,0,0
101017060030,1,10101706,Yes,0,0,0,0,0
101017060033,1,10101706,Yes,0,0,0,0,0
101017060041,1,10101706,Yes,0,0,0,0,0
101017060048,1,10101706,Yes,0,0,0,0,0
101017060052,1,10101706,Yes,0,0,0,0,0
101017060059,1,10101706,Yes,0,0,0,0,0
101017060063,1,10101706,No,,,,,
101017060067,1,10101706,Yes,0,0,0,0,0
101017060074,1,10101706,Yes,0,0,0,0,0
101013740013,1,10101374,Yes,0,0,0,0,0
101013740020,1,10101374,Yes,0,0,0,0,0
101013740028,1,10101374,Yes,0,0,0,0,0
101013740035,1,10101374,Yes,0,0,0,0,0
101013740050,1,10101374,Yes,0,0,0,0,0
101013740057,1,10101374,Yes,0,0,0,0,0
101013740064,1,10101374,No,,,,,
101013740072,1,10101374,No,,,,,
101013740094,1,10101374,Yes,0,0,0,0,0
101013740101,1,10101374,Yes,0,0,0,0,0
101013740108,1,10101374,Yes,0,0,0,0,0
101013740123,1,10101374,Yes,0,0,0,0,0
101013740130,1,10101374,No,,,,,
101013740138,1,10101374,No,,,,,
101013740152,1,10101374,Yes,0,0,0,0,0
101012190012,1,10101219,No,,,,,
101012190018,1,10101219,Yes,0,0,0,0,0
101012190025,1,10101219,Yes,0,0,0,0,0
101012190032,1,10101219,Yes,0,0,0,0,0
101012190045,1,10101219,Yes,0,0,0,0,0
101012190052,1,10101219,Yes,0,0,0,0,0
101012190059,1,10101219,No,,,,,
101012190065,1,10101219,Yes,0,0,0,0,0
101012190079,1,10101219,No,,,,,
101012190086,1,10101219,No,,,,,
101012190092,1,10101219,Yes,0,0,0,0,0
101012190099,1,10101219,Yes,0,0,0,0,0
101012190112,1,10101219,Yes,0,0,0,0,0
101012190119,1,10101219,Yes,0,0,0,0,0
101012190126,1,10101219,Yes,0,0,0,0,0
101012190139,1,10101219,Yes,0,0,0,0,0
101014700012,1,10101470,No,,,,,
101014700026,1,10101470,Yes,0,0,0,0,0
101014700029,1,10101470,Yes,0,0,0,0,0
101014700032,1,10101470,Yes,0,0,0,0,0
101014700034,1,10101470,Yes,0,0,0,0,0
101014700055,1,10101470,Yes,0,0,0,0,0
101014700079,1,10101470,Yes,0,0,0,0,0
101014700128,1,10101470,Yes,0,0,0,0,0
101014700135,1,10101470,Yes,0,0,0,0,0
101014700148,1,10101470,Yes,0,0,150,0,0
101014700156,1,10101470,No,,,,,
101014700200,1,10101470,Yes,0,0,0,0,0
101014700214,1,10101470,No,,,,,
101014700224,1,10101470,Yes,0,0,0,0,0
101014700227,1,10101470,Yes,0,0,0,0,0
101014700248,1,10101470,Yes,0,0,0,0,0
101015620009,1,10101562,Yes,0,0,0,0,0
101015620020,1,10101562,Yes,0,0,0,0,0
101015620031,1,10101562,Yes,0,0,0,0,0
101015620042,1,10101562,Yes,0,0,0,0,0
101015620053,1,10101562,Yes,0,0,0,0,0
101015620064,1,10101562,Yes,0,0,0,0,0
101015620075,1,10101562,Yes,0,0,0,0,0
101015620086,1,10101562,Yes,0,0,0,0,0
101015620096,1,10101562,Yes,0,0,0,0,0
101015620118,1,10101562,No,,,,,
101015620140,1,10101562,Yes,0,0,0,0,0
101015620162,1,10101562,Yes,0,0,0,0,0
101015620184,1,10101562,Yes,0,0,0,0,0
101015620195,1,10101562,Yes,0,0,0,0,0
101015620205,1,10101562,No,,,,,
101015620227,1,10101562,No,,,,,
101015680005,1,10101568,Yes,0,0,0,0,0
101015680012,1,10101568,Yes,0,0,0,0,0
101015680019,1,10101568,Yes,0,0,0,0,0
101015680026,1,10101568,Yes,0,0,0,0,0
101015680033,1,10101568,Yes,0,0,0,0,0
101015680046,1,10101568,Yes,0,0,0,0,0
101015680053,1,10101568,No,,,,,
101015680060,1,10101568,Yes,0,0,0,0,0
101015680067,1,10101568,Yes,0,0,0,0,0
101015680081,1,10101568,Yes,0,0,0,0,0
101015680088,1,10101568,Yes,0,0,0,0,0
101015680095,1,10101568,No,,,,,
101015680102,1,10101568,Yes,0,0,0,0,0
101015680116,1,10101568,Yes,0,0,0,0,0
101015680130,1,10101568,Yes,0,0,0,0,0
101015680144,1,10101568,No,,,,,
101013550014,1,10101355,Yes,0,0,0,0,0
101013550023,1,10101355,Yes,0,0,0,0,0
101013550032,1,10101355,Yes,0,0,0,0,0
101013550042,1,10101355,Yes,0,0,0,0,0
101013550060,1,10101355,Yes,0,0,0,0,0
101013550070,1,10101355,Yes,0,0,0,0,0
101013550079,1,10101355,Yes,0,0,0,0,0
101013550089,1,10101355,Yes,0,0,0,0,0
101013550107,1,10101355,Yes,0,0,0,0,0
101013550117,1,10101355,Yes,0,0,0,0,0
101013550126,1,10101355,Yes,0,0,0,0,0
101013550135,1,10101355,Yes,0,0,0,0,0
101013550154,1,10101355,Yes,0,0,0,0,0
101013550164,1,10101355,No,,,,,
101013550173,1,10101355,No,,,,,
101013550192,1,10101355,Yes,0,0,0,0,0
101010160009,1,10101016,Yes,0,0,0,0,0
101010160033,1,10101016,No,,,,,
101010160060,1,10101016,Yes,0,3000,300,0,0
101010160068,1,10101016,Yes,0,0,0,0,0
101010160069,1,10101016,No,,,,,
101010160070,1,10101016,Yes,0,0,0,0,0
101010160074,1,10101016,Yes,0,1000,0,0,0
101010160086,1,10101016,Yes,0,0,0,0,0
101010160096,1,10101016,Yes,0,0,0,0,0
101010160143,1,10101016,Yes,0,0,0,0,0
101010160159,1,10101016,Yes,0,0,0,0,0
101010160180,1,10101016,Yes,0,0,0,0,0
101010160207,1,10101016,Yes,0,0,0,0,0
101010160235,1,10101016,Yes,0,0,0,0,0
101010160254,1,10101016,Yes,0,0,0,0,0
101010160265,1,10101016,Yes,0,0,0,0,0
101012040003,1,10101204,Yes,0,0,0,0,0
101012040007,1,10101204,No,,,,,
101012040011,1,10101204,Yes,0,0,0,0,0
101012040020,1,10101204,Yes,0,0,0,0,0
101012040024,1,10101204,Yes,0,0,0,0,0
101012040028,1,10101204,Yes,0,0,0,0,0
101012040037,1,10101204,Yes,0,0,0,0,0
101012040041,1,10101204,Yes,0,0,0,0,0
101012040045,1,10101204,Yes,0,0,0,0,0
101012040054,1,10101204,Yes,0,0,0,0,0
101012040058,1,10101204,Yes,0,0,0,0,0
101012040062,1,10101204,Yes,0,0,0,0,0
101012040071,1,10101204,Yes,0,0,0,0,0
101012040075,1,10101204,Yes,0,0,0,0,0
101012040079,1,10101204,Yes,0,0,0,0,0
101012040087,1,10101204,Yes,0,0,0,0,0
101023790001,1,10102379,Yes,0,0,0,0,0
101023790005,1,10102379,Yes,0,0,0,0,0
101023790008,1,10102379,Yes,0,0,0,0,0
101023790012,1,10102379,Yes,0,0,70,0,0
101023790015,1,10102379,Yes,0,0,0,0,0
101023790026,1,10102379,Yes,0,0,0,0,0
101023790029,1,10102379,No,,,,,
101023790033,1,10102379,Yes,0,0,0,0,0
101023790040,1,10102379,Yes,0,0,0,0,0
101023790043,1,10102379,Yes,0,0,0,0,0
101023790047,1,10102379,Yes,0,0,0,0,0
101023790051,1,10102379,No,,,,,
101023790058,1,10102379,Yes,0,0,0,0,0
101023790061,1,10102379,Yes,0,0,0,0,0
101023790065,1,10102379,Yes,0,0,0,0,0
101023790072,1,10102379,Yes,0,0,0,0,0
101026210012,1,10102621,Yes,0,0,0,0,0
101026210018,1,10102621,Yes,0,0,0,0,0
101026210024,1,10102621,Yes,0,0,0,0,0
101026210030,1,10102621,Yes,0,0,0,0,0
101026210042,1,10102621,Yes,0,0,0,0,0
101026210048,1,10102621,No,,,,,
101026210054,1,10102621,Yes,0,0,0,0,0
101026210061,1,10102621,Yes,0,0,0,0,0
101026210073,1,10102621,Yes,0,0,0,0,0
101026210079,1,10102621,Yes,0,0,0,0,0
101026210085,1,10102621,Yes,0,0,0,0,0
101026210091,1,10102621,Yes,0,0,0,0,0
101026210103,1,10102621,No,,,,,
101026210109,1,10102621,Yes,0,0,0,0,0
101026210115,1,10102621,Yes,0,0,0,0,0
101026210128,1,10102621,No,,,,,
101020040001,1,10102004,Yes,0,0,0,0,0
101020040008,1,10102004,Yes,0,0,0,0,0
101020040012,1,10102004,Yes,0,0,0,0,0
101020040015,1,10102004,Yes,0,0,0,0,0
101020040028,1,10102004,Yes,0,0,0,0,0
101020040031,1,10102004,Yes,0,0,0,0,0
101020040034,1,10102004,Yes,0,700,0,0,0
101020040039,1,10102004,Yes,0,0,160,0,0
101020040042,1,10102004,Yes,0,0,0,0,0
101020040059,1,10102004,Yes,0,0,250,0,0
101020040061,1,10102004,Yes,0,0,0,0,0
101020040093,1,10102004,Yes,0,0,0,0,0
101020040101,1,10102004,Yes,0,0,0,0,0
101020040104,1,10102004,Yes,0,0,0,0,0
101020040121,1,10102004,Yes,0,0,0,0,0
101020040128,1,10102004,Yes,0,0,0,140,0
101034140003,1,10103414,Yes,0,0,0,0,0
101034140009,1,10103414,No,,,,,
101034140020,1,10103414,Yes,0,0,0,0,0
101034140025,1,10103414,No,,,,,
101034140031,1,10103414,Yes,0,0,0,0,0
101034140042,1,10103414,Yes,0,0,0,0,0
101034140047,1,10103414,Yes,0,0,0,0,0
101034140053,1,10103414,Yes,0,0,0,0,0
101034140064,1,10103414,Yes,0,0,0,0,0
101034140069,1,10103414,Yes,0,0,0,0,0
101034140075,1,10103414,Yes,0,0,0,0,0
101034140086,1,10103414,Yes,0,0,0,0,0
101034140091,1,10103414,Yes,0,0,0,0,0
101034140097,1,10103414,Yes,0,0,0,0,0
101034140108,1,10103414,Yes,0,0,0,0,0
101034140114,1,10103414,Yes,0,0,0,0,0
