case_id,visit,ea_id,ag_s0a,ag_s0a_os,ag_s01,ag_s02,ag_s03a,ag_s03b,ag_s03b_os,ag_s04,ag_s05a,ag_s05b,ag_s05b_os,ag_s06,ag_s07a,ag_s07b,ag_s08a,ag_s08b,ag_s09a,ag_s09b,ag_s09b_os,ag_s10a,ag_s10b,ag_s10b_os,ag_s11a,ag_s11b,ag_s11b_os,ag_s12,ag_s13
101012150001,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Cow milk,,Yes,2,90,Litre,,No,,,,,,,,,60,Litre,,120,Litre,,0,,,No,
101012150004,1,10101215,Chicken eggs,,Yes,3,12,Piece,,No,,,,,,,,,20,Piece,,0,,,0,,,No,
101012150004,1,10101215,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Chicken eggs,,Yes,1,24,Piece,,Yes,2,Piece,,40,1,2,N05,,3,Piece,,0,,,0,,,No,
101012150021,1,10101215,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Chicken eggs,,Yes,2,17,Piece,,Yes,10,Piece,,200,2,,N05,,15,Piece,,0,,,0,,,No,
101012150022,1,10101215,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
