case_id,visit,ea_id,ag_t0c,ag_t0e,ag_t05a,ag_t05b,ag_t05c,ag_t05d,ag_t06a,ag_t06b,ag_t07,ag_t08,ag_t09,ag_t10,ag_t11
101012150001,2,10101215,Gov. Agricultural Extension Service,,,,,,,,,,,,
101012150001,2,10101215,Private Agricultural Extension Service,,,,,,,,,,,,
101012150001,2,10101215,Gov. Fishery Extension Service,,,,,,,,,,,,
101012150001,2,10101215,ngo,,,,,,,,,,,,
101012150001,2,10101215,Agricultural Coop/Farmers' Assoc,,,,,,,,,,,,
101012150001,2,10101215,Fishing Coop,,,,,,,,,,,,
101012150001,2,10101215,Farmer Field Days/Field School,,,,,,,,,,,,
101012150001,2,10101215,Village Agricultural Extension Meeting,,,,,,,,,,,,
101012150001,2,10101215,Agricultural Extension Course,,,,,,,,,,,,
101012150001,2,10101215,Lead Farmer,,,,,,,,,,,,
101012150001,2,10101215,Other Farmer (Neighbor/Relative),,,,,,,,,,,,
101012150001,2,10101215,"Electronic Media (TV, Radio, Etc…)",,,,,,,,,,,,
101012150001,2,10101215,Paper Media (Handouts / Flyers),,,,,,,,,,,,
101012150001,2,10101215,Other (Specify),,,,,,,,,,,,
101012150004,2,10101215,Gov. Agricultural Extension Service,X,1,,,,1,1,0,,yes,,
101012150004,2,10101215,Private Agricultural Extension Service,,,,,,,,,,,,
101012150004,2,10101215,Gov. Fishery Extension Service,,,,,,,,,,,,
101012150004,2,10101215,ngo,,,,,,,,,,,,
101012150004,2,10101215,Agricultural Coop/Farmers' Assoc,,,,,,,,,,,,
101012150004,2,10101215,Fishing Coop,,,,,,,,,,,,
101012150004,2,10101215,Farmer Field Days/Field School,,,,,,,,,,,,
101012150004,2,10101215,Village Agricultural Extension Meeting,,,,,,,,,,,,
101012150004,2,10101215,Agricultural Extension Course,,,,,,,,,,,,
101012150004,2,10101215,Lead Farmer,,,,,,,,,,,,
101012150004,2,10101215,Other Farmer (Neighbor/Relative),,,,,,,,,,,,
101012150004,2,10101215,"Electronic Media (TV, Radio, Etc…)",,,,,,,,,,,,
101012150004,2,10101215,Paper Media (Handouts / Flyers),,,,,,,,,,,,
101012150004,2,10101215,Other (Specify),,,,,,,,,,,,
101012150021,2,10101215,Gov. Agricultural Extension Service,,,,,,,,,,,,
101012150021,2,10101215,Private Agricultural Extension Service,,,,,,,,,,,,
