ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10101016,Chitipa,1,10,13 Apr 10,13,4,2010,19,22 Jul 10,22,7,2010,no,no,no,yes,no,no,COMPACTED EARTH (YAMDINDO),grass
10101204,Chitipa,1,10,09 Aug 10,9,8,2010,19,10 Aug 10,10,8,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10101215,Chitipa,1,10,13 May 10,13,5,2010,19,22 Jul 10,22,7,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10101219,Chitipa,1,10,01 Mar 11,1,3,2011,19,02 Mar 11,2,3,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10101355,Chitipa,1,10,22 Jan 11,22,1,2011,19,23 Jan 11,23,1,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10101374,Chitipa,1,10,23 Oct 10,23,10,2010,19,24 Oct 10,24,10,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10101470,Chitipa,1,10,19 Jun 10,19,6,2010,19,30 Jul 10,30,7,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10101562,Chitipa,1,10,20 Oct 10,20,10,2010,19,21 Oct 10,21,10,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10101568,Chitipa,1,10,03 Nov 10,3,11,2010,19,04 Nov 10,4,11,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10101706,Chitipa,1,10,09 Nov 10,9,11,2010,19,09 Nov 10,9,11,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10102004,Chitipa,2,10,05 May 10,5,5,2010,19,30 Jul 10,30,7,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10102379,Chitipa,2,10,13 Nov 10,13,11,2010,19,13 Nov 10,13,11,2010,yes,yes,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10102621,Chitipa,2,10,25 Feb 11,25,2,2011,19,27 Feb 11,27,2,2011,yes,no,yes,yes,no,no,BURNT BRICKS,IRON SHEETS
10103414,Chitipa,3,10,22 Sep 10,22,9,2010,19,23 Sep 10,23,9,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10103452,Chitipa,3,10,01 Dec 10,1,12,2010,19,02 Dec 10,2,12,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10103681,Chitipa,3,10,06 Mar 11,6,3,2011,19,08 Mar 11,8,3,2011,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10104150,Chitipa,4,10,16 Jul 10,16,7,2010,19,22 Jul 10,22,7,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10104351,Chitipa,4,10,05 Dec 10,5,12,2010,19,05 Dec 10,5,12,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10104440,Chitipa,4,10,18 Jul 10,18,7,2010,19,30 Jul 10,30,7,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10105352,Chitipa,5,10,06 Nov 10,6,11,2010,19,06 Nov 10,6,11,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10105511,Chitipa,5,10,26 Jan 11,26,1,2011,19,27 Jan 11,27,1,2011,no,no,no,yes,no,yes,BURNT BRICKS,IRON SHEETS
10105513,Chitipa,5,10,02 Apr 10,2,4,2010,19,22 Jul 10,22,7,2010,yes,no,yes,no,no,yes,BURNT BRICKS,grass
10120286,Chitipa,20,10,29 Jan 11,29,1,2011,19,29 Jan 11,29,1,2011,yes,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10120288,Chitipa,20,10,25 Sep 10,25,9,2010,19,26 Sep 10,26,9,2010,yes,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10201137,Karonga,1,10,01 Jun 10,1,6,2010,19,22 Jul 10,22,7,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10201210,Karonga,1,10,16 Mar 11,16,3,2011,19,18 Mar 11,18,3,2011,no,no,yes,yes,no,no,BURNT BRICKS,IRON SHEETS
10201247,Karonga,1,10,31 Oct 10,31,10,2010,19,01 Nov 10,1,11,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10201442,Karonga,1,10,14 Oct 10,14,10,2010,19,16 Oct 10,16,10,2010,no,no,yes,yes,no,yes,MUD (YOMATA),grass
10201688,Karonga,1,10,04 Oct 10,4,10,2010,19,09 Oct 10,9,10,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10202195,Karonga,2,10,13 Jan 11,13,1,2011,19,15 Jan 11,15,1,2011,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10202514,Karonga,2,10,06 Apr 10,6,4,2010,19,22 Jul 10,22,7,2010,no,no,yes,no,no,no,MUD (YOMATA),grass
10203013,Karonga,3,10,27 Apr 10,27,4,2010,19,22 Jul 10,22,7,2010,no,no,no,yes,no,no,MUD (YOMATA),grass
10203085,Karonga,3,10,17 Nov 10,17,11,2010,19,18 Nov 10,18,11,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10203176,Karonga,3,10,04 Aug 10,4,8,2010,19,06 Aug 10,6,8,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10203221,Karonga,3,10,03 Feb 11,3,2,2011,19,04 Feb 11,4,2,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10203623,Karonga,3,10,25 Nov 10,25,11,2010,19,26 Nov 10,26,11,2010,no,no,yes,no,no,no,MUD (YOMATA),grass
10203744,Karonga,3,10,02 Sep 10,2,9,2010,19,03 Sep 10,3,9,2010,yes,no,yes,yes,no,no,BURNT BRICKS,grass
10204101,Karonga,4,10,18 Jan 11,18,1,2011,19,20 Jan 11,20,1,2011,yes,yes,yes,yes,no,yes,BURNT BRICKS,grass
10204322,Karonga,4,10,07 Oct 10,7,10,2010,19,09 Oct 10,9,10,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10204453,Karonga,4,10,20 Mar 11,20,3,2011,19,21 Mar 11,21,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
