ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
10101016,GRADED GRAVELED,90,km,yes,0,12,yes,,,1,hour,no,25,km,300,no,310,km,mzuzu,2100,no,25,km,yes,,,no,4,km,no,25,km,no,4,km,8,0,,,7,700,yes,,no,,,no,25,km,22,521,yes,15,km,6,350,no,1,0,0,0,no,10,km,no,25,km,,,,yes,yes,male,yes,yes,25,km,GOVERNMENT FACILITY,yes,0,yes,yes,no,no,yes,yes,2,,no,25,km,no,25,km,no,no
10101204,GRADED GRAVELED,0,,yes,0,12,yes,,,2,hour,no,28,km,400,no,308,km,mzuzu,1900,no,28,km,no,6,km,no,3,km,no,28,km,no,200,meter,5,0,5,km,4,250,yes,,no,,,no,29,km,22,521,yes,10,km,6,350,no,1,0,0,0,yes,,,no,10,km,,,,no,,,,,28,km,GOVERNMENT FACILITY,yes,0,yes,no,no,yes,yes,yes,2,,no,28,km,no,28,km,no,no
10101215,GRADED GRAVELED,120,km,no,0,6,no,30,km,20,minute,no,30,km,300,no,225,km,mzuzu,1100,no,30,km,no,15,km,no,2,km,no,30,km,no,30,km,4,0,5,meter,4,570,no,2,no,,,no,30,km,22,521,yes,5,km,4,110,no,0,0,0,0,no,500,meter,no,3,km,,,,no,,,,,30,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,30,km,no,30,km,no,no
10101219,DIRT ROAD (MAINTAINED),74,km,yes,0,12,no,16,km,1,hour,no,32,km,400,no,326,km,mzuzu,2000,no,32,km,yes,,,no,16,km,yes,,,no,32,km,5,0,,,6,420,yes,,no,,,no,32,km,22,521,yes,8,km,10,413,no,0,0,0,0,no,32,km,yes,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,no,yes,yes,male,yes,no,32,km,GOVERNMENT FACILITY,yes,0,no,,,,,,,,no,32,km,no,32,km,no,no
10101355,GRADED GRAVELED,70,km,yes,12,12,yes,,,1,hour,no,15,km,200,no,306,km,mzuzu,1600,no,15,km,no,2,km,no,2,km,no,15,km,no,2,km,5,0,,,6,436,no,2,no,,,no,15,km,22,521,yes,11,km,10,413,no,0,0,0,0,no,15,km,no,11,km,,,,yes,yes,female,yes,yes,15,km,GOVERNMENT FACILITY,yes,0,yes,yes,no,no,yes,yes,2,,no,15,km,no,15,km,no,no
10101374,GRADED GRAVELED,99,km,yes,0,12,yes,,,5,hour,no,20,km,300,no,341,km,mzuzu,2100,no,20,km,yes,,,no,6,km,no,20,km,no,20,km,7,0,,,4,486,yes,,no,,,no,20,km,22,521,yes,5,meter,5,180,no,0,0,0,0,no,20,km,no,15,km,,,,yes,yes,male,yes,yes,20,km,GOVERNMENT FACILITY,yes,0,yes,yes,no,yes,yes,yes,2,,no,20,km,no,20,km,no,no
10101470,GRADED GRAVELED,101,km,yes,0,12,no,3,km,1,hour,no,3,km,100,no,324,km,mzuzu,1800,no,3,km,no,15,km,no,3,km,no,3,km,no,3,km,6,0,,,8,340,no,4,no,,,no,3,km,22,521,yes,4,km,26,500,yes,0,0,0,0,yes,,,no,2,km,,,,yes,yes,female,no,yes,2,km,GOVERNMENT FACILITY,yes,0,no,,,,,,,,no,3,km,no,3,km,no,no
10101562,GRADED GRAVELED,73,km,yes,0,12,yes,,,4,hour,no,10,km,300,no,311,km,mzuzu,1650,no,10,km,no,3,km,no,3,km,no,10,km,no,10,km,5,0,6,km,5,250,yes,,no,,,no,10,km,22,521,yes,2,km,10,413,no,2,1,0,0,no,10,km,yes,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,yes,yes,yes,male,yes,yes,10,km,GOVERNMENT FACILITY,yes,0,yes,yes,no,yes,yes,yes,2,,no,10,km,no,10,km,no,no
10101568,GRADED GRAVELED,82,km,no,0,2,no,3,km,1,hour,no,3,km,100,no,324,km,mzuzu,1800,no,3,km,no,6,km,no,3,km,no,3,km,no,3,km,5,0,,,8,300,no,6,no,,,no,4,km,22,521,yes,2,km,16,358,yes,0,0,0,0,no,3,km,no,3,km,,,,yes,yes,female,no,no,3,km,GOVERNMENT FACILITY,yes,0,yes,yes,no,yes,yes,yes,2,,no,3,km,no,3,km,no,no
10101706,GRADED GRAVELED,93,km,yes,0,12,no,23,km,1,hour,no,32,km,500,no,312,km,mzuzu,1950,no,32,km,no,9,km,no,18,km,no,9,km,no,9,km,4,0,,,4,184,no,4,no,,,no,32,km,22,512,yes,8,km,10,413,no,0,0,0,0,no,3,km,no,6,km,,,,yes,yes,male,yes,no,32,km,GOVERNMENT FACILITY,yes,0,no,,,,,,,,no,32,km,no,32,km,no,no
