ea_id,com_cf01,com_cf02,com_cf03,com_cf04,com_cf05,com_cf06,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf14a,com_cf14b,com_cf14c,com_cf14d,com_cf14e,com_cf15a,com_cf15b,com_cf15c,com_cf15d,com_cf15e,com_cf16a,com_cf16b,com_cf16c,com_cf16d,com_cf16e,com_cf16f,com_cf16g,com_cf16h,com_cf16i,com_cf17a,com_cf17b,com_cf17c
10101016,yes,2ND HALF NOV,2ND HALF JUN,TOO MUCH,TOO EARLY,TOO LATE,no,3,km,no,,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,worse,worse,MUCH WORSE,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,better,MUCH WORSE,NOT APPLICABLE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH WORSE,worse,no,no,no
10101204,yes,2ND HALF NOV,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,18,km,yes,350,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,better,MUCH WORSE,better,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,worse,worse,MUCH BETTER,MUCH WORSE,worse,no,no,no
10101215,yes,1ST HALF DEC,1ST HALF JUN,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,no,3,km,no,,0,0,no,less,more,more,less,ABOUT THE SAME NUMBER,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,MUCH BETTER,worse,no,no,no
10101219,yes,1ST HALF DEC,2ND HALF MAY,THE RIGHT AMOUNT,TOO LATE,AT THE RIGHT TIME,yes,,,yes,153,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,ABOUT THE SAME,MUCH BETTER,worse,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,worse,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,no,no,yes
10101355,yes,1ST HALF DEC,1ST HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,2,km,no,,0,0,no,more,more,less,ABOUT THE SAME NUMBER,less,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,worse,MUCH BETTER,worse,NOT APPLICABLE,NOT APPLICABLE,better,worse,better,better,MUCH BETTER,no,no,yes
10101374,yes,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,4,km,no,,0,0,no,more,more,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,ABOUT THE SAME,ABOUT THE SAME,worse,worse,NOT APPLICABLE,MUCH BETTER,worse,MUCH BETTER,worse,worse,no,no,no
10101470,yes,2ND HALF DEC,2ND HALF JUN,THE RIGHT AMOUNT,TOO LATE,TOO EARLY,no,3,km,no,,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,worse,worse,ABOUT THE SAME,better,worse,yes,no,no
10101562,yes,2ND HALF NOV,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,no,3,km,yes,170,0,0,no,more,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,better,better,MUCH BETTER,better,better,worse,better,better,ABOUT THE SAME,no,no,no
10101568,yes,1ST HALF DEC,1ST HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,4,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,better,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,better,worse,better,worse,ABOUT THE SAME,yes,yes,yes
10101706,yes,2ND HALF DEC,2ND HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,no,18,km,no,,0,0,yes,more,more,less,ABOUT THE SAME NUMBER,less,worse,worse,worse,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,worse,ABOUT THE SAME,NOT APPLICABLE,MUCH BETTER,worse,MUCH BETTER,MUCH WORSE,ABOUT THE SAME,no,no,yes
10102004,yes,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO LATE,no,38,km,yes,35,0,0,no,more,more,more,more,more,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,NOT APPLICABLE,better,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,worse,MUCH BETTER,better,worse,no,no,no
10102379,yes,2ND HALF NOV,2ND HALF MAR,TOO LITTLE,TOO EARLY,TOO LATE,no,4,km,no,,0,0,yes,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,more,NOT APPLICABLE,more,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,ABOUT THE SAME,better,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,worse,better,better,worse,no,no,yes
10102621,yes,1ST HALF NOV,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,no,25,km,yes,95,0,0,no,more,more,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,better,better,MUCH BETTER,better,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,worse,no,no,yes
10103414,yes,1ST HALF DEC,1ST HALF JUN,TOO LITTLE,AT THE RIGHT TIME,TOO EARLY,yes,,,yes,50,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,worse,MUCH BETTER,better,worse,no,no,yes
10103452,yes,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,17,km,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,worse,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,worse,MUCH WORSE,better,worse,no,no,yes
10103681,yes,1ST HALF DEC,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,no,15,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,better,MUCH BETTER,worse,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,worse,ABOUT THE SAME,MUCH WORSE,ABOUT THE SAME,no,no,yes
10104150,yes,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,no,8,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,worse,ABOUT THE SAME,worse,worse,no,no,no
10104351,yes,2ND HALF DEC,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,1,km,no,,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,ABOUT THE SAME,MUCH BETTER,worse,worse,NOT APPLICABLE,ABOUT THE SAME,worse,MUCH WORSE,better,ABOUT THE SAME,no,no,yes
10104440,yes,1ST HALF DEC,2ND HALF JUN,TOO LITTLE,AT THE RIGHT TIME,TOO EARLY,no,4,km,no,,0,0,no,more,more,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,worse,worse,worse,NOT APPLICABLE,worse,worse,worse,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,worse,MUCH BETTER,MUCH WORSE,NOT APPLICABLE,no,no,no
10105352,yes,1ST HALF DEC,2ND HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,no,5,km,yes,38,0,0,no,more,more,more,more,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,better,worse,ABOUT THE SAME,better,worse,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,no,no,yes
10105511,yes,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO EARLY,AT THE RIGHT TIME,no,15,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,better,MUCH BETTER,worse,NOT APPLICABLE,NOT APPLICABLE,worse,worse,MUCH BETTER,worse,NOT APPLICABLE,no,no,yes
10105513,yes,1ST HALF DEC,2ND HALF JUN,THE RIGHT AMOUNT,TOO LATE,AT THE RIGHT TIME,no,7,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,MUCH WORSE,MUCH WORSE,worse,worse,better,better,worse,no,no,no
10120286,yes,2ND HALF NOV,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,yes,,,no,,0,0,no,less,less,less,ABOUT THE SAME NUMBER,less,MUCH BETTER,MUCH BETTER,better,worse,worse,MUCH BETTER,worse,worse,worse,better,worse,MUCH BETTER,better,worse,yes,yes,yes
