ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
10101016,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,worse,worse,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,better,MUCH BETTER,MUCH BETTER,MUCH WORSE,worse,better,better,worse,NOT APPLICABLE,better,worse,better,better,worse,4
10101204,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,worse,NOT APPLICABLE,worse,worse,better,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,better,better,MUCH BETTER,worse,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,worse,MUCH WORSE,better,better,better,better,5
10101215,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH WORSE,NOT APPLICABLE,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,better,better,NOT APPLICABLE,better,ABOUT THE SAME,ABOUT THE SAME,worse,worse,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,5
10101219,MUCH BETTER,better,better,MUCH BETTER,NOT APPLICABLE,worse,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,better,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,better,MUCH BETTER,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,5
10101355,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,NOT APPLICABLE,MUCH WORSE,better,MUCH BETTER,MUCH BETTER,worse,ABOUT THE SAME,MUCH BETTER,better,better,MUCH BETTER,better,better,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,better,ABOUT THE SAME,MUCH BETTER,better,better,better,better,5
10101374,MUCH BETTER,better,better,MUCH BETTER,NOT APPLICABLE,worse,worse,worse,ABOUT THE SAME,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,ABOUT THE SAME,NOT APPLICABLE,MUCH BETTER,worse,worse,worse,MUCH BETTER,better,ABOUT THE SAME,ABOUT THE SAME,better,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,5
10101470,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,worse,worse,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,NOT APPLICABLE,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,worse,better,ABOUT THE SAME,MUCH BETTER,worse,4
10101562,MUCH BETTER,MUCH BETTER,better,better,NOT APPLICABLE,worse,worse,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,MUCH BETTER,MUCH BETTER,better,better,better,NOT APPLICABLE,better,better,worse,worse,worse,worse,ABOUT THE SAME,worse,2
10101568,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,worse,better,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,ABOUT THE SAME,better,better,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,worse,MUCH BETTER,better,ABOUT THE SAME,better,better,better,ABOUT THE SAME,4
10101706,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,worse,better,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,worse,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,MUCH WORSE,worse,ABOUT THE SAME,worse,ABOUT THE SAME,5
