ea_id,com_ci0b,com_ci0b_os,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_os,com_ci07b,com_ci07b_os,com_ci07c,com_ci07c_os,com_ci08a,com_ci08a_os,com_ci08b,com_ci08b_os,com_ci08c,com_ci08c_os,com_ci09a,com_ci09a_os,com_ci09b,com_ci09b_os,com_ci09c,com_ci09c_os,com_ci10,com_ci11,com_ci12,com_ci12_os,com_ci13,com_ci14
10101016,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Pasture,,yes,yes,no,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10101016,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10101204,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Unallocated Arable Land,,yes,yes,no,no,no,no,,,,,,,Rotation among groups of families,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
10101215,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101219,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101219,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101219,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101219,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101219,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10101355,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101355,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101355,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101355,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101355,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101374,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101374,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101374,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10101374,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101374,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101470,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101470,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101470,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101470,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101470,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
10101562,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101706,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101706,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101706,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101706,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
10101706,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Forest,,yes,yes,yes,yes,yes,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,Limitations of number of users at a given time,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10102379,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102379,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102379,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102379,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102379,Forest,,yes,yes,yes,no,yes,yes,USE THE THREAT OF FINE,,USE GUARDS,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10102621,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102621,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102621,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
