ea_id,com_cj0b,com_cj0b_os,com_cj01,com_cj02,com_cj03,com_cj03_os,com_cj04,com_cj05,com_cj06
10101016,Political Group,,Yes,4,Annually,,100,56,25
10101016,Community Police/Watch Group,,Yes,2,Monthly,,10,3,4
10101016,Farmers' Group,,No,,,,,,
10101016,School Committee,,Yes,1,Quartery,,10,4,0
10101016,Health Committee,,Yes,1,Monthly,,10,4,2
10101016,Savings & Credit Coop,,No,,,,,,
10101016,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,4,0
10101016,ngo,,No,,,,,,
10101016,Sports Group,,No,,,,,,
10101016,Disabled Assoc.,,No,,,,,,
10101016,Religious Group,,No,,,,,,
10101016,Village Development Committee,,Yes,1,Monthly,,10,3,1
10101016,Agricultural Coop,,No,,,,,,
10101016,Other (Specify),,No,,,,,,
10101016,Youth Group,,No,,,,,,
10101016,Women's Group,,No,,,,,,
10101016,Business Assoc.,,No,,,,,,
10101016,Cultural Group,,No,,,,,,
10101204,Business Assoc.,,No,,,,,,
10101204,Political Group,,Yes,2,Quartery,,100,75,75
10101204,Village Development Committee,,Yes,1,Monthly,,10,5,0
10101204,Health Committee,,Yes,1,Weekly,,10,5,3
10101204,Agricultural Coop,,No,,,,,,
10101204,Youth Group,,No,,,,,,
10101204,Religious Group,,No,,,,,,
10101204,Savings & Credit Coop,,No,,,,,,
10101204,ngo,,No,,,,,,
10101204,Women's Group,,No,,,,,,
10101204,Cultural Group,,Yes,2,Weekly,,20,0,15
10101204,Parent-Teacher Assoc.,,Yes,1,Quartery,,9,5,0
10101204,Sports Group,,Yes,2,Weekly,,38,0,38
10101204,Farmers' Group,,No,,,,,,
10101204,School Committee,,Yes,1,Monthly,,9,4,1
10101204,Community Police/Watch Group,,Yes,1,Quartery,,8,0,2
10101204,Other (Specify),,No,,,,,,
10101204,Disabled Assoc.,,No,,,,,,
10101215,Women's Group,,No,,,,,,
10101215,Disabled Assoc.,,No,,,,,,
10101215,School Committee,,No,,,,,,
10101215,Other (Specify),,No,,,,,,
10101215,Business Assoc.,,No,,,,,,
10101215,Political Group,,Yes,2,Quartery,,80,52,15
10101215,Village Development Committee,,Yes,1,Monthly,,10,5,4
10101215,Parent-Teacher Assoc.,,No,,,,,,
10101215,Savings & Credit Coop,,No,,,,,,
10101215,Cultural Group,,No,,,,,,
10101215,ngo,,No,,,,,,
10101215,Religious Group,,No,,,,,,
10101215,Health Committee,,No,,,,,,
10101215,Farmers' Group,,No,,,,,,
10101215,Youth Group,,No,,,,,,
10101215,Sports Group,,No,,,,,,
10101215,Community Police/Watch Group,,Yes,2,Monthly,,10,5,7
10101215,Agricultural Coop,,No,,,,,,
10101219,School Committee,,Yes,1,Monthly,,11,4,0
10101219,Sports Group,,Yes,1,Weekly,,30,0,25
10101219,Community Police/Watch Group,,Yes,1,Weekly,,10,0,0
10101219,Savings & Credit Coop,,No,,,,,,
10101219,Health Committee,,Yes,3,Monthly,,10,5,4
10101219,Agricultural Coop,,No,,,,,,
10101219,Village Development Committee,,Yes,1,Other (Specify),TWICE A WEEK,10,4,3
10101219,Women's Group,,No,,,,,,
10101219,Other (Specify),,No,,,,,,
10101219,Political Group,,Yes,3,Quartery,,200,140,60
10101219,Cultural Group,,No,,,,,,
10101219,Disabled Assoc.,,No,,,,,,
10101219,Parent-Teacher Assoc.,,Yes,1,Other (Specify),TWICE A WEEK,10,6,0
10101219,Youth Group,,No,,,,,,
10101219,ngo,,No,,,,,,
10101219,Religious Group,,No,,,,,,
10101219,Business Assoc.,,No,,,,,,
10101219,Farmers' Group,,No,,,,,,
10101355,Women's Group,,No,,,,,,
10101355,Village Development Committee,,Yes,1,Monthly,,8,4,0
10101355,ngo,,No,,,,,,
10101355,Sports Group,,No,,,,,,
10101355,Community Police/Watch Group,,Yes,4,Monthly,,10,0,10
10101355,Cultural Group,,No,,,,,,
10101355,Disabled Assoc.,,No,,,,,,
10101355,School Committee,,Yes,1,Monthly,,9,3,0
10101355,Parent-Teacher Assoc.,,Yes,1,Quartery,,10,4,0
10101355,Other (Specify),,No,,,,,,
10101355,Agricultural Coop,,No,,,,,,
10101355,Religious Group,,No,,,,,,
10101355,Youth Group,,No,,,,,,
10101355,Business Assoc.,,No,,,,,,
10101355,Savings & Credit Coop,,No,,,,,,
10101355,Farmers' Group,,No,,,,,,
10101355,Political Group,,Yes,2,Semi-Annually,,250,150,90
10101355,Health Committee,,Yes,4,Monthly,,10,3,2
10101374,Youth Group,,No,,,,,,
10101374,Cultural Group,,No,,,,,,
10101374,Parent-Teacher Assoc.,,Yes,1,Quartery,,10,4,0
10101374,Agricultural Coop,,No,,,,,,
10101374,Disabled Assoc.,,No,,,,,,
10101374,Health Committee,,Yes,1,Monthly,,9,2,0
10101374,ngo,,No,,,,,,
10101374,Community Police/Watch Group,,Yes,1,Monthly,,10,3,4
10101374,Women's Group,,No,,,,,,
10101374,Savings & Credit Coop,,No,,,,,,
10101374,Sports Group,,Yes,2,Weekly,,30,0,15
10101374,Farmers' Group,,No,,,,,,
10101374,School Committee,,Yes,1,Monthly,,10,3,0
10101374,Religious Group,,Yes,2,Weekly,,150,80,60
10101374,Village Development Committee,,Yes,1,Other (Specify),BIWEEKLY,10,2,0
10101374,Other (Specify),,No,,,,,,
10101374,Political Group,,Yes,3,Quartery,,300,200,150
10101374,Business Assoc.,,No,,,,,,
10101470,Political Group,,Yes,4,Quartery,,200,70,30
10101470,Farmers' Group,,No,,,,,,
10101470,ngo,,No,,,,,,
10101470,Agricultural Coop,,No,,,,,,
10101470,Sports Group,,Yes,1,Weekly,,9,5,6
10101470,Women's Group,,No,,,,,,
10101470,Cultural Group,,No,,,,,,
10101470,Disabled Assoc.,,No,,,,,,
10101470,Village Development Committee,,Yes,1,Monthly,,10,4,2
10101470,Community Police/Watch Group,,Yes,1,Monthly,,10,2,2
10101470,Business Assoc.,,No,,,,,,
10101470,Religious Group,,Yes,6,Weekly,,100,50,20
10101470,Youth Group,,No,,,,,,
10101470,Savings & Credit Coop,,No,,,,,,
10101470,Other (Specify),,No,,,,,,
10101470,Health Committee,,No,,,,,,
10101470,Parent-Teacher Assoc.,,Yes,1,Quartery,,10,4,0
10101470,School Committee,,Yes,1,Weekly,,10,4,0
10101562,School Committee,,Yes,2,Monthly,,10,5,0
10101562,Sports Group,,Yes,2,Weekly,,30,0,20
10101562,Cultural Group,,Yes,2,Weekly,,80,30,40
10101562,Health Committee,,Yes,1,Weekly,,10,3,0
10101562,Other (Specify),,No,,,,,,
10101562,Village Development Committee,,Yes,1,Weekly,,10,5,0
10101562,Business Assoc.,,No,,,,,,
10101562,Religious Group,,No,,,,,,
10101562,Women's Group,,No,,,,,,
10101562,ngo,,No,,,,,,
10101562,Disabled Assoc.,,No,,,,,,
10101562,Political Group,,Yes,3,Quartery,,500,300,150
10101562,Farmers' Group,,No,,,,,,
10101562,Community Police/Watch Group,,Yes,1,Monthly,,13,4,0
10101562,Parent-Teacher Assoc.,,Yes,2,Monthly,,10,5,0
10101562,Youth Group,,No,,,,,,
10101562,Savings & Credit Coop,,No,,,,,,
10101562,Agricultural Coop,,No,,,,,,
10101568,Religious Group,,Yes,3,Weekly,,300,180,70
10101568,Political Group,,Yes,3,Quartery,,400,300,80
10101568,Savings & Credit Coop,,No,,,,,,
10101568,Health Committee,,Yes,4,Other (Specify),BIWEEKLY,10,4,3
10101568,Agricultural Coop,,No,,,,,,
10101568,Village Development Committee,,Yes,3,Monthly,,8,0,2
10101568,ngo,,No,,,,,,
10101568,Parent-Teacher Assoc.,,Yes,2,Monthly,,10,3,0
10101568,Cultural Group,,No,,,,,,
10101568,Other (Specify),,No,,,,,,
10101568,Business Assoc.,,No,,,,,,
10101568,Sports Group,,Yes,1,Weekly,,40,0,35
10101568,Disabled Assoc.,,No,,,,,,
10101568,Women's Group,,No,,,,,,
10101568,Community Police/Watch Group,,Yes,4,Weekly,,10,1,2
10101568,Youth Group,,No,,,,,,
10101568,Farmers' Group,,No,,,,,,
10101568,School Committee,,Yes,2,Weekly,,10,2,0
10101706,Savings & Credit Coop,,No,,,,,,
10101706,Disabled Assoc.,,No,,,,,,
10101706,Sports Group,,Yes,1,Other (Specify),TWICE,25,0,25
10101706,Women's Group,,No,,,,,,
10101706,Other (Specify),,No,,,,,,
10101706,Political Group,,Yes,1,Quartery,,100,40,30
10101706,Religious Group,,No,,,,,,
10101706,ngo,,No,,,,,,
10101706,Community Police/Watch Group,,Yes,2,Monthly,,10,5,9
10101706,School Committee,,Yes,1,Monthly,,9,4,0
10101706,Business Assoc.,,No,,,,,,
10101706,Health Committee,,Yes,2,Monthly,,10,4,5
10101706,Farmers' Group,,No,,,,,,
10101706,Village Development Committee,,Yes,2,Monthly,,10,5,6
10101706,Parent-Teacher Assoc.,,Yes,1,Quartery,,10,2,4
10101706,Youth Group,,No,,,,,,
10101706,Agricultural Coop,,No,,,,,,
10101706,Cultural Group,,No,,,,,,
10102004,Cultural Group,,No,,,,,,
10102004,Religious Group,,No,,,,,,
10102004,Agricultural Coop,,No,,,,,,
10102004,School Committee,,No,,,,,,
10102004,Savings & Credit Coop,,No,,,,,,
10102004,Disabled Assoc.,,No,,,,,,
10102004,ngo,,No,,,,,,
10102004,Farmers' Group,,No,,,,,,
10102004,Other (Specify),,No,,,,,,
10102004,Youth Group,,No,,,,,,
10102004,Health Committee,,Yes,1,Monthly,,10,5,9
10102004,Political Group,,Yes,2,Quartery,,200,140,60
10102004,Parent-Teacher Assoc.,,No,,,,,,
10102004,Village Development Committee,,Yes,3,Monthly,,15,6,8
10102004,Women's Group,,No,,,,,,
10102004,Sports Group,,No,,,,,,
10102004,Community Police/Watch Group,,Yes,1,Monthly,,16,11,2
10102004,Business Assoc.,,No,,,,,,
10102379,School Committee,,Yes,1,Other (Specify),TWICE A MONTH,9,3,0
10102379,Women's Group,,No,,,,,,
10102379,Community Police/Watch Group,,Yes,2,Monthly,,10,3,4
10102379,ngo,,No,,,,,,
10102379,Sports Group,,Yes,1,Weekly,,30,0,18
10102379,Cultural Group,,No,,,,,,
10102379,Political Group,,Yes,3,Quartery,,76,50,26
10102379,Business Assoc.,,No,,,,,,
10102379,Parent-Teacher Assoc.,,Yes,1,Other (Specify),TWICE A WEEK,9,3,0
10102379,Youth Group,,No,,,,,,
10102379,Other (Specify),,No,,,,,,
10102379,Health Committee,,Yes,2,Monthly,,10,4,3
10102379,Savings & Credit Coop,,No,,,,,,
10102379,Agricultural Coop,,No,,,,,,
10102379,Village Development Committee,,Yes,2,Weekly,,10,4,4
10102379,Religious Group,,Yes,2,Weekly,,200,120,80
10102379,Farmers' Group,,No,,,,,,
10102379,Disabled Assoc.,,No,,,,,,
10102621,School Committee,,No,,,,,,
10102621,Other (Specify),,No,,,,,,
10102621,ngo,,No,,,,,,
10102621,Political Group,,Yes,3,Quartery,,250,130,80
10102621,Savings & Credit Coop,,No,,,,,,
10102621,Religious Group,,No,,,,,,
10102621,Farmers' Group,,No,,,,,,
10102621,Youth Group,,No,,,,,,
10102621,Business Assoc.,,No,,,,,,
10102621,Cultural Group,,Yes,2,Quartery,,40,25,15
10102621,Women's Group,,No,,,,,,
10102621,Health Committee,,Yes,1,Weekly,,10,4,0
10102621,Sports Group,,No,,,,,,
10102621,Agricultural Coop,,No,,,,,,
10102621,Village Development Committee,,Yes,2,Monthly,,10,3,0
10102621,Parent-Teacher Assoc.,,No,,,,,,
10102621,Community Police/Watch Group,,Yes,2,Monthly,,10,4,0
10102621,Disabled Assoc.,,No,,,,,,
10103414,Cultural Group,,No,,,,,,
10103414,Disabled Assoc.,,No,,,,,,
10103414,School Committee,,No,,,,,,
10103414,Savings & Credit Coop,,No,,,,,,
10103414,Health Committee,,No,,,,,,
10103414,Religious Group,,No,,,,,,
10103414,Farmers' Group,,No,,,,,,
10103414,Sports Group,,No,,,,,,
10103414,Parent-Teacher Assoc.,,No,,,,,,
10103414,ngo,,No,,,,,,
10103414,Community Police/Watch Group,,Yes,2,Weekly,,10,2,3
10103414,Business Assoc.,,No,,,,,,
10103414,Village Development Committee,,Yes,2,Monthly,,10,2,4
10103414,Political Group,,Yes,1,Other (Specify),TWICE A WEEK,50,20,15
10103414,Agricultural Coop,,No,,,,,,
10103414,Youth Group,,No,,,,,,
10103414,Women's Group,,No,,,,,,
10103414,Other (Specify),,No,,,,,,
10103452,Parent-Teacher Assoc.,,Yes,1,Quartery,,9,2,0
10103452,ngo,,No,,,,,,
10103452,Business Assoc.,,No,,,,,,
10103452,Political Group,,No,,,,,,
10103452,Women's Group,,No,,,,,,
10103452,Community Police/Watch Group,,Yes,2,Other (Specify),BIWEEKLY,8,0,0
10103452,Other (Specify),,No,,,,,,
10103452,Village Development Committee,,Yes,4,Weekly,,10,5,0
10103452,Cultural Group,,No,,,,,,
10103452,Youth Group,,No,,,,,,
10103452,Savings & Credit Coop,,No,,,,,,
10103452,Agricultural Coop,,No,,,,,,
10103452,School Committee,,Yes,1,Other (Specify),BIWEEKLY,10,4,0
10103452,Religious Group,,No,,,,,,
10103452,Sports Group,,Yes,2,Weekly,,25,25,20
10103452,Disabled Assoc.,,No,,,,,,
10103452,Farmers' Group,,No,,,,,,
10103452,Health Committee,,Yes,2,Other (Specify),BIWEEKLY,10,3,0
10103681,Community Police/Watch Group,,Yes,2,Monthly,,10,3,0
10103681,Disabled Assoc.,,No,,,,,,
10103681,Farmers' Group,,No,,,,,,
10103681,Religious Group,,No,,,,,,
10103681,Women's Group,,No,,,,,,
10103681,Agricultural Coop,,No,,,,,,
10103681,Youth Group,,No,,,,,,
10103681,School Committee,,No,,,,,,
10103681,Parent-Teacher Assoc.,,No,,,,,,
10103681,Savings & Credit Coop,,No,,,,,,
10103681,Village Development Committee,,Yes,3,Monthly,,10,5,0
10103681,Political Group,,Yes,3,Semi-Annually,,200,120,40
10103681,Other (Specify),,No,,,,,,
10103681,Sports Group,,No,,,,,,
10103681,ngo,,No,,,,,,
10103681,Business Assoc.,,No,,,,,,
10103681,Cultural Group,,No,,,,,,
10103681,Health Committee,,Yes,1,Monthly,,10,4,0
10104150,Youth Group,,No,,,,,,
10104150,ngo,,No,,,,,,
10104150,Sports Group,,Yes,3,Monthly,,80,30,80
10104150,School Committee,,Yes,1,Monthly,,10,5,4
10104150,Community Police/Watch Group,,Yes,2,Monthly,,10,4,3
10104150,Parent-Teacher Assoc.,,Yes,1,Monthly,,9,4,2
10104150,Agricultural Coop,,No,,,,,,
10104150,Village Development Committee,,Yes,2,Monthly,,10,4,4
10104150,Cultural Group,,No,,,,,,
10104150,Savings & Credit Coop,,No,,,,,,
10104150,Farmers' Group,,No,,,,,,
10104150,Political Group,,Yes,3,Quartery,,400,200,100
10104150,Other (Specify),,No,,,,,,
10104150,Disabled Assoc.,,No,,,,,,
10104150,Women's Group,,Yes,2,Monthly,,15,15,9
10104150,Business Assoc.,,No,,,,,,
10104150,Religious Group,,No,,,,,,
10104150,Health Committee,,Yes,3,Monthly,,10,5,5
10104351,School Committee,,Yes,1,Monthly,,10,4,4
10104351,Cultural Group,,No,,,,,,
10104351,Women's Group,,No,,,,,,
10104351,Other (Specify),,No,,,,,,
10104351,Health Committee,,Yes,1,Monthly,,10,6,3
10104351,Youth Group,,No,,,,,,
10104351,Agricultural Coop,,No,,,,,,
10104351,Disabled Assoc.,,No,,,,,,
10104351,Parent-Teacher Assoc.,,Yes,1,Quartery,,10,2,2
10104351,Business Assoc.,,No,,,,,,
10104351,Farmers' Group,,No,,,,,,
10104351,ngo,,No,,,,,,
