ea_id,com_ck00a,com_ck00c,com_ck00b1,com_ck00b2,com_ck00b3,com_ck00b3_os
10101016,Maize grain,Yes,600,1,Pail (Large),
10101016,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101016,Cost to grind 50 kg bag of maize,Yes,300,,,
10101016,Cost to grind 50 kg bag of rice,No,,,,
10101016,Rice,Yes,160,1,Kilogram,
10101016,White bread loaf (unsliced),Yes,105,1,Piece,
10101016,Scone / Mandazi,Yes,10,1,Piece,
10101016,Beans,Yes,100,1,Kilogram,
10101016,Cabbage,Yes,40,1,Piece,
10101016,Tomatoes,Yes,20,1,Heap,
10101016,Banana,Yes,5,1,Piece,
10101016,Fresh milk (liquid),Yes,20,300,Millilitre,
10101016,Egg,Yes,20,1,Piece,
10101016,Chicken (live),Yes,600,1,Piece,
10101016,Dried fish (usipa),Yes,50,1,Heap,
10101016,Beef,Yes,350,1,Kilogram,
10101016,Tea leaves,Yes,10,10,Gram,
10101016,Salt,Yes,30,200,Gram,
10101016,"Sugar, white",Yes,150,1,Kilogram,
10101016,"Cooking oil (Kazinga, Kukoma)",No,,,,
10101016,"Chips, potato (street vendor)",No,,,,
10101016,Bar soap (Maluwa),Yes,250,1,Piece,
10101016,Toothbrush,Yes,25,1,Piece,
10101016,Toothpaste (50 g tube),Yes,150,1,Piece,
10101016,"Clothes soap (Omo, Surf)",No,,,,
10101016,Vaseline/glycerin,Yes,80,50,Millilitre,
10101016,Aspirin or Panadol,Yes,10,1,Piece,
10101016,Fansidar (3 tablet packet),No,,,,
10101016,Chitenje cloth,Yes,350,1,Piece,
10101016,Trousers (kaunjika),Yes,350,,,
10101016,"Coca-Cola, Fanta (bottle)",Yes,70,,,
10101016,Carlsberg beer (bottle),Yes,140,,,
10101016,"Cigarettes, Embassy (packet)",Yes,200,,,
10101016,Battery (dry cell) for radio,Yes,40,,,
10101016,"Watch, digital (simple), plastic",Yes,75,,,
10101016,Firewood,Yes,70,1,Heap,
10101016,Charcoal,Yes,150,1,Pail (Large),
10101016,Paraffin,Yes,80,200,Millilitre,
10101016,Chemical fertilizer (mkt value),Yes,5700,50,Kilogram,
10101016,Pesticides/Insecticides (mkt value),No,,,,
10101016,Herbicides/Fungicides (mkt value),Yes,2500,1,Litre,
