position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique HH Identifier
2,visit,byte,1,%8.0g,,Panel Visit
3,ea_id,str8,0,%8s,,Unique EA Identifier
4,ag_j00,str2,0,%2s,,PLOT ID
5,ag_j03,str24,0,%24s,,PLOT NAME
6,ag_j05a,float,1,%9.0g,,What is the area of this [PLOT]? (FARMER ESTIMATION/AREA)
7,ag_j05b,byte,1,%8.0g,N05B,What is the area of this [PLOT]? (FARMER ESTIMATION/UNIT)
8,ag_j05b_os,str1,0,%1s,,What is the area of this [PLOT]? (FARMERS ESTIMATION/UNIT) (Other Specify)
9,ag_j05c,float,1,%9.0g,,What is the area of this [PLOT]? (GPS MEASURE/AREA IN ACRES)
10,ag_j06d_os,str22,0,%22s,,Reason plot not measured
