position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique HH Identifier
2,visit,byte,1,%8.0g,,Panel Visit
3,ea_id,str8,0,%8s,,Unique EA Identifier
4,ag_p0a,byte,1,%8.0g,U0A,"Did you or anyone in your household own any tree or permanent crop, such as, cas"
5,ag_p0b,str2,0,%2s,,PLOT ID
6,ag_p0d,byte,1,%8.0g,U0D,TREE/PERMANENT CROP CODE
7,ag_p0d_os,str11,0,%11s,,Tree/Permanent Crop Code (Other Specify)
8,ag_p01,byte,1,%8.0g,U01,Is[TREE/PERM CROP]cultivated in a plantation or scattered in field?
9,ag_p02a,float,1,%9.0g,,What is the area of the plantation?(AREA)
10,ag_p02b,byte,1,%8.0g,U02B,What is the area of the plantation?(UNIT)
11,ag_p02b_os,str1,0,%1s,,What is the area of the plantation?(UNIT/SPECIFY)
12,ag_p03,int,1,%8.0g,,How many plants/trees for the[TREE/PERM CROP]do you own on this[PLOT]?
13,ag_p04,int,1,%8.0g,,In what year were most of these plants/trees planted?
14,ag_p05,int,1,%8.0g,,How many plants/trees were planted during the last 12 months?
15,ag_p06a,byte,1,%8.0g,U06A,What was the last completed production period for[TREE/PERM CROP]?(START MONTH)
16,ag_p06b,int,1,%8.0g,,What was the last completed production period for[TREE/PERM CROP]?(START YEAR)
17,ag_p06c,byte,1,%8.0g,U06C,What was the last completed production period for[TREE/PERM CROP]?(END MONTH)
18,ag_p06d,int,1,%8.0g,,What was the last completed production period for[TREE/PERM CROP]?(END YEAR)
19,ag_p07,byte,1,%8.0g,U07,Were there any losses of[TREE/PERM CROP]before harvest?
20,ag_p08a,byte,1,%8.0g,U08A,Why were there losses before the harvest? (1ST CAUSE)
21,ag_p08a_os,str39,0,%39s,,Why were there losses before the harvest? (1ST CAUSE/SPECIFY)
22,ag_p08b,byte,1,%8.0g,U08B,Why were there losses before the harvest? (2ND CAUSE)
23,ag_p08b_os,str31,0,%31s,,Why were there losses before the harvest? (2ND CAUSE/SPECIFY)
24,ag_p09a,float,1,%9.0g,,How much[TREE/PERM CROP]did you harvest during the last 12 mnths?(Q)
25,ag_p09b,byte,1,%8.0g,U09B,How much[TREE/PERM CROP]did you harvest during the last 12 mnths?(U)
26,ag_p09b_os,str13,0,%13s,,How much[TREE/PERM CROP]did you harvest during the last 12 mnths?(O/S)
