position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique HH Identifier
2,visit,byte,1,%8.0g,,Panel Visit
3,ea_id,str8,0,%8s,,Unique EA Identifier
4,hh_g01,byte,1,%8.0g,HH_G01,Consumed item?
5,hh_g02,int,1,%8.0g,HH_G02,Item Code
6,hh_g02_os,str34,0,%34s,,Item (Other Specify)
7,hh_g03a,float,1,%9.0g,,How much in total did your household consume in the past week (Quantity)?
8,hh_g03b,str3,0,%3s,,How much in total did your household consume in the past week (Unit)?
9,hh_g03b_os,str34,0,%34s,,How much in total did your household consume in the past week (Unit)? (Other Spe
10,hh_g04a,float,1,%9.0g,,How much came from purchases (Quantity)?
11,hh_g04b,str3,0,%3s,,How much came from purchases (Unit)?
12,hh_g04b_os,str28,0,%28s,,How much came from purchases (Unit)? (Other Specify)
13,hh_g05,long,1,%12.0g,,How much did you spend?
14,hh_g06a,float,1,%9.0g,,How much came from own-production (Quantity)?
15,hh_g06b,str3,0,%3s,,How much came from own-production (Unit)?
16,hh_g06b_os,str35,0,%35s,,How much came from own-production (Unit)? (Other Specify)
17,hh_g07a,float,1,%9.0g,,How much came from gifts and other sources (Quantity)?
18,hh_g07b,str3,0,%3s,,How much came from gifts and other sources (Unit)?
19,hh_g07b_os,str19,0,%19s,,How much came from gifts and other sources (Unit)? (Other Specify)
