position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique HH Identifier
2,visit,byte,1,%8.0g,,Panel Visit
3,ea_id,str8,0,%8s,,Unique EA Identifier
4,hh_m00,byte,1,%8.0g,HH_M00,"Did your household own or rent any farm implements, machinery and/or structures,"
5,hh_m0a,int,1,%8.0g,HH_M0A,Item
6,hh_m0b_os,str16,0,%16s,,Item (Other Specify)
7,hh_m0c,byte,1,%8.0g,HH_M0C,Does your household currently own [ITEM] ?
8,hh_m01,int,1,%8.0g,,How many [ITEM] does your household currently own?
9,hh_m02,int,1,%8.0g,,What is the age of the [ITEM]?
10,hh_m03,long,1,%12.0g,,"If you wanted to sell one of this [ITEM] today, how much would you receive?"
11,hh_m04,byte,1,%8.0g,HH_M04,Did your household buy any [ITEM] during the last 12 months?
12,hh_m05,int,1,%8.0g,,How many [ITEM] did your household buy?
13,hh_m06,long,1,%12.0g,,What was the value of these purchases?
14,hh_m07,byte,1,%8.0g,HH_M07,Enumerator: is the [ITEM] a farm structure/ building?
15,hh_m08,int,1,%8.0g,,How many [ITEM] did your household build during the last 12 months?
16,hh_m09,long,1,%12.0g,,How much did it cost to build [ITEM]?
17,hh_m10,byte,1,%8.0g,HH_M10,Did your household use the [ITEM] during the last 12 months?
18,hh_m11,byte,1,%8.0g,HH_M11,What was the main reason for not using the [ITEM]?
19,hh_m11_os,str33,0,%33s,,What was the main reason for not using the [ITEM]? (Other Specify)
20,hh_m12,byte,1,%8.0g,HH_M12,Did your household rent or borrow any [ITEM] for during the last 12 months?
21,hh_m13,int,1,%8.0g,,How many [ITEM] did your household rent or borrow during the last 12 months?
22,hh_m14,int,1,%8.0g,,How much did your household pay to rent or borrow [ITEM] last 12 months?
