position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique HH Identifier
2,ea_id,str8,0,%8s,,Unique EA Identifier
3,lat_modified,float,1,%9.0g,,EA Latitude Modified
4,lon_modified,float,1,%9.0g,,EA Longitude Modified
5,dist_road,float,1,%9.0g,,HH Distance in (KMs) to Nearest Road
6,dist_popcenter,float,1,%9.0g,,"HH Distance in (KMs) to Nearest Population Center with +20,000"
7,dist_admarc,float,1,%9.0g,,HH Distance in (KMs) to Nearest ADMARC Outlet
8,dist_auction,float,1,%9.0g,,HH Distance in (KMs) to Nearest Tobacco Auction Floor
9,dist_boma,float,1,%9.0g,,HH Distance in (KMs) to the Boma of Current District of Residence
10,dist_borderpost,float,1,%9.0g,,HH Distance in (KMs) to Nearest Border Crossing
11,af_bio_1,float,1,%9.0g,,Annual Mean Temperature (°C * 10)
12,af_bio_2,float,1,%9.0g,,Mean Diurnal Range (Mean of monthly (max temp - min temp))
13,af_bio_3,float,1,%9.0g,,Isothermality (bio_2/bio_7) (* 100)
14,af_bio_4,float,1,%9.0g,,Temperature Seasonality (standard deviation *100)
15,af_bio_5,float,1,%9.0g,,Max Temperature of Warmest Month (°C * 10)
16,af_bio_6,float,1,%9.0g,,Min Temperature of Coldest Month (°C * 10)
17,af_bio_7,float,1,%9.0g,,Temperature Annual Range (bio_5-bio_6)
18,af_bio_8,float,1,%9.0g,,Mean Temperature of Wettest Quarter (°C * 10)
19,af_bio_9,float,1,%9.0g,,Mean Temperature of Driest Quarter (°C * 10)
20,af_bio_10,float,1,%9.0g,,Mean Temperature of Warmest Quarter (°C * 10)
21,af_bio_11,float,1,%9.0g,,Mean Temperature of Coldest Quarter (°C * 10)
22,af_bio_12,float,1,%9.0g,,Annual Precipitation (mm)
23,af_bio_13,float,1,%9.0g,,Precipitation of Wettest Month (mm)
24,af_bio_14,float,1,%9.0g,,Precipitation of Driest Month (mm)
25,af_bio_15,float,1,%9.0g,,Precipitation Seasonality (Coefficient of Variation)
26,af_bio_16,float,1,%9.0g,,Precipitation of Wettest Quarter
27,fsrad3_agpct,float,1,%9.0g,,Majority landcover class within approx 1 km buffer
28,fsrad3_lcmaj,int,1,%8.0g,fs_lab,Percent agriculture within approx 1 km buffer
29,ssa_aez09,int,1,%8.0g,ssa_lab,Agro-ecological Zones
30,afmnslp_pct,float,1,%9.0g,,Slope (percent)
31,srtm_eaf,float,1,%9.0g,,Elevation (m)
32,twi_mwi,float,1,%9.0g,,Potential Wetness Index
33,srtm_eaf_5_15,byte,1,%8.0g,srtm_lab,Terrain Roughness
34,sq1,byte,1,%8.0g,sq1_lab,Nutrient availability
35,sq2,byte,1,%8.0g,sq1_lab,Nutrient retention capacity
36,sq3,byte,1,%8.0g,sq1_lab,Rooting conditions
37,sq4,byte,1,%8.0g,sq1_lab,Oxygen availability to roots
38,sq5,byte,1,%8.0g,sq1_lab,Excess salts
39,sq6,byte,1,%8.0g,sq1_lab,Toxicity
40,sq7,byte,1,%8.0g,sq1_lab,Workability (constraining field management)
41,anntot_avg,float,1,%9.0g,,Avg 12-month total rainfall(mm) for July-June
42,wetq_avg,float,1,%9.0g,,Avg total rainfall in wettest quarter(mm) within 12-month periods from July-June
43,wetq_avgstart,float,1,%9.0g,,"Avg start of wettest quarter in dekads 1-36, where first week of July =1"
44,h2009_tot,float,1,%9.0g,,"12-month total rainfall (mm) in July-June, starting July 2009"
45,h2009_wetq,float,1,%9.0g,,Total rainfall in wettest quarter (mm) within 12-month period starting July 2009
46,h2009_wetqstart,float,1,%9.0g,,"Start of wettest quarter in dekads 1-36, where first week of July 2009 =1"
47,h2010_tot,float,1,%9.0g,,"12-month total rainfall (mm) in July-June, starting July 2010"
48,h2010_wetq,float,1,%9.0g,,Total rainfall in wettest quarter(mm) within 12-month periods starting July 2010
49,h2010_wetqstart,float,1,%9.0g,,"Start of wettest quarter in dekads 1-36, where first week of July 2010 =1"
50,eviarea_avg,float,1,%9.0g,,Avg change in greenness(integral of daily EVI values)w/in primary growing season
51,grn_avg,int,1,%8.0g,,"Avg onset of greenness increase in day of year 1-356,where 7/1=1,avg by district"
52,sen_avg,int,1,%8.0g,,"Avg onset of greenness decrease in day of year 1-356,where 7/1=1,avg by district"
53,h2009_area,float,1,%9.0g,,"Total change in greenness w/in primary growing season for 7/08-6/09,avg by dist"
54,h2009_grn,int,1,%8.0g,,"Onset of greenness increase in day of year 1-356,starting 7/1/08,avg by district"
55,h2009_sen,int,1,%8.0g,,"Onset of greenness decrease in day of year 1-356,starting 7/1/08,avg by district"
56,h2010_area,float,1,%9.0g,,"Total change in greenness w/in primary growing season for 7/09-6/10,avg by dist"
57,h2010_grn,int,1,%8.0g,,"Onset of greenness increase in day of year 1-356,starting 7/1/09,avg by district"
58,h2010_sen,int,1,%8.0g,,"Onset of greenness decrease in day of year 1-356,starting 7/1/09,avg by district"
