HHID,case_id,ea_id,qx_type,ag_c0a,ag_c01,ag_j0a,ag_j01,ag_j02,ag_s00,_merge
37,101010160009,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
45,101010160033,10101016,Panel A,,Yes,,No,,No,both in master and using data
35,101010160060,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
41,101010160068,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
61,101010160069,10101016,Panel A,,Yes,,No,,No,both in master and using data
51,101010160070,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
57,101010160074,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
55,101010160086,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
47,101010160096,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
63,101010160143,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
59,101010160159,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
33,101010160180,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
49,101010160207,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
53,101010160235,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
43,101010160254,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
39,101010160265,10101016,Panel A,,Yes,,No,,Yes,both in master and using data
40,101012040003,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
62,101012040007,10101204,Panel B,,Yes,,No,,No,both in master and using data
42,101012040011,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
44,101012040020,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
38,101012040024,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
52,101012040028,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
50,101012040037,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
54,101012040041,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
48,101012040045,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
36,101012040054,10101204,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
56,101012040058,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
64,101012040062,10101204,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
34,101012040071,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
58,101012040075,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
46,101012040079,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
60,101012040087,10101204,Panel B,,Yes,,No,,Yes,both in master and using data
21,101012150001,10101215,Panel A,,Yes,,No,,No,both in master and using data
17,101012150004,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
11,101012150021,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
5,101012150022,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
13,101012150026,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
1,101012150028,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
25,101012150034,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
9,101012150038,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
31,101012150040,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
15,101012150045,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
29,101012150048,10101215,Panel A,,Yes,,No,,No,both in master and using data
27,101012150049,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
23,101012150053,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
19,101012150059,10101215,Panel A,,Yes,,No,,Yes,both in master and using data
3,101012150060,10101215,Panel A,,Yes,,No,,No,both in master and using data
