occ,y2_hhid,case_id,qx_type,interview_status,ag_a21,ag_a23a_1,ag_a23a_2,ag_a23a_3,ag_a23a_4,ag_a23a_5,ag_a23a_6,ag_a23a_7,ag_a23a_8,ag_a23b_1,ag_a23b_2,ag_a23b_3,ag_a23b_4,ag_a23b_5,ag_a23b_6,ag_a23b_7,ag_a23b_8,ag_a23c_1,ag_a23c_2,ag_a23c_3,ag_a23c_4,ag_a23c_5,ag_a23c_6,ag_a23c_7,ag_a23c_8,ag_a24,ag_a26a,ag_a26b,ag_a26c,ag_a27,ag_a29a,ag_a29b,ag_a29c,ag_a35,ag_a37a_1,ag_a37a_2,ag_a37a_3,ag_a37a_4,ag_a37a_5,ag_a37a_6,ag_a37a_7,ag_a37a_8,ag_a37b_1,ag_a37b_2,ag_a37b_3,ag_a37b_4,ag_a37b_5,ag_a37b_6,ag_a37b_7,ag_a37b_8,ag_a38,ag_a37c_1,ag_a37c_2,ag_a37c_3,ag_a37c_4,ag_a37c_5,ag_a37c_6,ag_a37c_7,ag_a37c_8,ag_a40a,ag_a40b,ag_a40c,ag_a41,ag_a43a,ag_a43b,ag_a43c,ag_a44,ag_a46a,ag_a46b,ag_a46c,ag_b0a,ag_b101,ag_e01,ag_f0a,ag_g0a,ag_i00,ag_k0a,ag_m101,ag_m102,ag_m102_1,ag_p0a,ag_q0a,ag_s101,ag_t01
1,0001-001,101010040028,PANEL A,Panel A - 2 Visits,13,25,5,2013,8,21,9,10,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,13,30,8,2013,7,40,8,49,K-X4,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0002-001,101010440053,PANEL B,Panel B - 2 Visits,12,19,7,2013,11,15,11,55,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,12,23,10,2013,15,50,16,36,KLMW&X,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,12,12,2013,YES,YES,YES,YES,,YES,YES,NO,,,,,NO,YES
1,0003-001,101010040060,PANEL A,Panel A - 2 Visits,13,25,5,2013,12,16,12,35,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,13,31,8,2013,9,31,10,32,K-X,,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,YES
1,0004-001,101010440184,PANEL B,Panel B - 2 Visits,14,19,7,2013,10,34,11,13,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,12,25,10,2013,10,48,11,19,KLMW&X,,,,,,,,,31,,,,,,,,,25,10,2013,19,25,10,2013,907,11,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0005-001,101010040022,PANEL A,Panel A - 2 Visits,13,24,5,2013,10,26,11,2,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,13,30,8,2013,9,42,11,26,K-X4,,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
1,0006-001,101010440042,PANEL B,Panel B - 2 Visits,11,20,7,2013,7,40,8,36,ALL,,,,,,,,,,,,,,,,,10,21,7,2013,19,29,7,2013,11,24,10,2013,8,43,9,28,ALL,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,902,6,1,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0006-003,101010440042,PANEL B,Panel B - 2 Visits,11,21,7,2013,8,10,8,50,ALL,,,,,,,,,,,,,,,,,10,21,7,2013,19,29,7,2013,11,24,10,2013,14,56,15,39,ALL,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,902,6,1,2014,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
1,0007-001,101010040074,PANEL A,Panel A - 2 Visits,14,25,5,2013,9,53,10,30,A TO J,,,,,,,,,,,,,,,,,10,27,5,2013,19,31,5,2013,21,30,8,2013,7,37,8,48,"K,L,M,N,O,P,Q,R,S,T,",,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,10,10,2013,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
1,0008-001,101010440064,PANEL B,Panel B - 2 Visits,13,19,7,2013,7,26,8,19,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,13,23,10,2013,8,29,9,38,K-X4,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,10,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,YES
1,0008-003,101010440064,PANEL B,Panel B - 2 Visits,13,23,7,2013,11,43,12,10,A-J,,,,,,,,,,,,,,,,,10,24,7,2013,19,29,7,2013,13,25,10,2013,10,15,10,53,K-X1,,,,,,,,,31,,,,,,,,,25,10,2013,19,26,10,2013,902,7,1,2014,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
