HHID,case_id,qx_type,ea_id,visit,ag_c0a,ag_c00,ag_c01,ag_c02,ag_c04a,ag_c04b,ag_c04c,ag_c05d_os
37,101010160009,Panel A,10101016,1,,R1,Yes,MAIZE COMPOSITE,.75,Acre,.75,
37,101010160009,Panel A,10101016,1,,R3,Yes,TOBACCO,.75,Acre,.5,
37,101010160009,Panel A,10101016,1,,R2,Yes,G/NUTS,.25,Acre,.30000001,
45,101010160033,Panel A,10101016,1,,R1,Yes,LOCAL MAIZE,1,Acre,.83999997,
35,101010160060,Panel A,10101016,1,,R2,Yes,CG7,1,Acre,.80000001,
35,101010160060,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE,1,Acre,.77999997,
41,101010160068,Panel A,10101016,1,,R4,Yes,FINGER MILLLET,.5,Acre,.2,
41,101010160068,Panel A,10101016,1,,R6,Yes,TOBACCO,.050000001,Acre,.5,
41,101010160068,Panel A,10101016,1,,R5,Yes,GROUNDNUTS BEANS,.5,Acre,.1,
41,101010160068,Panel A,10101016,1,,R1,Yes,MAIZE HYBRID,1,Acre,.5,
41,101010160068,Panel A,10101016,1,,R2,Yes,LOCAL MAIZE,1,Acre,1.5,
41,101010160068,Panel A,10101016,1,,R3,Yes,G/NUTS,1,Acre,1,
61,101010160069,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.22,
61,101010160069,Panel A,10101016,1,,R4,Yes,SUNFLOWER,.25,Acre,.98000002,
61,101010160069,Panel A,10101016,1,,R3,Yes,SWEET POTATO,.5,Acre,.27000001,
61,101010160069,Panel A,10101016,1,,R2,Yes,G/NUTS/MANIPINTA,1.25,Acre,.77999997,
51,101010160070,Panel A,10101016,1,,R1,Yes,LOCAL MAIZE,2.5,Acre,1.58,
51,101010160070,Panel A,10101016,1,,R2,Yes,HYBRID KUMUSI,2,Acre,1,
51,101010160070,Panel A,10101016,1,,R3,Yes,G/NUTS,1,Acre,.050000001,
57,101010160074,Panel A,10101016,1,,R1,Yes,MNAIZE LOCAL,1,Acre,1,
57,101010160074,Panel A,10101016,1,,R5,Yes,TOBACCO,.5,Acre,.80000001,
57,101010160074,Panel A,10101016,1,,R4,Yes,SWEET POTATO,.5,Acre,.1,
57,101010160074,Panel A,10101016,1,,R2,Yes,HYBRID MAIZE,1,Acre,.2,
57,101010160074,Panel A,10101016,1,,R3,Yes,G/NUTS CG7,1,Acre,.80000001,
55,101010160086,Panel A,10101016,1,,R3,Yes,HYBRID RECYCLED,1,Acre,1.11,
55,101010160086,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.75,
55,101010160086,Panel A,10101016,1,,R2,Yes,P.PEAS,.25,Acre,.20999999,
47,101010160096,Panel A,10101016,1,,R5,Yes,SWEET POATATO,.5,Acre,.1,
47,101010160096,Panel A,10101016,1,,R4,Yes,BEANS,.5,Acre,.1,
47,101010160096,Panel A,10101016,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.60000002,
47,101010160096,Panel A,10101016,1,,R3,Yes,SOYA BEANS,.5,Acre,.2,
47,101010160096,Panel A,10101016,1,,R2,Yes,G/NUTS,.5,Acre,.40000001,
63,101010160143,Panel A,10101016,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.87,
63,101010160143,Panel A,10101016,1,,R2,Yes,TOBACCO,.1,Acre,.19,
59,101010160159,Panel A,10101016,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.37,
33,101010160180,Panel A,10101016,1,,R2,Yes,CG7,.25,Acre,.34,
33,101010160180,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.13,
33,101010160180,Panel A,10101016,1,,R3,Yes,SWEET POTATO,242,Square Meters,.40000001,
49,101010160207,Panel A,10101016,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.69999999,
49,101010160207,Panel A,10101016,1,,R2,Yes,G/NUTS,.1,Acre,.1,
49,101010160207,Panel A,10101016,1,,R3,Yes,GROUND BEANS,.1,Acre,.1,
53,101010160235,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE RECYCLED,1,Acre,.75,
53,101010160235,Panel A,10101016,1,,R2,Yes,TOBACCO FLUE CURED,1,Acre,.73000002,
43,101010160254,Panel A,10101016,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.47999999,
43,101010160254,Panel A,10101016,1,,R2,Yes,SWEET POTATOES,.25,Acre,.12,
39,101010160265,Panel A,10101016,1,,R2,Yes,FALLOW,1,Acre,.44,
39,101010160265,Panel A,10101016,1,,R1,Yes,LOCAL MAIZE,1.3,Acre,1.75,
40,101012040003,Panel B,10101204,1,,R1,Yes,HYBRID RECYCLED,2,Acre,1.5,
40,101012040003,Panel B,10101204,1,,R2,Yes,BARLEY,.25,Acre,.17,
62,101012040007,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.41999999,
42,101012040011,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,1,Acre,.30000001,
42,101012040011,Panel B,10101204,1,,R2,Yes,TOBACCO,.75,Acre,.20999999,
