occ,y2_hhid,qx_type,interview_status,ag_e0a,ag_e0e,ag_e0g,ag_e01_1,ag_e02,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e05_1,ag_e07,ag_e08a,ag_e08b,ag_e08_1a,ag_e08_1b,ag_e08_2a,ag_e08_2b,ag_e09,ag_e10a,ag_e10b,ag_e10c,ag_e10d,ag_e10e,ag_e11,ag_e11_1,ag_e12a,ag_e12b,ag_e13,ag_e13_1,ag_e13_2a,ag_e13_2b,ag_e13_2c,ag_e13_2d,ag_e14,ag_e15,ag_e15_1,ag_e16,ag_e18,ag_e20,ag_e21,ag_e22,ag_e24,ag_e26a,ag_e26b
1,0001-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,0,500,0,N02,,,,,,,
2,0001-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,0,500,0,N02,,,,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,OCTOBER,2012,2,DAY,NO,,,,,,NO,,,,ON FOOT,YES,502,501,504,,0,500,0,N02,,,,,,,
2,0002-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,OCTOBER,2012,2,DAY,NO,,,,,,NO,,,,ON FOOT,YES,501,503,504,,0,500,0,N02,,,,,,,
3,0002-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,OCTOBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,OCTOBER,2012,2,DAY,NO,,,,,,NO,,,,ON FOOT,YES,501,502,504,,0,0,0,N02,,,,,,,
4,0002-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,OCTOBER,2012,YES,GROUNDNUT SEED,1,2 KG BAG,OCTOBER,2012,2,DAY,NO,,,,,,NO,,,,ON FOOT,YES,501,502,503,,0,0,0,N02,,,,,,,
1,0003-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,300,500,0,N01,,,,,,,
2,0003-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,300,500,0,N01,,,,,,,
2,0004-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,YES,1500,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,2,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,2000,N01,,,,,,,
2,0005-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,YES,1500,NOVEMBER,2012,YES,UREA,2,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,2000,N01,,,,,,,
1,0006-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,NOVEMBER,2012,4,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,200,500,0,N02,,,,,,,
2,0006-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,50,KILOGRAM,NOVEMBER,2012,4,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,200,500,0,N02,,,,,,,
3,0006-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,5,KILOGRAM,NOVEMBER,2012,4,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,50,100,0,N02,,,,,,,
4,0006-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,0,0,N02,,,,,,,
2,0007-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,0,0,N02,,,,,,,
3,0008-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0008-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,250,0,0,N02,,,,,,,
2,0009-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,250,0,0,N02,,,,,,,
2,0010-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,YES,FELLOW FARMER,25,KILOGRAM,ON FOOT,YES,502,503,504,,0,500,0,N02,,,,,,,
2,0011-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,YES,FELLOW FARMER,25,KILOGRAM,ON FOOT,YES,501,503,504,,0,500,0,N02,,,,,,,
3,0011-001,PANEL A,Panel A - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,10 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,YES,FELLOW FARMER,2.5,KILOGRAM,ON FOOT,YES,501,502,504,,0,150,0,N02,,,,,,,
4,0011-001,PANEL A,Panel A - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,BEAN SEED,1,2 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,YES,FELLOW FARMER,1,KILOGRAM,ON FOOT,YES,501,502,503,,0,0,0,N02,,,,,,,
4,0012-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0012-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0012-010,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0013-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,YES,FELLOW FARMER,25,GRAM,ON FOOT,YES,502,,,,0,500,0,N02,,,,,,,
2,0013-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,YES,FELLOW FARMER,25,GRAM,ON FOOT,YES,501,,,,0,500,0,N02,,,,,,,
