HHID,case_id,qx_type,visit,ea_id,ag_g0a,ag_g0b,ag_g0d,ag_g0d_os,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g04b_os,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08b_os,ag_g08c,ag_g09a,ag_g09b,ag_g09b_os,ag_g09c,ag_g10,ag_g11a,ag_g11a_os,ag_g11b,ag_g11b_os,ag_g12a,ag_g12b,ag_g13a,ag_g13b,ag_g13b_os,ag_g13c
37,101010160009,Panel A,2,10101016,Yes,R1,MAIZE COMPOSITE/OPV,,Pure stand,,,1,10 kg bag,,November,2009,No,6,50 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,38,PAIL (LARGE),,S: SHELLED
37,101010160009,Panel A,2,10101016,Yes,R3,TOBACCO BURLEY,,Pure stand,,,1,Gram,,November,2009,No,200,Kilogram,,Not Applicable,0,,,,NO,,,,,February,April,300,KILOGRAM,,NOT APPLICABLE
37,101010160009,Panel A,2,10101016,Yes,R2,GROUNDNUT CG7,,Pure stand,,,1,5 kg bag,,January,2010,No,2,50 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,6,PAIL (LARGE),,U: UNSHELLED
45,101010160033,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,January,2010,No,3,90 kg Bag,,S: Shelled,0,,,,NO,,,,,June,July,16,PAIL (LARGE),,S: SHELLED
35,101010160060,Panel A,2,10101016,Yes,R1,MAIZE HYBRID,,Pure stand,,,1,5 kg bag,,November,2009,No,180,Kilogram,,S: Shelled,0,,,,YES,Rains,,,,June,June,35,PAIL (LARGE),,S: SHELLED
35,101010160060,Panel A,2,10101016,Yes,R2,GROUNDNUT CG7,,Pure stand,,,20,Kilogram,,November,2009,No,3,90 kg Bag,,U: Unshelled,0,,,,YES,Disease,,,,April,April,40,PAIL (LARGE),,U: UNSHELLED
41,101010160068,Panel A,2,10101016,Yes,R1,BEANS,,Mixed stand,No,Less than 1/4,5,Kilogram,,December,2009,No,2,Pail (large),,S: Shelled,0,,,,YES,Rains,,,,June,June,2.5,PAIL (LARGE),,S: SHELLED
41,101010160068,Panel A,2,10101016,Yes,R1,MAIZE HYBRID,,Mixed stand,No,3/4,1,5 kg bag,,November,2009,No,2,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,35,PAIL (LARGE),,S: SHELLED
41,101010160068,Panel A,2,10101016,Yes,R4,FINGER MILLET(MAWERE),,Pure stand,,,1,2 kg bag,,November,2009,No,2,Pail (large),,Not Applicable,0,,,,NO,,,,,May,May,3,PAIL (LARGE),,NOT APPLICABLE
41,101010160068,Panel A,2,10101016,Yes,R5,GROUND BEAN(NZAMA,,Pure stand,,,1,3 kg bag,,January,2010,No,2,Pail (large),,U: Unshelled,0,,,,NO,,,,,June,June,3,PAIL (LARGE),,S: SHELLED
41,101010160068,Panel A,2,10101016,Yes,R2,MAIZE LOCAL,,Pure stand,,,15,Kilogram,,November,2009,No,5,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,40,PAIL (LARGE),,S: SHELLED
41,101010160068,Panel A,2,10101016,Yes,R3,GROUNDNUT CG7,,Pure stand,,,15,50 kg bag,,November,2009,No,4,90 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,June,July,40.5,PAIL (LARGE),,U: UNSHELLED
41,101010160068,Panel A,2,10101016,Yes,R6,TOBACCO BURLEY,,Pure stand,,,1,Gram,,December,2009,No,110,Kilogram,,Not Applicable,0,,,,NO,,,,,February,May,116,KILOGRAM,,NOT APPLICABLE
61,101010160069,Panel A,2,10101016,Yes,R3,SWEET POTATO,,Pure stand,,,90,Kilogram,,December,2009,No,3,50 kg Bag,,Not Applicable,0,,,,NO,,,,,April,July,6,PAIL (LARGE),,NOT APPLICABLE
61,101010160069,Panel A,2,10101016,Yes,R1,MAIZE HYBRID,,Pure stand,,,10,Kilogram,,December,2009,No,2,90 kg Bag,,S: Shelled,0,,,,YES,Other (Specify),LACK OF FARM INPUTS,,,May,May,11,PAIL (LARGE),,S: SHELLED
61,101010160069,Panel A,2,10101016,Yes,R2,GROUNDNUT MANIPINTA,,Pure stand,,,20,Kilogram,,January,2010,No,4,90 kg Bag,,U: Unshelled,0,,,,NO,,,,,April,June,20,PAIL (LARGE),,U: UNSHELLED
61,101010160069,Panel A,2,10101016,Yes,R4,SUNFLOWER,,Pure stand,,,2,Kilogram,,February,2010,No,4,Pail (large),,S: Shelled,0,,,,NO,,,,,July,July,3,PAIL (LARGE),,S: SHELLED
51,101010160070,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Pure stand,,,15,Kilogram,,December,2009,No,40,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,June,40,50 KG BAG,,S: SHELLED
51,101010160070,Panel A,2,10101016,Yes,R2,MAIZE HYBRID,,Pure stand,,,12,Kilogram,,December,2009,No,40,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,June,5,50 KG BAG,,S: SHELLED
51,101010160070,Panel A,2,10101016,Yes,R3,GROUNDNUT CHALIMBANA,,Pure stand,,,10,Kilogram,,December,2009,No,5,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,4,90 KG BAG,,U: UNSHELLED
57,101010160074,Panel A,2,10101016,Yes,R3,GROUNDNUT CG7,,Pure stand,,,1,10 kg bag,,January,2010,No,2,90 kg Bag,,U: Unshelled,0,,,,YES,Drought,,,,June,June,20,PAIL (LARGE),,U: UNSHELLED
57,101010160074,Panel A,2,10101016,Yes,R5,TOBACCO BURLEY,,Pure stand,,,1,Gram,,January,2010,No,3,Bale,,Not Applicable,0,,,,NO,,,,,February,April,250,KILOGRAM,,NOT APPLICABLE
57,101010160074,Panel A,2,10101016,Yes,R2,MAIZE HYBRID RECYCLED,,Pure stand,,,1,5 kg bag,,December,2009,No,6,90 kg Bag,,S: Shelled,0,,,,NO,,,,,July,July,60,PAIL (LARGE),,S: SHELLED
57,101010160074,Panel A,2,10101016,Yes,R4,SWEET POTATO,,Pure stand,,,40,Kilogram,,January,2010,No,13,Pail (large),,Not Applicable,0,,,,NO,,,,,May,May,4,PAIL (LARGE),,NOT APPLICABLE
57,101010160074,Panel A,2,10101016,Yes,R1,GROUNDNUT CG7,,Pure stand,,,1,10 kg bag,,December,2009,No,7,90 kg Bag,,S: Shelled,0,,,,YES,Drought,,,,July,July,17,PAIL (LARGE),,S: SHELLED
55,101010160086,Panel A,2,10101016,Yes,R1,MAIZE HYBRID RECYCLED,,Mixed stand,Yes,,10,Kilogram,,January,2009,No,5,90 kg Bag,,S: Shelled,1,50 kg Bag,,S: Shelled,YES,Rains,,,,June,June,54,PAIL (LARGE),,S: SHELLED
55,101010160086,Panel A,2,10101016,Yes,R2,PIGEONPEA(NANDOLO,,Mixed stand,Yes,,5,Kilogram,,January,2009,No,2,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,August,August,2,PAIL (LARGE),,S: SHELLED
55,101010160086,Panel A,2,10101016,Yes,R3,MAIZE HYBRID RECYCLED,,Pure stand,,,20,Kilogram,,January,2009,No,9,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,June,June,60,PAIL (LARGE),,S: SHELLED
47,101010160096,Panel A,2,10101016,Yes,R5,SWEET POTATO,,Pure stand,,,20,Kilogram,,January,2010,No,5,Pail (large),,Not Applicable,0,,,,NO,,,,,May,May,15,PAIL (LARGE),,NOT APPLICABLE
47,101010160096,Panel A,2,10101016,Yes,R2,GROUNDNUT CG7,,Pure stand,,,5,Kilogram,,December,2009,No,1,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,5,PAIL (LARGE),,U: UNSHELLED
47,101010160096,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,January,2010,No,1,90 kg Bag,,S: Shelled,0,,,,YES,Other (Specify),LACK OF FARM INPUTS,,,May,May,34,PAIL (LARGE),,S: SHELLED
47,101010160096,Panel A,2,10101016,Yes,R4,GROUND BEAN(NZAMA,,Pure stand,,,1,Kilogram,,January,2010,No,10,Kilogram,,S: Shelled,0,,,,YES,Rains,,,,June,June,4,PAIL (LARGE),,S: SHELLED
47,101010160096,Panel A,2,10101016,Yes,R3,SOYABEAN,,Pure stand,,,5,Kilogram,,January,2010,No,20,Kilogram,,S: Shelled,0,,,,YES,Rains,,,,June,June,1,PAIL (LARGE),,S: SHELLED
63,101010160143,Panel A,2,10101016,Yes,R2,TOBACCO BURLEY,,Pure stand,,,2,Gram,,October,2009,No,80,Kilogram,,Not Applicable,0,,,,YES,Rains,,,,March,April,30,KILOGRAM,,NOT APPLICABLE
63,101010160143,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,3,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,June,24,PAIL (LARGE),,S: SHELLED
59,101010160159,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,5,Kilogram,,December,2009,No,6,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,Other (Specify),SHORTAGE OF FERTILIZER,May,May,20,PAIL (LARGE),,S: SHELLED
59,101010160159,Panel A,2,10101016,Yes,R1,GROUNDNUT CG7,,Mixed stand,Yes,,1,Kilogram,,December,2009,No,1,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,May,May,10.5,PAIL (LARGE),,U: UNSHELLED
33,101010160180,Panel A,2,10101016,Yes,R2,GROUNDNUT CG7,,Pure stand,,,2,Kilogram,,December,2009,No,1,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,5,PAIL (LARGE),,U: UNSHELLED
33,101010160180,Panel A,2,10101016,Yes,R1,MAIZE HYBRID,,Pure stand,,,5,Kilogram,,December,2009,No,1,90 kg Bag,,S: Shelled,0,,,,YES,Animals,,,,May,May,2,PAIL (LARGE),,S: SHELLED
33,101010160180,Panel A,2,10101016,Yes,R3,SWEET POTATO,,Pure stand,,,25,Kilogram,,December,2009,No,3,Pail (large),,Not Applicable,0,,,,NO,,,,,March,May,4,PAIL (LARGE),,NOT APPLICABLE
49,101010160207,Panel A,2,10101016,Yes,R2,GROUNDNUT MANIPINTA,,Pure stand,,,10,Kilogram,,January,2010,No,2,Pail (large),,U: Unshelled,0,,,,YES,Drought,,,,May,May,1,PAIL (LARGE),,U: UNSHELLED
49,101010160207,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Pure stand,,,5,Kilogram,,December,2009,No,5,Pail (large),,S: Shelled,0,,,,YES,Drought,LACK OF FARM INPUTS,Other (Specify),LACK OF FARM INPUTS,May,May,8,PAIL (LARGE),,S: SHELLED
49,101010160207,Panel A,2,10101016,Yes,R3,GROUND BEAN(NZAMA,,Pure stand,,,5,Kilogram,,January,2010,No,1,Pail (large),,U: Unshelled,0,,,,YES,Drought,,,,May,May,4,PAIL (LARGE),,U: UNSHELLED
53,101010160235,Panel A,2,10101016,Yes,R2,TOBACCO FLUE CURED,,Pure stand,,,2,Gram,,January,2010,No,6,Bale,,Not Applicable,0,,,,NO,,,,,February,April,400,KILOGRAM,,NOT APPLICABLE
53,101010160235,Panel A,2,10101016,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,5,Kilogram,,January,2010,No,5,90 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,30,PAIL (LARGE),,S: SHELLED
