occ,y2_hhid,qx_type,interview_status,ag_j00,ag_j03,ag_j04_2,ag_j05a,ag_j05b,ag_j05c,ag_j06e,ag_j07,ag_j08
1,0001-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0003-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0004-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,D01,RAPE,RG01,.1,ACRE,.1,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0006-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0006-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,D01,TANAPOSI,RG04,.1,ACRE,.1,,12,CLEAR/SUNNY
1,0008-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0008-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0010-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0012-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0012-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0012-010,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0013-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0014-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0015-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0016-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0018-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0019-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
