HHID,case_id,qx_type,visit,ea_id,ag_r00,ag_r27,ag_r28,ag_r29,ag_r30,ag_r31
37,101010160009,Panel A,1,10101016,Yes,0,0,0,0,0
45,101010160033,Panel A,1,10101016,No,,,,,
35,101010160060,Panel A,1,10101016,Yes,0,3000,300,0,0
41,101010160068,Panel A,1,10101016,Yes,0,0,0,0,0
61,101010160069,Panel A,1,10101016,No,,,,,
51,101010160070,Panel A,1,10101016,Yes,0,0,0,0,0
57,101010160074,Panel A,1,10101016,Yes,0,1000,0,0,0
55,101010160086,Panel A,1,10101016,Yes,0,0,0,0,0
47,101010160096,Panel A,1,10101016,Yes,0,0,0,0,0
63,101010160143,Panel A,1,10101016,Yes,0,0,0,0,0
59,101010160159,Panel A,1,10101016,Yes,0,0,0,0,0
33,101010160180,Panel A,1,10101016,Yes,0,0,0,0,0
49,101010160207,Panel A,1,10101016,Yes,0,0,0,0,0
53,101010160235,Panel A,1,10101016,Yes,0,0,0,0,0
43,101010160254,Panel A,1,10101016,Yes,0,0,0,0,0
39,101010160265,Panel A,1,10101016,Yes,0,0,0,0,0
40,101012040003,Panel B,1,10101204,Yes,0,0,0,0,0
62,101012040007,Panel B,1,10101204,No,,,,,
42,101012040011,Panel B,1,10101204,Yes,0,0,0,0,0
44,101012040020,Panel B,1,10101204,Yes,0,0,0,0,0
38,101012040024,Panel B,1,10101204,Yes,0,0,0,0,0
52,101012040028,Panel B,1,10101204,Yes,0,0,0,0,0
50,101012040037,Panel B,1,10101204,Yes,0,0,0,0,0
54,101012040041,Panel B,1,10101204,Yes,0,0,0,0,0
48,101012040045,Panel B,1,10101204,Yes,0,0,0,0,0
36,101012040054,Panel B,1,10101204,Yes,0,0,0,0,0
56,101012040058,Panel B,1,10101204,Yes,0,0,0,0,0
64,101012040062,Panel B,1,10101204,Yes,0,0,0,0,0
34,101012040071,Panel B,1,10101204,Yes,0,0,0,0,0
58,101012040075,Panel B,1,10101204,Yes,0,0,0,0,0
46,101012040079,Panel B,1,10101204,Yes,0,0,0,0,0
60,101012040087,Panel B,1,10101204,Yes,0,0,0,0,0
21,101012150001,Panel A,1,10101215,No,,,,,
17,101012150004,Panel A,1,10101215,Yes,0,0,100,0,0
11,101012150021,Panel A,1,10101215,Yes,0,0,0,0,0
5,101012150022,Panel A,1,10101215,Yes,0,0,0,0,0
13,101012150026,Panel A,1,10101215,Yes,800,0,600,0,0
1,101012150028,Panel A,1,10101215,Yes,0,0,0,0,0
25,101012150034,Panel A,1,10101215,Yes,0,0,360,0,0
9,101012150038,Panel A,1,10101215,Yes,0,0,0,0,0
31,101012150040,Panel A,1,10101215,Yes,0,0,0,0,0
15,101012150045,Panel A,1,10101215,Yes,0,0,0,0,0
29,101012150048,Panel A,1,10101215,No,,,,,
27,101012150049,Panel A,1,10101215,Yes,0,0,0,0,0
23,101012150053,Panel A,1,10101215,Yes,0,0,0,0,0
19,101012150059,Panel A,1,10101215,Yes,0,0,0,0,0
3,101012150060,Panel A,1,10101215,No,,,,,
7,101012150074,Panel A,1,10101215,Yes,0,1000,0,0,0
20,101015620009,Panel B,1,10101562,Yes,0,0,0,0,0
30,101015620020,Panel B,1,10101562,Yes,0,0,0,0,0
10,101015620031,Panel B,1,10101562,Yes,0,0,0,0,0
6,101015620042,Panel B,1,10101562,Yes,0,0,0,0,0
2,101015620053,Panel B,1,10101562,Yes,0,0,0,0,0
8,101015620064,Panel B,1,10101562,Yes,0,0,0,0,0
18,101015620075,Panel B,1,10101562,Yes,0,0,0,0,0
16,101015620086,Panel B,1,10101562,Yes,0,0,0,0,0
