HHID,case_id,qx_type,visit,ea_id,ag_s0a,ag_s0a_os,ag_s01,ag_s02,ag_s03a,ag_s03b,ag_s03b_os,ag_s04,ag_s05a,ag_s05b,ag_s05b_os,ag_s06,ag_s07a,ag_s07b,ag_s08a,ag_s08b,ag_s09a,ag_s09b,ag_s09b_os,ag_s10a,ag_s10b,ag_s10b_os,ag_s11a,ag_s11b,ag_s11b_os,ag_s12,ag_s13
37,101010160009,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Chicken eggs,,Yes,2,24,Piece,,Yes,40,Piece,,800,1,2,N03,,8,Piece,,0,,,0,,,No,
37,101010160009,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Chicken eggs,,Yes,6,40,Piece,,Yes,200,Piece,,4000,2,,N06,,30,Piece,,0,,,0,,,No,
35,101010160060,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
