HHID,case_id,qx_type,visit,ea_id,ag_t0a,ag_t0a_os,ag_t01,ag_t02,ag_t02_os
37,101010160009,Panel A,2,10101016,Pit Planting,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Forestry,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Other Specify,,NO,,
37,101010160009,Panel A,2,10101016,General Animal Care,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Growing/Selling Tobacco,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Fishery Production,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Animal Diseases / Vaccination,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Composting,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Irrigation,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Marketing/Crop Sales,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Access to Credit,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
37,101010160009,Panel A,2,10101016,Pest Control,,YES,Gov. Agricultural Extension Service,
45,101010160033,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
45,101010160033,Panel A,2,10101016,Forestry,,NO,,
45,101010160033,Panel A,2,10101016,Pit Planting,,NO,,
45,101010160033,Panel A,2,10101016,Access to Credit,,NO,,
45,101010160033,Panel A,2,10101016,Other Specify,,NO,,
45,101010160033,Panel A,2,10101016,General Animal Care,,NO,,
45,101010160033,Panel A,2,10101016,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
45,101010160033,Panel A,2,10101016,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
45,101010160033,Panel A,2,10101016,Fishery Production,,NO,,
45,101010160033,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
45,101010160033,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
45,101010160033,Panel A,2,10101016,Pest Control,,NO,,
45,101010160033,Panel A,2,10101016,Irrigation,,NO,,
45,101010160033,Panel A,2,10101016,Composting,,NO,,
35,101010160060,Panel A,2,10101016,Other Specify,,NO,,
35,101010160060,Panel A,2,10101016,Pest Control,,NO,,
35,101010160060,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
35,101010160060,Panel A,2,10101016,Forestry,,NO,,
35,101010160060,Panel A,2,10101016,Irrigation,,NO,,
35,101010160060,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
35,101010160060,Panel A,2,10101016,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
35,101010160060,Panel A,2,10101016,Fishery Production,,NO,,
35,101010160060,Panel A,2,10101016,New Seed Varieties,,NO,,
35,101010160060,Panel A,2,10101016,General Animal Care,,NO,,
35,101010160060,Panel A,2,10101016,Pit Planting,,NO,,
35,101010160060,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
35,101010160060,Panel A,2,10101016,Composting,,YES,Village Agricultural Extension Meeting,
35,101010160060,Panel A,2,10101016,Access to Credit,,NO,,
41,101010160068,Panel A,2,10101016,Other Specify,,NO,,
41,101010160068,Panel A,2,10101016,Pit Planting,,NO,,
41,101010160068,Panel A,2,10101016,Fertilizer Use,,NO,,
41,101010160068,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
41,101010160068,Panel A,2,10101016,General Animal Care,,NO,,
41,101010160068,Panel A,2,10101016,Pest Control,,NO,,
41,101010160068,Panel A,2,10101016,Composting,,YES,Village Agricultural Extension Meeting,
41,101010160068,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
41,101010160068,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
41,101010160068,Panel A,2,10101016,New Seed Varieties,,NO,,
41,101010160068,Panel A,2,10101016,Access to Credit,,NO,,
41,101010160068,Panel A,2,10101016,Forestry,,NO,,
41,101010160068,Panel A,2,10101016,Irrigation,,NO,,
41,101010160068,Panel A,2,10101016,Fishery Production,,NO,,
61,101010160069,Panel A,2,10101016,Fishery Production,,NO,,
61,101010160069,Panel A,2,10101016,Other Specify,,NO,,
61,101010160069,Panel A,2,10101016,General Animal Care,,NO,,
61,101010160069,Panel A,2,10101016,Access to Credit,,NO,,
61,101010160069,Panel A,2,10101016,Pit Planting,,NO,,
61,101010160069,Panel A,2,10101016,Marketing/Crop Sales,,YES,Village Agricultural Extension Meeting,
61,101010160069,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
61,101010160069,Panel A,2,10101016,Fertilizer Use,,NO,,
61,101010160069,Panel A,2,10101016,Pest Control,,YES,Village Agricultural Extension Meeting,
61,101010160069,Panel A,2,10101016,Composting,,NO,,
61,101010160069,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
61,101010160069,Panel A,2,10101016,Forestry,,NO,,
61,101010160069,Panel A,2,10101016,Irrigation,,NO,,
61,101010160069,Panel A,2,10101016,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
51,101010160070,Panel A,2,10101016,Irrigation,,NO,,
51,101010160070,Panel A,2,10101016,Access to Credit,,NO,,
51,101010160070,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
51,101010160070,Panel A,2,10101016,New Seed Varieties,,NO,,
51,101010160070,Panel A,2,10101016,Fertilizer Use,,NO,,
51,101010160070,Panel A,2,10101016,Pest Control,,NO,,
51,101010160070,Panel A,2,10101016,Other Specify,,NO,,
51,101010160070,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
51,101010160070,Panel A,2,10101016,Composting,,NO,,
51,101010160070,Panel A,2,10101016,Forestry,,NO,,
51,101010160070,Panel A,2,10101016,Fishery Production,,NO,,
51,101010160070,Panel A,2,10101016,General Animal Care,,NO,,
51,101010160070,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
51,101010160070,Panel A,2,10101016,Pit Planting,,NO,,
57,101010160074,Panel A,2,10101016,Other Specify,,NO,,
57,101010160074,Panel A,2,10101016,Animal Diseases / Vaccination,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Forestry,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,General Animal Care,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Pit Planting,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Irrigation,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Marketing/Crop Sales,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Growing/Selling Tobacco,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Pest Control,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Composting,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Fishery Production,,NO,,
57,101010160074,Panel A,2,10101016,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
57,101010160074,Panel A,2,10101016,Access to Credit,,YES,Gov. Agricultural Extension Service,
55,101010160086,Panel A,2,10101016,Pest Control,,NO,,
55,101010160086,Panel A,2,10101016,General Animal Care,,NO,,
55,101010160086,Panel A,2,10101016,Fertilizer Use,,NO,,
55,101010160086,Panel A,2,10101016,New Seed Varieties,,NO,,
55,101010160086,Panel A,2,10101016,Pit Planting,,NO,,
55,101010160086,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
55,101010160086,Panel A,2,10101016,Composting,,NO,,
55,101010160086,Panel A,2,10101016,Other Specify,,NO,,
55,101010160086,Panel A,2,10101016,Irrigation,,NO,,
55,101010160086,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
55,101010160086,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
55,101010160086,Panel A,2,10101016,Access to Credit,,NO,,
55,101010160086,Panel A,2,10101016,Forestry,,NO,,
55,101010160086,Panel A,2,10101016,Fishery Production,,NO,,
47,101010160096,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
47,101010160096,Panel A,2,10101016,Irrigation,,NO,,
47,101010160096,Panel A,2,10101016,Forestry,,NO,,
47,101010160096,Panel A,2,10101016,Pit Planting,,NO,,
47,101010160096,Panel A,2,10101016,General Animal Care,,NO,,
47,101010160096,Panel A,2,10101016,Fishery Production,,NO,,
47,101010160096,Panel A,2,10101016,Composting,,NO,,
47,101010160096,Panel A,2,10101016,Other Specify,,NO,,
47,101010160096,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
47,101010160096,Panel A,2,10101016,Access to Credit,,NO,,
47,101010160096,Panel A,2,10101016,Fertilizer Use,,NO,,
47,101010160096,Panel A,2,10101016,New Seed Varieties,,NO,,
47,101010160096,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
47,101010160096,Panel A,2,10101016,Pest Control,,NO,,
63,101010160143,Panel A,2,10101016,Pest Control,,NO,,
63,101010160143,Panel A,2,10101016,Composting,,NO,,
63,101010160143,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
63,101010160143,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
63,101010160143,Panel A,2,10101016,Forestry,,NO,,
63,101010160143,Panel A,2,10101016,Fertilizer Use,,NO,,
63,101010160143,Panel A,2,10101016,Pit Planting,,NO,,
63,101010160143,Panel A,2,10101016,Access to Credit,,NO,,
63,101010160143,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
63,101010160143,Panel A,2,10101016,General Animal Care,,NO,,
63,101010160143,Panel A,2,10101016,Irrigation,,NO,,
63,101010160143,Panel A,2,10101016,New Seed Varieties,,NO,,
63,101010160143,Panel A,2,10101016,Other Specify,,NO,,
63,101010160143,Panel A,2,10101016,Fishery Production,,NO,,
59,101010160159,Panel A,2,10101016,General Animal Care,,NO,,
59,101010160159,Panel A,2,10101016,Forestry,,NO,,
59,101010160159,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
59,101010160159,Panel A,2,10101016,Fertilizer Use,,NO,,
59,101010160159,Panel A,2,10101016,Irrigation,,NO,,
59,101010160159,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
59,101010160159,Panel A,2,10101016,Fishery Production,,NO,,
59,101010160159,Panel A,2,10101016,New Seed Varieties,,NO,,
59,101010160159,Panel A,2,10101016,Pit Planting,,NO,,
59,101010160159,Panel A,2,10101016,Access to Credit,,NO,,
59,101010160159,Panel A,2,10101016,Pest Control,,NO,,
59,101010160159,Panel A,2,10101016,Other Specify,,NO,,
59,101010160159,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
59,101010160159,Panel A,2,10101016,Composting,,YES,Village Agricultural Extension Meeting,
33,101010160180,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
33,101010160180,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
33,101010160180,Panel A,2,10101016,Fishery Production,,NO,,
33,101010160180,Panel A,2,10101016,Fertilizer Use,,NO,,
33,101010160180,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
33,101010160180,Panel A,2,10101016,Composting,,NO,,
33,101010160180,Panel A,2,10101016,New Seed Varieties,,NO,,
33,101010160180,Panel A,2,10101016,Access to Credit,,NO,,
33,101010160180,Panel A,2,10101016,Pit Planting,,NO,,
33,101010160180,Panel A,2,10101016,Pest Control,,NO,,
33,101010160180,Panel A,2,10101016,Forestry,,NO,,
33,101010160180,Panel A,2,10101016,Other Specify,,NO,,
33,101010160180,Panel A,2,10101016,Irrigation,,NO,,
33,101010160180,Panel A,2,10101016,General Animal Care,,NO,,
49,101010160207,Panel A,2,10101016,Irrigation,,NO,,
49,101010160207,Panel A,2,10101016,Composting,,NO,,
49,101010160207,Panel A,2,10101016,Pest Control,,NO,,
49,101010160207,Panel A,2,10101016,Access to Credit,,NO,,
49,101010160207,Panel A,2,10101016,Pit Planting,,NO,,
49,101010160207,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
49,101010160207,Panel A,2,10101016,Animal Diseases / Vaccination,,YES,Gov. Agricultural Extension Service,
49,101010160207,Panel A,2,10101016,Forestry,,NO,,
49,101010160207,Panel A,2,10101016,General Animal Care,,YES,Gov. Agricultural Extension Service,
49,101010160207,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
49,101010160207,Panel A,2,10101016,Fertilizer Use,,NO,,
49,101010160207,Panel A,2,10101016,New Seed Varieties,,NO,,
49,101010160207,Panel A,2,10101016,Fishery Production,,NO,,
49,101010160207,Panel A,2,10101016,Other Specify,,NO,,
53,101010160235,Panel A,2,10101016,Fertilizer Use,,NO,,
53,101010160235,Panel A,2,10101016,Irrigation,,NO,,
53,101010160235,Panel A,2,10101016,Other Specify,,NO,,
53,101010160235,Panel A,2,10101016,General Animal Care,,NO,,
53,101010160235,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
53,101010160235,Panel A,2,10101016,Fishery Production,,NO,,
53,101010160235,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
53,101010160235,Panel A,2,10101016,Forestry,,NO,,
53,101010160235,Panel A,2,10101016,Pest Control,,NO,,
53,101010160235,Panel A,2,10101016,Composting,,NO,,
53,101010160235,Panel A,2,10101016,New Seed Varieties,,NO,,
53,101010160235,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
53,101010160235,Panel A,2,10101016,Access to Credit,,NO,,
53,101010160235,Panel A,2,10101016,Pit Planting,,NO,,
43,101010160254,Panel A,2,10101016,Fishery Production,,NO,,
43,101010160254,Panel A,2,10101016,Composting,,NO,,
43,101010160254,Panel A,2,10101016,Irrigation,,NO,,
43,101010160254,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
43,101010160254,Panel A,2,10101016,Fertilizer Use,,NO,,
43,101010160254,Panel A,2,10101016,General Animal Care,,NO,,
43,101010160254,Panel A,2,10101016,Access to Credit,,NO,,
43,101010160254,Panel A,2,10101016,New Seed Varieties,,NO,,
43,101010160254,Panel A,2,10101016,Forestry,,NO,,
43,101010160254,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
43,101010160254,Panel A,2,10101016,Pest Control,,NO,,
43,101010160254,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
43,101010160254,Panel A,2,10101016,Pit Planting,,NO,,
43,101010160254,Panel A,2,10101016,Other Specify,,NO,,
39,101010160265,Panel A,2,10101016,Pit Planting,,NO,,
39,101010160265,Panel A,2,10101016,Fertilizer Use,,NO,,
39,101010160265,Panel A,2,10101016,Composting,,NO,,
39,101010160265,Panel A,2,10101016,Other Specify,,NO,,
39,101010160265,Panel A,2,10101016,Animal Diseases / Vaccination,,NO,,
39,101010160265,Panel A,2,10101016,New Seed Varieties,,NO,,
39,101010160265,Panel A,2,10101016,General Animal Care,,NO,,
39,101010160265,Panel A,2,10101016,Forestry,,NO,,
39,101010160265,Panel A,2,10101016,Marketing/Crop Sales,,NO,,
39,101010160265,Panel A,2,10101016,Pest Control,,NO,,
39,101010160265,Panel A,2,10101016,Irrigation,,NO,,
39,101010160265,Panel A,2,10101016,Fishery Production,,NO,,
39,101010160265,Panel A,2,10101016,Access to Credit,,NO,,
39,101010160265,Panel A,2,10101016,Growing/Selling Tobacco,,NO,,
40,101012040003,Panel B,2,10101204,Composting,,NO,,
40,101012040003,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
