ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10101016,Chitipa,1,10,13apr2010,13,4,2010,19,22jul2010,22,7,2010,NO,NO,NO,YES,NO,NO,COMPACTED EARTH (YAMDINDO),GRASS
10101204,Chitipa,1,10,09aug2010,9,8,2010,19,10aug2010,10,8,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10101215,Chitipa,1,10,13may2010,13,5,2010,19,22jul2010,22,7,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10101562,Chitipa,1,10,20oct2010,20,10,2010,19,21oct2010,21,10,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10102004,Chitipa,2,10,05may2010,5,5,2010,19,30jul2010,30,7,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10103414,Chitipa,3,10,22sep2010,22,9,2010,19,23sep2010,23,9,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
10104150,Chitipa,4,10,16jul2010,16,7,2010,19,22jul2010,22,7,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
10201688,Karonga,1,10,04oct2010,4,10,2010,19,09oct2010,9,10,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10202514,Karonga,2,10,06apr2010,6,4,2010,19,22jul2010,22,7,2010,NO,NO,YES,NO,NO,NO,MUD (YOMATA),GRASS
10203176,Karonga,3,10,04aug2010,4,8,2010,19,06aug2010,6,8,2010,YES,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
10203744,Karonga,3,10,02sep2010,2,9,2010,19,03sep2010,3,9,2010,YES,NO,YES,YES,NO,NO,BURNT BRICKS,GRASS
10204322,Karonga,4,10,07oct2010,7,10,2010,19,09oct2010,9,10,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10204586,Karonga,4,10,04jun2010,4,6,2010,19,07jun2010,7,6,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,IRON SHEETS
10220103,Karonga,20,10,05sep2010,5,9,2010,19,07sep2010,7,9,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10220705,Karonga,20,10,30apr2010,30,4,2010,19,30jul2010,30,7,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10301663,Nkhatabay,1,20,20may2010,20,5,2010,29,05jun2010,5,6,2010,NO,NO,NO,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10302010,Nkhatabay,2,20,17jun2010,17,6,2010,29,01jul2010,1,7,2010,NO,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
10304012,Nkhatabay,4,20,29mar2010,29,3,2010,,,,,,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10305446,Nkhatabay,5,20,23aug2010,23,8,2010,29,04sep2010,4,9,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10307413,Nkhatabay,7,20,24may2010,24,5,2010,29,05jun2010,5,6,2010,NO,NO,NO,YES,NO,NO,BURNT BRICKS,GRASS
10308636,Nkhatabay,8,20,20sep2010,20,9,2010,29,22sep2010,22,9,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10401140,Rumphi,1,20,01sep2010,1,9,2010,29,04sep2010,4,9,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10401502,Rumphi,1,20,07apr2010,7,4,2010,29,05apr2010,5,4,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10401522,Rumphi,1,20,22sep2010,22,9,2010,29,24sep2010,24,9,2010,NO,NO,NO,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
10404186,Rumphi,4,20,17sep2010,17,9,2010,29,17sep2010,17,9,2010,NO,NO,NO,NO,NO,NO,BURNT BRICKS,GRASS
