ea_id,com_cb01,com_cb03,com_cb04,com_cb05a,com_cb05a_os,com_cb06,com_cb07,com_cb08
10101016,1,MALE,35,HEALTH WORKER,,2,JCE,TUMBUKA
10101016,2,MALE,70,HEADMAN,,70,JCE,LAMBYA
10101016,3,MALE,35,SCHOOL TEACHER,,3,MSCE,TUMBUKA
10101016,4,MALE,29,COUNSELOR TO HEADMAN,,24,JCE,LAMBYA
10101016,5,MALE,32,COUNSELOR TO HEADMAN,,32,PSLC,LAMBYA
10101016,6,FEMALE,34,BUSINESS MAN/WOMAN,,30,JCE,LAMBYA
10101204,1,MALE,36,BUSINESS MAN/WOMAN,,36,PSLC,LAMBYA
10101204,2,MALE,55,SCHOOL HEADMASTER,,12,MSCE,TUMBUKA
10101204,3,MALE,64,HEADMAN,,64,NONE,LAMBYA
10101204,4,MALE,68,HEADMAN,,68,NONE,LAMBYA
10101204,5,MALE,50,COUNSELOR TO HEADMAN,,38,JCE,LAMBYA
10101204,6,FEMALE,25,BUSINESS MAN/WOMAN,,5,NONE,SUKWA
10101215,1,MALE,29,BUSINESS MAN/WOMAN,,29,PSLC,LAMBYA
10101215,2,MALE,35,BUSINESS MAN/WOMAN,,35,PSLC,LAMBYA
10101215,3,MALE,81,HEADMAN,,81,NONE,LAMBYA
10101215,4,MALE,46,HEADMAN,,46,PSLC,LAMBYA
10101215,5,MALE,67,COUNSELOR TO HEADMAN,,11,MSCE,LAMBYA
10101215,6,FEMALE,35,SPOUSE OF HEADMAN,,35,NONE,LAMBYA
10101562,1,MALE,40,BUSINESS MAN/WOMAN,,40,PSLC,LAMBYA
10101562,2,FEMALE,22,BUSINESS MAN/WOMAN,,20,PSLC,LAMBYA
10101562,3,MALE,56,SCHOOL HEADMASTER,,5,JCE,LAMBYA
10101562,4,MALE,81,COUNSELOR TO HEADMAN,,81,NONE,LAMBYA
10101562,5,MALE,46,COUNSELOR TO HEADMAN,,38,JCE,LAMBYA
10101562,6,MALE,77,HEADMAN,,60,JCE,LAMBYA
