ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
10101016,GRADED GRAVELED,90,KM,YES,0,12,YES,,,1,HOUR,NO,25,KM,300,NO,310,KM,MZUZU,2100,NO,25,KM,YES,,,NO,4,KM,NO,25,KM,NO,4,KM,8,0,,,7,700,YES,,NO,,,NO,25,KM,22,521,YES,15,KM,6,350,NO,1,0,0,0,NO,10,KM,NO,25,KM,,,,YES,YES,MALE,YES,YES,25,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,NO,YES,YES,2,,NO,25,KM,NO,25,KM,NO,NO
10101204,GRADED GRAVELED,0,,YES,0,12,YES,,,2,HOUR,NO,28,KM,400,NO,308,KM,MZUZU,1900,NO,28,KM,NO,6,KM,NO,3,KM,NO,28,KM,NO,200,METER,5,0,5,KM,4,250,YES,,NO,,,NO,29,KM,22,521,YES,10,KM,6,350,NO,1,0,0,0,YES,,,NO,10,KM,,,,NO,,,,,28,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,YES,YES,YES,2,,NO,28,KM,NO,28,KM,NO,NO
10101215,GRADED GRAVELED,120,KM,NO,0,6,NO,30,KM,20,MINUTE,NO,30,KM,300,NO,225,KM,MZUZU,1100,NO,30,KM,NO,15,KM,NO,2,KM,NO,30,KM,NO,30,KM,4,0,5,METER,4,570,NO,2,NO,,,NO,30,KM,22,521,YES,5,KM,4,110,NO,0,0,0,0,NO,500,METER,NO,3,KM,,,,NO,,,,,30,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,30,KM,NO,30,KM,NO,NO
10101562,GRADED GRAVELED,73,KM,YES,0,12,YES,,,4,HOUR,NO,10,KM,300,NO,311,KM,MZUZU,1650,NO,10,KM,NO,3,KM,NO,3,KM,NO,10,KM,NO,10,KM,5,0,6,KM,5,250,YES,,NO,,,NO,10,KM,22,521,YES,2,KM,10,413,NO,2,1,0,0,NO,10,KM,YES,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,YES,YES,YES,MALE,YES,YES,10,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,10,KM,NO,10,KM,NO,NO
10102004,GRADED GRAVELED,90,KM,YES,0,12,YES,,,3,HOUR,NO,35,KM,500,NO,300,KM,MZUZU,1750,NO,20,KM,NO,20,KM,NO,20,KM,NO,20,KM,NO,33,KM,5,0,2,METER,4,298,YES,,NO,,,NO,20,KM,22,521,YES,4,KM,3,52,NO,0,0,0,0,NO,33,KM,NO,33,KM,,,,NO,,,,,45,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,45,KM,NO,45,KM,NO,NO
10103414,GRADED GRAVELED,95,KM,NO,0,9,YES,,,6,HOUR,NO,46,KM,600,NO,315,KM,MZUZU,2400,NO,46,KM,NO,6,KM,NO,2,KM,NO,46,KM,NO,46,KM,4,0,2,KM,8,390,YES,,NO,,,NO,46,KM,22,521,YES,2,KM,9,150,NO,0,0,0,0,NO,46,KM,NO,2,KM,,,,NO,,,,,46,KM,GOVERNMENT FACILITY,NO,,YES,YES,NO,NO,YES,YES,2,,NO,46,KM,NO,46,KM,NO,NO
10104150,GRADED GRAVELED,90,KM,YES,0,12,NO,15,KM,2,HOUR,NO,112,KM,1500,NO,235,KM,MZUZU,2600,NO,25,KM,NO,15,KM,NO,1,METER,NO,25,KM,NO,25,KM,7,0,,,6,557,NO,2,NO,,,NO,22,KM,10,532,NO,6,KM,3,74,NO,0,0,0,0,YES,,,NO,25,KM,,,,NO,,,,,25,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,NO,YES,YES,2,,NO,112,KM,NO,112,KM,NO,NO
10201688,TAR/ASPHALT,0,,YES,12,12,YES,,,20,MINUTE,NO,12,KM,200,NO,232,KM,MZUZU,1200,NO,12,KM,NO,2,KM,NO,7,KM,NO,10,KM,NO,12,KM,5,1,,,6,527,NO,4,YES,ALMOST ALL,COOKED FOOD,NO,12,KM,17,465,YES,6,KM,4,93,NO,0,0,0,0,NO,3,METER,NO,2,KM,,,,NO,,,,,12,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,12,KM,NO,12,KM,NO,NO
10202514,DIRT TRACK,4,KM,YES,6,0,NO,4,KM,1,MINUTE,NO,45,KM,300,NO,265,KM,MZUZU,1300,NO,4,KM,NO,4,KM,NO,6,KM,NO,8,KM,NO,12,KM,5,0,1,KM,5,200,YES,,NO,,,NO,40,KM,17,465,YES,8,KM,6,150,NO,0,0,0,0,NO,7,KM,NO,4,KM,,,,NO,,,,,7,KM,GOVERNMENT FACILITY,YES,200,YES,NO,NO,YES,YES,YES,2,,NO,12,KM,NO,42,KM,NO,YES
10203176,GRADED GRAVELED,1,KM,YES,12,12,NO,1,KM,2,HOUR,NO,53,KM,500,NO,273,KM,MZUZU,1500,NO,53,KM,NO,1,KM,NO,53,KM,NO,53,KM,NO,53,KM,6,0,,,8,560,NO,1,NO,,,NO,53,KM,17,465,YES,17,KM,4,46,NO,0,0,0,0,NO,1,KM,NO,100,METER,,,,NO,,,,,53,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,53,KM,NO,53,KM,NO,YES
