ea_id,com_ce01a,com_ce01a_os,com_ce01b,com_ce01b_os,com_ce01c,com_ce01c_os,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_os,com_ce05b,com_ce05b_os,com_ce06,com_ce07,com_ce08a,com_ce08a_os,com_ce08b,com_ce08b_os,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10101016,FARMING,,"BEER BREWING, KACHASU",,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10101204,FARMING,,"BEER BREWING, KACHASU",,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
10101215,FARMING,,"BEER BREWING, KACHASU",,,,YES,ALMOST NONE,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10101562,FARMING,,"BEER BREWING, KACHASU",,,,YES,ALMOST NONE,RURAL AREAS,FARMING,,,,YES,URBAN CENTRES,FARMING,,,,NO,,,,,,,,
10102004,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,NO,,,,,,,,
10103414,FARMING,,"BEER BREWING, KACHASU",,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
10104150,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10201688,FARMING,,,,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10202514,FARMING,,"FIREWOOD, CHARCOAL SELLING",,FARMING,,YES,ALMOST NONE,RURAL AREAS,OTHER (SPECIFY),KAYEREKERA URANIUM MINES,,,YES,RURAL AREAS,FARMING,,,,YES,1150,1,MONTH,ALMOST NONE,1150,1,MONTH,ALMOST NONE
10203176,FARMING,,,,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
10203744,FARMING,,OTHER (SPECIFY),THEY BREAK AND SELL QUARRY,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10204322,FARMING,,"BEER BREWING, KACHASU",,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10204586,FARMING,,,,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
