ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
10101016,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,WORSE,WORSE,WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH WORSE,WORSE,BETTER,BETTER,WORSE,NOT APPLICABLE,BETTER,WORSE,BETTER,BETTER,WORSE,4
10101204,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,NOT APPLICABLE,WORSE,NOT APPLICABLE,WORSE,WORSE,BETTER,WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,BETTER,BETTER,MUCH BETTER,WORSE,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,WORSE,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,5
10101215,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH WORSE,NOT APPLICABLE,MUCH BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,BETTER,BETTER,NOT APPLICABLE,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,MUCH BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,5
10101562,MUCH BETTER,MUCH BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,WORSE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,2
10102004,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,BETTER,BETTER,MUCH WORSE,WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,BETTER,1
10103414,MUCH BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH BETTER,ABOUT THE SAME,BETTER,BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,MUCH BETTER,ABOUT THE SAME,5
10104150,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,NOT APPLICABLE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,BETTER,MUCH BETTER,BETTER,WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,4
10201688,MUCH BETTER,MUCH BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,WORSE,BETTER,BETTER,BETTER,WORSE,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,WORSE,NOT APPLICABLE,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,WORSE,WORSE,WORSE,MUCH BETTER,WORSE,5
10202514,BETTER,MUCH BETTER,MUCH BETTER,MUCH WORSE,WORSE,WORSE,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,NOT APPLICABLE,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,MUCH WORSE,MUCH BETTER,MUCH BETTER,BETTER,MUCH WORSE,MUCH WORSE,MUCH BETTER,BETTER,MUCH BETTER,BETTER,1
10203176,MUCH BETTER,MUCH BETTER,BETTER,MUCH BETTER,NOT APPLICABLE,MUCH WORSE,MUCH WORSE,BETTER,MUCH BETTER,BETTER,MUCH BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,MUCH BETTER,WORSE,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,WORSE,ABOUT THE SAME,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,5
