ea_id,com_cg35,com_cg35a,com_cg35a_os,com_cg36,com_cg37
10101016,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2007,1/2
10101016,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
10101016,WORSE OFF,SHARP CHANGE IN PRICES,,2009,1/4
10101016,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUARKE,2009,ALMOST NONE
10101016,BETTER OFF,NEW SCHOOL,,2009,ALMOST ALL
10101016,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10101016,BETTER OFF,OTHER GOOD (SPECIFY),BOOKS WERE GIVEN AT SCHOOL,2008,ALMOST ALL
10101204,WORSE OFF,DROUGHT,,2005,3/4
10101204,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,ALMOST NONE
10101204,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/2
10101204,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/2
10101204,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10101215,WORSE OFF,SHARP CHANGE IN PRICES,,2006,1/4
10101215,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND BLOWING,2008,ALMOST NONE
10101215,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10101215,BETTER OFF,OTHER GOOD (SPECIFY),PEOPLE HARVEST ALOT OF MAIZE,2008,3/4
10101562,WORSE OFF,FLOOD,,2008,ALMOST NONE
10101562,BETTER OFF,POWER OUTAGE(S),,2006,1/4
10101562,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2010,1/4
10101562,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2005,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10102004,WORSE OFF,DROUGHT,,2005,3/4
10102004,WORSE OFF,FLOOD,,2006,ALMOST NONE
10102004,WORSE OFF,LIVESTOCK DISEASE,,2007,1/4
10102004,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10102004,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10102004,BETTER OFF,NEW SCHOOL,,2009,1/4
10103414,WORSE OFF,FLOOD,,2007,1/2
10103414,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
10103414,BETTER OFF,DEVELOPMENT PROJECT,,2010,1/4
10103414,BETTER OFF,NEW ROAD,,2010,1/4
10104150,WORSE OFF,DROUGHT,,2009,ALMOST ALL
10104150,WORSE OFF,FLOOD,,2007,1/2
10104150,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10104150,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10104150,BETTER OFF,IMPROVED TRANSPORTATION,,2007,ALMOST ALL
10201688,WORSE OFF,FLOOD,,2008,ALMOST ALL
10201688,WORSE OFF,FLOOD,,2009,ALMOST ALL
10201688,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,ALMOST NONE
10201688,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,ALMOST ALL
10201688,BETTER OFF,DEVELOPMENT PROJECT,,2007,1/2
10201688,BETTER OFF,NEW ROAD,,2006,1/2
10202514,WORSE OFF,FLOOD,,2009,ALMOST NONE
10202514,WORSE OFF,FLOOD,,2009,3/4
10202514,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUARKE,2009,ALMOST NONE
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2006,ALMOST ALL
