ea_id,com_ch0b,com_ch0b_os,com_ch01,com_ch02,com_ch03,com_ch04,com_ch05,com_ch05a,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07g,com_ch07h,com_ch07i,com_ch07i_os,com_ch08,com_ch09,com_ch10,com_ch11,com_ch12,com_ch12_os,com_ch13a,com_ch13b,com_ch13c,com_ch13d,com_ch13d_os,com_ch14,com_ch14_os,com_ch15,com_ch16a,com_ch16a_os,com_ch16b,com_ch16b_os,com_ch16c,com_ch16c_os
10101016,Road: Construction,,YES,YES,YES,NO,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,NO,,,,,,
10101016,Road: Maintenance,,YES,YES,YES,NO,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,NO,,,,,,
10101016,Bridge: Construction,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Bridge: Maintenance,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Primary School: Construction,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Primary School: Maintenance/Improvement,,YES,YES,YES,YES,VILLAGE HEADMAN,,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,,YES,Addressed being adressed,100000,0,,0,YES,YES,YES,NO,,VILLAGE RESIDENTS,,,MASAF,,,,,
10101016,Secondary School: Construction,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Secondary School: Maintenance/Improvement,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Health Center/Clinic/Dispensary: Construction,,YES,YES,YES,NO,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,NO,,,,,,
10101016,Health Center/Clinic/Dispensary: Maintenance/Improvement,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Piped Water/Boreholes/Wells: Construction,,YES,YES,YES,NO,,,,NO,NO,NO,NO,YES,YES,NO,NO,NO,,YES,Promised but not addressed,,,,,,,,,,,,,,,,,,
10101016,Piped Water/Boreholes/Wells: Maintenance/Improvement,,YES,YES,YES,NO,,,,NO,NO,NO,NO,YES,NO,NO,NO,NO,,YES,Not addressed; response pending,,,,,,,,,,,,,,,,,,
10101016,Orphanage: Construction/ Maintenance/Improvement,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
