ea_id,com_ci0b,com_ci0b_os,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_os,com_ci07b,com_ci07b_os,com_ci07c,com_ci07c_os,com_ci08a,com_ci08a_os,com_ci08b,com_ci08b_os,com_ci08c,com_ci08c_os,com_ci09a,com_ci09a_os,com_ci09b,com_ci09b_os,com_ci09c,com_ci09c_os,com_ci10,com_ci11,com_ci12,com_ci12_os,com_ci13,com_ci14
10101016,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Pasture,,YES,YES,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
10101016,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101016,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Forest,,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,YES,Convert into forest reserve,,NO,
10101204,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101204,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Unallocated Arable Land,,YES,YES,NO,NO,NO,NO,,,,,,,Rotation among groups of families,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
10101215,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101215,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101562,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102004,Forest,,YES,YES,YES,YES,YES,YES,USE GUARDS,,USE THE THREAT OF FINE,,,,Limitations of number of users at a given time,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10103414,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,Forest,,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,YES,Convert into forest reserve,,NO,
10103414,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Forest,,YES,YES,YES,NO,NO,YES,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,YES,Convert into forest reserve,,NO,
10104150,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Forest,,YES,YES,YES,YES,NO,YES,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10203744,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
