ea_id,com_cj0b,com_cj0b_os,com_cj01,com_cj02,com_cj03,com_cj03_os,com_cj04,com_cj05,com_cj06
10101016,Political Group,,Yes,4,Annually,,100,56,25
10101016,Community Police/Watch Group,,Yes,2,Monthly,,10,3,4
10101016,Farmers' Group,,No,,,,,,
10101016,School Committee,,Yes,1,Quartery,,10,4,0
10101016,Health Committee,,Yes,1,Monthly,,10,4,2
10101016,Savings & Credit Coop,,No,,,,,,
10101016,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,4,0
10101016,NGO,,No,,,,,,
10101016,Sports Group,,No,,,,,,
10101016,Disabled Assoc.,,No,,,,,,
10101016,Religious Group,,No,,,,,,
10101016,Village Development Committee,,Yes,1,Monthly,,10,3,1
10101016,Agricultural Coop,,No,,,,,,
10101016,Other (Specify),,No,,,,,,
10101016,Youth Group,,No,,,,,,
10101016,Women's Group,,No,,,,,,
10101016,Business Assoc.,,No,,,,,,
10101016,Cultural Group,,No,,,,,,
10101204,Business Assoc.,,No,,,,,,
10101204,Political Group,,Yes,2,Quartery,,100,75,75
10101204,Village Development Committee,,Yes,1,Monthly,,10,5,0
10101204,Health Committee,,Yes,1,Weekly,,10,5,3
10101204,Agricultural Coop,,No,,,,,,
10101204,Youth Group,,No,,,,,,
10101204,Religious Group,,No,,,,,,
10101204,Savings & Credit Coop,,No,,,,,,
10101204,NGO,,No,,,,,,
10101204,Women's Group,,No,,,,,,
10101204,Cultural Group,,Yes,2,Weekly,,20,0,15
10101204,Parent-Teacher Assoc.,,Yes,1,Quartery,,9,5,0
10101204,Sports Group,,Yes,2,Weekly,,38,0,38
10101204,Farmers' Group,,No,,,,,,
10101204,School Committee,,Yes,1,Monthly,,9,4,1
10101204,Community Police/Watch Group,,Yes,1,Quartery,,8,0,2
10101204,Other (Specify),,No,,,,,,
10101204,Disabled Assoc.,,No,,,,,,
10101215,Women's Group,,No,,,,,,
10101215,Disabled Assoc.,,No,,,,,,
10101215,School Committee,,No,,,,,,
10101215,Other (Specify),,No,,,,,,
10101215,Business Assoc.,,No,,,,,,
10101215,Political Group,,Yes,2,Quartery,,80,52,15
10101215,Village Development Committee,,Yes,1,Monthly,,10,5,4
10101215,Parent-Teacher Assoc.,,No,,,,,,
10101215,Savings & Credit Coop,,No,,,,,,
10101215,Cultural Group,,No,,,,,,
10101215,NGO,,No,,,,,,
10101215,Religious Group,,No,,,,,,
10101215,Health Committee,,No,,,,,,
10101215,Farmers' Group,,No,,,,,,
10101215,Youth Group,,No,,,,,,
10101215,Sports Group,,No,,,,,,
10101215,Community Police/Watch Group,,Yes,2,Monthly,,10,5,7
10101215,Agricultural Coop,,No,,,,,,
10101562,School Committee,,Yes,2,Monthly,,10,5,0
10101562,Sports Group,,Yes,2,Weekly,,30,0,20
10101562,Cultural Group,,Yes,2,Weekly,,80,30,40
10101562,Health Committee,,Yes,1,Weekly,,10,3,0
10101562,Other (Specify),,No,,,,,,
10101562,Village Development Committee,,Yes,1,Weekly,,10,5,0
10101562,Business Assoc.,,No,,,,,,
10101562,Religious Group,,No,,,,,,
10101562,Women's Group,,No,,,,,,
10101562,NGO,,No,,,,,,
10101562,Disabled Assoc.,,No,,,,,,
10101562,Political Group,,Yes,3,Quartery,,500,300,150
10101562,Farmers' Group,,No,,,,,,
10101562,Community Police/Watch Group,,Yes,1,Monthly,,13,4,0
10101562,Parent-Teacher Assoc.,,Yes,2,Monthly,,10,5,0
10101562,Youth Group,,No,,,,,,
10101562,Savings & Credit Coop,,No,,,,,,
10101562,Agricultural Coop,,No,,,,,,
10102004,Cultural Group,,No,,,,,,
10102004,Religious Group,,No,,,,,,
10102004,Agricultural Coop,,No,,,,,,
10102004,School Committee,,No,,,,,,
10102004,Savings & Credit Coop,,No,,,,,,
10102004,Disabled Assoc.,,No,,,,,,
10102004,NGO,,No,,,,,,
10102004,Farmers' Group,,No,,,,,,
10102004,Other (Specify),,No,,,,,,
10102004,Youth Group,,No,,,,,,
10102004,Health Committee,,Yes,1,Monthly,,10,5,9
10102004,Political Group,,Yes,2,Quartery,,200,140,60
10102004,Parent-Teacher Assoc.,,No,,,,,,
10102004,Village Development Committee,,Yes,3,Monthly,,15,6,8
10102004,Women's Group,,No,,,,,,
10102004,Sports Group,,No,,,,,,
10102004,Community Police/Watch Group,,Yes,1,Monthly,,16,11,2
10102004,Business Assoc.,,No,,,,,,
10103414,Cultural Group,,No,,,,,,
10103414,Disabled Assoc.,,No,,,,,,
10103414,School Committee,,No,,,,,,
10103414,Savings & Credit Coop,,No,,,,,,
10103414,Health Committee,,No,,,,,,
10103414,Religious Group,,No,,,,,,
10103414,Farmers' Group,,No,,,,,,
10103414,Sports Group,,No,,,,,,
10103414,Parent-Teacher Assoc.,,No,,,,,,
10103414,NGO,,No,,,,,,
10103414,Community Police/Watch Group,,Yes,2,Weekly,,10,2,3
10103414,Business Assoc.,,No,,,,,,
10103414,Village Development Committee,,Yes,2,Monthly,,10,2,4
10103414,Political Group,,Yes,1,Other (Specify),TWICE A WEEK,50,20,15
10103414,Agricultural Coop,,No,,,,,,
10103414,Youth Group,,No,,,,,,
10103414,Women's Group,,No,,,,,,
10103414,Other (Specify),,No,,,,,,
10104150,Youth Group,,No,,,,,,
10104150,NGO,,No,,,,,,
10104150,Sports Group,,Yes,3,Monthly,,80,30,80
10104150,School Committee,,Yes,1,Monthly,,10,5,4
10104150,Community Police/Watch Group,,Yes,2,Monthly,,10,4,3
10104150,Parent-Teacher Assoc.,,Yes,1,Monthly,,9,4,2
10104150,Agricultural Coop,,No,,,,,,
10104150,Village Development Committee,,Yes,2,Monthly,,10,4,4
10104150,Cultural Group,,No,,,,,,
10104150,Savings & Credit Coop,,No,,,,,,
10104150,Farmers' Group,,No,,,,,,
10104150,Political Group,,Yes,3,Quartery,,400,200,100
10104150,Other (Specify),,No,,,,,,
10104150,Disabled Assoc.,,No,,,,,,
10104150,Women's Group,,Yes,2,Monthly,,15,15,9
10104150,Business Assoc.,,No,,,,,,
10104150,Religious Group,,No,,,,,,
10104150,Health Committee,,Yes,3,Monthly,,10,5,5
10201688,Savings & Credit Coop,,No,,,,,,
10201688,Village Development Committee,,Yes,2,Weekly,,10,4,3
10201688,Women's Group,,No,,,,,,
10201688,Agricultural Coop,,No,,,,,,
10201688,Business Assoc.,,No,,,,,,
10201688,Other (Specify),,No,,,,,,
10201688,Health Committee,,Yes,1,Monthly,,10,4,0
10201688,Sports Group,,Yes,3,Weekly,,30,0,25
10201688,Youth Group,,No,,,,,,
10201688,Political Group,,Yes,3,Annually,,30,20,5
10201688,NGO,,No,,,,,,
10201688,Religious Group,,No,,,,,,
10201688,Community Police/Watch Group,,Yes,2,Weekly,,10,0,1
10201688,Cultural Group,,Yes,5,Weekly,,50,47,20
10201688,Disabled Assoc.,,No,,,,,,
10201688,School Committee,,Yes,1,Quartery,,9,4,1
10201688,Parent-Teacher Assoc.,,Yes,1,Monthly,,8,2,1
10201688,Farmers' Group,,No,,,,,,
10202514,Village Development Committee,,Yes,2,Monthly,,10,4,0
10202514,Community Police/Watch Group,,Yes,2,Monthly,,10,2,0
10202514,Cultural Group,,No,,,,,,
10202514,Agricultural Coop,,No,,,,,,
10202514,Parent-Teacher Assoc.,,No,,,,,,
10202514,Disabled Assoc.,,No,,,,,,
10202514,Sports Group,,No,,,,,,
10202514,School Committee,,No,,,,,,
10202514,Religious Group,,No,,,,,,
10202514,Other (Specify),,No,,,,,,
10202514,Savings & Credit Coop,,No,,,,,,
10202514,Political Group,,No,,,,,,
10202514,Farmers' Group,,No,,,,,,
10202514,Business Assoc.,,No,,,,,,
10202514,Youth Group,,No,,,,,,
10202514,NGO,,No,,,,,,
10202514,Women's Group,,Yes,3,Monthly,,300,140,200
10202514,Health Committee,,Yes,2,Monthly,,10,3,0
10203176,Religious Group,,No,,,,,,
10203176,Sports Group,,Yes,4,Other (Specify),TWICE A WEEK,200,130,200
10203176,Community Police/Watch Group,,Yes,1,Monthly,,10,4,7
10203176,Other (Specify),,No,,,,,,
10203176,Women's Group,,No,,,,,,
10203176,NGO,,No,,,,,,
10203176,Health Committee,,Yes,1,Quartery,,10,3,1
10203176,Farmers' Group,,No,,,,,,
10203176,Business Assoc.,,Yes,1,Weekly,,20,20,0
10203176,Political Group,,Yes,6,Quartery,,210,110,40
10203176,Agricultural Coop,,No,,,,,,
10203176,Youth Group,,No,,,,,,
10203176,Village Development Committee,,Yes,1,Monthly,,10,3,6
10203176,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,2,0
10203176,Disabled Assoc.,,No,,,,,,
10203176,Cultural Group,,Yes,1,Weekly,,250,180,100
10203176,Savings & Credit Coop,,No,,,,,,
10203176,School Committee,,Yes,1,Monthly,,10,4,1
10203744,Other (Specify),,No,,,,,,
10203744,Village Development Committee,,Yes,1,Monthly,,10,5,0
10203744,Political Group,,Yes,3,Quartery,,150,90,80
10203744,Women's Group,,No,,,,,,
10203744,Agricultural Coop,,No,,,,,,
10203744,Farmers' Group,,No,,,,,,
10203744,School Committee,,Yes,1,Monthly,,9,4,0
10203744,Religious Group,,No,,,,,,
10203744,Community Police/Watch Group,,Yes,1,Monthly,,10,3,4
10203744,NGO,,No,,,,,,
10203744,Savings & Credit Coop,,No,,,,,,
10203744,Disabled Assoc.,,No,,,,,,
10203744,Youth Group,,No,,,,,,
10203744,Cultural Group,,No,,,,,,
10203744,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,4,2
10203744,Health Committee,,Yes,1,Monthly,,10,3,4
10203744,Sports Group,,No,,,,,,
10203744,Business Assoc.,,No,,,,,,
10204322,NGO,,No,,,,,,
10204322,Business Assoc.,,No,,,,,,
10204322,Cultural Group,,No,,,,,,
10204322,Other (Specify),,No,,,,,,
10204322,Disabled Assoc.,,No,,,,,,
10204322,Farmers' Group,,No,,,,,,
10204322,Religious Group,,No,,,,,,
10204322,Health Committee,,Yes,1,Monthly,,10,4,9
10204322,Village Development Committee,,Yes,2,Other (Specify),BIWEEKLY,15,0,0
10204322,Sports Group,,Yes,1,Weekly,,30,30,22
10204322,Agricultural Coop,,No,,,,,,
10204322,Women's Group,,No,,,,,,
10204322,Community Police/Watch Group,,Yes,2,Monthly,,10,0,10
10204322,School Committee,,Yes,1,Monthly,,10,2,0
10204322,Political Group,,No,,,,,,
10204322,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,1,0
10204322,Savings & Credit Coop,,No,,,,,,
10204322,Youth Group,,No,,,,,,
10204586,NGO,,Yes,3,Monthly,,10,6,4
10204586,Other (Specify),,No,,,,,,
10204586,Village Development Committee,,Yes,2,Monthly,,12,6,3
10204586,Agricultural Coop,,No,,,,,,
10204586,Business Assoc.,,No,,,,,,
10204586,Youth Group,,Yes,2,Monthly,,15,8,15
10204586,Savings & Credit Coop,,No,,,,,,
10204586,Political Group,,Yes,3,Monthly,,40,25,15
10204586,Sports Group,,Yes,1,Monthly,,20,8,20
10204586,Health Committee,,Yes,1,Monthly,,10,5,2
10204586,Religious Group,,Yes,1,Monthly,,20,12,6
10204586,Women's Group,,Yes,1,Quartery,,20,20,8
10204586,Farmers' Group,,No,,,,,,
10204586,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,6,3
10204586,School Committee,,Yes,1,Monthly,,10,4,2
10204586,Cultural Group,,No,,,,,,
10204586,Community Police/Watch Group,,Yes,1,Monthly,,10,3,2
10204586,Disabled Assoc.,,Yes,1,Monthly,,10,5,2
10220103,Women's Group,,No,,,,,,
10220103,Business Assoc.,,Yes,4,Monthly,,45,36,2
10220103,Cultural Group,,No,,,,,,
10220103,Health Committee,,Yes,1,Monthly,,10,5,0
10220103,Other (Specify),,No,,,,,,
10220103,Community Police/Watch Group,,Yes,1,Monthly,,10,0,0
10220103,Farmers' Group,,No,,,,,,
10220103,Savings & Credit Coop,,No,,,,,,
10220103,Agricultural Coop,,No,,,,,,
10220103,Religious Group,,No,,,,,,
10220103,Disabled Assoc.,,No,,,,,,
10220103,NGO,,No,,,,,,
10220103,Village Development Committee,,Yes,2,Other (Specify),TWICE A MONTH,10,5,0
10220103,Political Group,,No,,,,,,
10220103,Parent-Teacher Assoc.,,No,,,,,,
10220103,Youth Group,,No,,,,,,
10220103,School Committee,,No,,,,,,
10220103,Sports Group,,Yes,2,Monthly,,35,0,35
10220705,Youth Group,,No,,,,,,
10220705,Other (Specify),,No,,,,,,
10220705,Community Police/Watch Group,,Yes,1,Monthly,,10,0,0
10220705,School Committee,,No,,,,,,
10220705,Sports Group,,No,,,,,,
10220705,Parent-Teacher Assoc.,,No,,,,,,
10220705,Disabled Assoc.,,Yes,1,Monthly,,10,4,0
10220705,Savings & Credit Coop,,No,,,,,,
10220705,Agricultural Coop,,No,,,,,,
10220705,Women's Group,,Yes,3,Quartery,,600,600,150
10220705,Health Committee,,Yes,1,Monthly,,10,3,0
10220705,Political Group,,Yes,3,Semi-Annually,,400,250,110
10220705,Village Development Committee,,Yes,2,Monthly,,10,3,0
10220705,Farmers' Group,,No,,,,,,
10220705,NGO,,No,,,,,,
10220705,Business Assoc.,,No,,,,,,
10220705,Cultural Group,,No,,,,,,
10220705,Religious Group,,No,,,,,,
10301663,Parent-Teacher Assoc.,,Yes,2,Monthly,,10,6,0
10301663,Other (Specify),,No,,,,,,
10301663,Village Development Committee,,Yes,1,Monthly,,10,3,2
10301663,Sports Group,,Yes,1,Weekly,,31,13,24
10301663,Savings & Credit Coop,,No,,,,,,
10301663,Farmers' Group,,Yes,1,Monthly,,30,17,10
10301663,Youth Group,,Yes,2,Weekly,,24,10,20
10301663,Disabled Assoc.,,No,,,,,,
10301663,Women's Group,,No,,,,,,
10301663,School Committee,,Yes,2,Monthly,,10,6,1
10301663,Political Group,,Yes,2,Weekly,,16,9,7
10301663,Cultural Group,,No,,,,,,
10301663,NGO,,No,,,,,,
10301663,Business Assoc.,,No,,,,,,
10301663,Community Police/Watch Group,,Yes,1,Monthly,,5,0,2
10301663,Religious Group,,Yes,7,Weekly,,27,15,16
10301663,Agricultural Coop,,Yes,1,Monthly,,15,7,6
10301663,Health Committee,,Yes,1,Monthly,,10,5,2
10302010,Community Police/Watch Group,,Yes,1,Monthly,,10,0,4
10302010,Youth Group,,No,,,,,,
10302010,School Committee,,Yes,1,Monthly,,10,4,2
10302010,Agricultural Coop,,No,,,,,,
10302010,Religious Group,,Yes,11,Weekly,,37,20,16
10302010,Parent-Teacher Assoc.,,Yes,1,Monthly,,10,5,0
10302010,Business Assoc.,,No,,,,,,
10302010,Cultural Group,,No,,,,,,
10302010,Disabled Assoc.,,No,,,,,,
10302010,Farmers' Group,,No,,,,,,
10302010,Health Committee,,No,,,,,,
10302010,Sports Group,,Yes,4,Weekly,,27,9,21
10302010,Other (Specify),,No,,,,,,
10302010,NGO,,No,,,,,,
10302010,Women's Group,,No,,,,,,
10302010,Village Development Committee,,Yes,1,Monthly,,10,4,2
10302010,Political Group,,Yes,3,Quartery,,24,13,10
10302010,Savings & Credit Coop,,No,,,,,,
10304012,Savings & Credit Coop,,Yes,1,Semi-Annually,,10,3,4
10304012,Agricultural Coop,,Yes,1,Quartery,,10,3,3
10304012,Parent-Teacher Assoc.,,Yes,7,Quartery,,9,4,0
10304012,Religious Group,,Yes,4,Weekly,,6,4,0
10304012,Sports Group,,Yes,3,Monthly,,7,3,7
10304012,Cultural Group,,No,,,,,,
10304012,Other (Specify),,No,,,,,,
10304012,Community Police/Watch Group,,Yes,1,Other (Specify),FORTNIGHT,6,0,2
10304012,NGO,,No,,,,,,
10304012,Disabled Assoc.,,No,,,,,,
