ea_id,com_cb_start_day,com_cb_start_month,com_cb_start_hour,com_cb_start_minute,com_cb_end_hour,com_cb_end_minute,com_cc_start_day,com_cc_start_month,com_cc_start_hour,com_cc_start_minute,com_cc_end_hour,com_cc_end_minute,com_ce_start_day,com_ce_start_month,com_ce_start_hour,com_ce_start_minute,com_ce_end_hour,com_ce_end_minus,com_cf_start_day,com_cf_start_month,com_cf_start_hour,com_cf_start_minute,com_cf_end_hour,com_cf_end_minute,com_cg_start_day,com_cg_start_month,com_cg_start_hour,com_cg_start_minute,com_cg_end_hour,com_cg_end_minute,com_ch_start_day,com_ch_start_month,com_ch_start_hour,com_ch_start_minute,com_ch_end_hour,com_ch_end_minute,com_ci_start_day,com_ci_start_month,com_ci_start_hour,com_ci_start_minute,com_ci_end_hour,com_ci_end_minute,com_cj_start_day,com_cj_start_month,com_cj_start_hour,com_cj_start_minute,com_cj_end_hour,com_cj_end_minute
10101016,29,APRIL,8,24,8,34,29,APRIL,8,35,8,55,29,APRIL,9,24,9,35,29,APRIL,9,37,9,48,29,APRIL,9,50,10,0,29,APRIL,10,5,10,30,29,APRIL,10,33,10,45,29,APRIL,10,47,11,0
10101204,23,AUGUST,9,0,9,12,23,AUGUST,9,12,9,18,23,AUGUST,9,21,9,37,23,AUGUST,9,38,9,44,23,AUGUST,9,46,9,54,23,AUGUST,9,56,10,27,23,AUGUST,10,30,10,46,23,SEPTEMBER,10,47,10,58
10101215,23,MAY,10,10,10,20,23,MAY,10,22,10,39,23,MAY,11,2,11,20,23,MAY,11,22,11,35,23,MAY,14,27,11,40,23,MAY,11,42,12,0,23,MAY,12,2,12,18,23,MAY,12,20,12,30
10101562,21,OCTOBER,8,22,8,29,21,OCTOBER,8,32,8,40,21,OCTOBER,8,49,8,52,21,OCTOBER,8,53,8,58,21,OCTOBER,8,59,9,6,21,OCTOBER,9,7,9,11,21,OCTOBER,9,12,9,13,21,OCTOBER,9,14,9,23
10102004,10,MAY,9,0,9,15,10,MAY,9,17,9,40,10,MAY,10,12,10,30,10,MAY,10,33,10,50,10,MAY,10,53,11,10,10,MAY,11,12,11,35,10,MAY,11,36,11,44,10,MAY,11,47,11,57
10103414,10,SEPTEMBER,9,27,9,39,10,SEPTEMBER,9,42,9,49,10,SEPTEMBER,10,22,10,28,10,SEPTEMBER,10,29,10,35,10,SEPTEMBER,10,35,10,46,10,SEPTEMBER,10,48,11,1,10,SEPTEMBER,11,3,1,8,10,SEPTEMBER,11,9,11,21
10104150,17,JULY,8,10,8,20,17,JULY,8,22,8,38,17,JULY,9,5,9,15,17,JULY,9,18,9,29,17,JULY,9,32,9,45,17,JULY,9,47,9,59,17,JULY,10,2,10,8,17,JULY,10,12,10,20
10201688,11,OCTOBER,8,0,8,10,11,OCTOBER,8,12,8,16,11,OCTOBER,8,28,8,33,11,OCTOBER,8,34,8,39,11,OCTOBER,8,40,8,46,11,OCTOBER,8,47,8,57,11,OCTOBER,8,59,9,0,11,OCTOBER,9,2,9,9
10202514,20,APRIL,8,33,8,30,20,APRIL,8,33,8,55,20,APRIL,9,28,9,35,20,APRIL,9,37,9,50,20,APRIL,9,52,10,10,20,APRIL,10,12,10,20,20,APRIL,10,22,10,30,20,APRIL,10,32,11,0
10203176,27,AUGUST,10,14,10,22,27,AUGUST,10,23,10,32,27,AUGUST,10,46,10,52,27,AUGUST,10,54,10,59,27,AUGUST,11,2,11,11,27,AUGUST,11,12,11,22,27,AUGUST,11,22,11,31,27,AUGUST,11,33,11,42
10203744,16,SEPTEMBER,9,2,9,16,16,SEPTEMBER,9,18,9,23,16,SEPTEMBER,9,38,9,46,16,SEPTEMBER,9,47,9,55,16,SEPTEMBER,9,57,10,6,16,SEPTEMBER,10,9,10,18,16,SEPTEMBER,10,20,10,24,16,SEPTEMBER,10,25,10,31
10204322,5,OCTOBER,8,22,8,31,5,OCTOBER,8,33,8,37,5,OCTOBER,8,48,8,54,5,OCTOBER,8,55,8,59,5,OCTOBER,9,2,9,8,5,OCTOBER,9,10,9,17,5,OCTOBER,9,19,9,22,5,OCTOBER,9,23,9,29
10204586,24,JUNE,8,15,8,30,24,JUNE,8,32,8,58,24,JUNE,9,22,9,33,24,JUNE,9,35,9,55,24,JUNE,10,0,10,10,24,JUNE,10,13,10,36,24,JUNE,10,38,10,48,24,JUNE,10,50,11,0
10220103,24,SEPTEMBER,11,4,11,15,24,SEPTEMBER,11,17,11,25,24,SEPTEMBER,11,39,11,46,24,SEPTEMBER,11,48,11,49,24,SEPTEMBER,11,50,12,0,24,SEPTEMBER,12,0,12,5,24,SEPTEMBER,12,7,12,11,24,SEPTEMBER,12,14,12,19
10220705,4,JUNE,8,30,8,45,4,JUNE,8,47,8,59,4,JUNE,9,32,9,45,4,JUNE,9,47,9,53,4,JUNE,9,55,10,5,4,JUNE,10,7,10,11,4,JUNE,10,12,10,15,4,JUNE,10,16,10,25
