occ,ea_id,ca01,ca02,com_ca06,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13a,com_ca13b,com_ca13c,com_ca15,com_ca16a,com_ca16b,com_ca16c
1,10101016,CHITIPA,1,10,29,4,2013,19,6,5,2013,910,31,1,2014
1,10101204,CHITIPA,1,31,23,8,2013,19,30,8,2013,69,31,1,2014
1,10101215,CHITIPA,1,10,23,5,2013,19,18,6,2013,69,30,1,2014
1,10101562,CHITIPA,1,31,21,10,2013,19,26,10,2013,999,31,1,2014
1,10102004,CHITIPA,2,10,10,5,2013,19,31,5,2013,915,31,1,2014
1,10103414,CHITIPA,3,31,10,9,2013,19,13,9,2013,901,31,1,2014
1,10104150,CHITIPA,4,10,17,7,2013,19,24,7,2013,906,31,1,2014
1,10201688,KARONGA,1,31,11,10,2013,19,24,10,2013,901,30,1,2014
1,10202514,KARONGA,2,10,20,4,2013,19,1,6,2013,913,30,1,2014
1,10203176,KARONGA,3,31,27,8,2013,19,1,9,2013,914,31,1,2014
1,10203744,KARONGA,3,31,16,9,2013,19,24,9,2013,907,31,1,2014
1,10204322,KARONGA,4,31,5,10,2013,19,16,10,2013,,,,
1,10204586,KARONGA,4,10,24,6,2013,19,26,6,2013,909,31,1,2014
1,10220103,KARONGA,20,31,24,9,2013,19,1,10,2013,999,31,1,2014
1,10220705,KARONGA,20,10,4,6,2013,19,9,6,2013,911,31,1,2014
1,10301663,NKHATABAY,1,10,29,8,2013,39,12,10,2013,914,30,1,2014
1,10302010,NKHATABAY,2,10,1,10,2013,39,16,10,2013,904,30,1,2014
1,10304012,NKHATABAY,4,30,26,4,2013,39,1,6,2013,908,31,1,2014
1,10305446,NKHATABAY,5,10,22,8,2013,39,3,9,2013,909,31,1,2014
1,10307413,NKHATABAY,7,10,24,9,2013,39,16,10,2013,,,,
1,10308636,NKHATABAY,8,10,19,9,2013,39,21,10,2013,,,,
1,10401140,RUMPHI,1,20,11,9,2013,29,1,10,2013,903,31,1,2014
1,10401502,RUMPHI,1,20,2,5,2013,29,10,7,2013,901,31,1,2014
1,10401522,RUMPHI,1,20,20,10,2013,29,26,10,2013,910,31,1,2014
1,10404186,RUMPHI,4,31,2,10,2013,19,7,10,2013,907,30,1,2014
1,10405213,RUMPHI,5,20,17,7,2013,29,12,8,2013,914,31,1,2014
1,10501505,MZIMBA,1,20,24,8,2013,29,30,9,2013,902,31,1,2014
1,10501709,MZIMBA,1,20,22,5,2013,29,17,5,2013,902,31,1,2014
1,10502268,MZIMBA,2,20,27,6,2013,29,9,7,2013,69,31,1,2014
1,10502593,MZIMBA,2,20,2,10,2013,29,26,10,2013,905,31,1,2014
1,10503367,MZIMBA,3,20,20,4,2012,29,13,6,2013,915,31,1,2014
