occ,ea_id,com_cd01,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd11,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd23,com_cd24,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65e,com_cd65f,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
1,10101016,DIRT TRACK,YES,2,12,YES,,,5,HOUR,500,3800,NO,20,KM,NO,20,KM,NO,20,2,0,1,KM,11,878,YES,,NO,,,NO,20,KM,24,500,5,KM,8,420,NO,0,0,0,0,YES,,,NO,20,KM,,,NO,,,,,20,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,20,KM,NO,20,KM,NO,NO
1,10101204,DIRT ROAD (MAINTAINED),YES,3,5,YES,,,3,HOUR,800,400,NO,16,KM,YES,,,YES,,13,0,1,KM,87,664,NO,2,NO,,,NO,25,KM,24,510,5,KM,7,137,NO,4,0,0,0,YES,,,YES,,,NEVER AVAILABLE,NO,YES,YES,MALE,YES,YES,2,KM,PRIVATE FACILITY,NO,,NO,,,,,,NO,27,KM,NO,27,KM,YES,
1,10101215,DIRT ROAD (MAINTAINED),NO,0,6,NO,24,KM,4,HOUR,700,4700,NO,240,KM,NO,8,KM,NO,20,9,0,1,KM,6,600,YES,,NO,,,NO,24,KM,30,489,8,KM,7,702,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,NO,NO,,,,,20,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,20,KM,NO,20,KM,NO,YES
1,10101562,DIRT ROAD (MAINTAINED),NO,1,3,NO,10,KM,30,MINUTE,400,200,NO,10,KM,YES,,,NO,10,6,0,2,KM,10,970,YES,,NO,,,NO,21,KM,16,781,5,KM,12,999,NO,1,0,0,0,NO,5,KM,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,5,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,10,KM,NO,10,KM,YES,
1,10102004,DIRT TRACK,NO,3,3,YES,,,30,MINUTE,1500,5000,YES,,,NO,15,KM,NO,15,3,0,5,KM,5,600,YES,,NO,,,NO,25,KM,24,500,5,KM,7,320,NO,1,0,0,0,YES,,,NO,15,KM,,,YES,YES,MALE,YES,YES,25,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,25,KM,NO,25,KM,NO,YES
1,10103414,DIRT ROAD (MAINTAINED),YES,1,5,NO,5,KM,3,HOUR,1200,200,NO,46,KM,YES,,,NO,46,12,0,7,KM,11,54,YES,,NO,,,NO,30,KM,10,379,19,KM,8,275,YES,1,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,NO,NO,,,,,0,,GOVERNMENT FACILITY,YES,0,YES,YES,YES,YES,YES,NO,NO,46,KM,NO,46,KM,YES,
1,10104150,DIRT ROAD (MAINTAINED),YES,0,12,YES,,,4,HOUR,2500,5000,NO,30,KM,YES,,,YES,,4,0,6,KM,7,500,YES,,NO,,,NO,40,KM,22,540,15,KM,3,70,NO,0,0,0,0,YES,,,NO,6,KM,,,NO,,,,,30,KM,GOVERNMENT FACILITY,NO,,YES,NO,NO,NO,NO,NO,NO,100,KM,NO,100,KM,NO,YES
1,10201688,DIRT ROAD (MAINTAINED),YES,3,5,NO,2,KM,10,MINUTE,500,100,NO,2,KM,NO,2,KM,NO,10,5,0,3,KM,8,670,NO,2,YES,3/4,COOKED FOOD,NO,92,KM,17,166,4,KM,12,722,NO,0,0,0,0,YES,,,NO,4,KM,,,NO,,,,,12,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,12,KM,NO,12,KM,NO,NO
1,10202514,DIRT TRACK,NO,0,0,NO,4,KM,10,MINUTE,500,2500,NO,15,KM,NO,15,KM,NO,18,5,0,4,KM,5,610,YES,,NO,,,NO,40,KM,34,550,40,KM,18,520,YES,0,0,0,0,YES,,,NO,18,KM,,,NO,,,,,40,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,40,KM,NO,40,KM,NO,NO
1,10203176,GRADED GRAVELED,NO,3,5,NO,1,KM,45,MINUTE,1000,600,NO,43,KM,YES,,,NO,40,5,2,12,KM,9,687,YES,,NO,,,NO,18,KM,11,512,13,KM,9,472,NO,2,1,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,10,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,40,KM,NO,40,KM,YES,
1,10203744,TAR/ASPHALT,YES,12,12,YES,,,49,MINUTE,100,300,YES,,,YES,,,NO,10,5,1,4,KM,9,630,YES,,NO,,,NO,10,KM,30,529,10,KM,14,569,YES,4,0,0,1,NO,10,KM,YES,,,NEVER AVAILABLE,NO,YES,,,,,10,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,10,KM,NO,10,KM,YES,
1,10204322,DIRT ROAD (MAINTAINED),YES,2,10,NO,10,KM,10,MINUTE,1600,250,NO,10,KM,NO,7,KM,NO,15,4,0,2,KM,10,800,YES,,NO,,,NO,43,KM,14,612,3,KM,7,115,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,0,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,82,KM,NO,2,KM,YES,
1,10204586,TAR/ASPHALT,YES,12,12,YES,,,1,HOUR,1500,2000,YES,,,NO,15,KM,NO,5,6,0,1,KM,10,600,YES,,YES,ALMOST ALL,COOKED FOOD,NO,2,KM,25,625,1,KM,7,300,YES,1,1,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,YES,YES,MALE,YES,YES,6,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,5,KM,NO,75,KM,NO,NO
1,10220103,DIRT ROAD (MAINTAINED),YES,12,3,NO,3,KM,10,MINUTE,200,100,NO,6,KM,NO,6,KM,NO,6,0,0,3,KM,26,2922,YES,,NO,,,NO,5,KM,30,529,6,KM,14,519,NO,0,0,0,0,NO,5,KM,NO,5,KM,,,NO,,,,,5,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,5,KM,NO,5,KM,NO,NO
1,10220705,GRADED GRAVELED,YES,12,12,YES,,,5,MINUTE,50,2500,YES,,,YES,,,YES,,17,1,1,KM,8,450,YES,,NO,,,NO,3,KM,23,349,3,KM,12,495,YES,0,0,1,2,YES,,,NO,5,KM,,,YES,YES,MALE,YES,YES,5,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,5,KM,NO,5,KM,NO,NO
