occ,ea_id,com_ce01a,com_ce01b,com_ce01c,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05b,com_ce06,com_ce07,com_ce08a,com_ce08b,com_ce08_1,com_ce08_2,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
1,10101016,FARMING,,,YES,1/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,500,200,NO,,,,,,,,
1,10101204,FARMING,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,FARMING,,700,550,NO,,,,,,,,
1,10101215,FARMING,,,YES,1/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,500,300,YES,200,12,DAY,1/4,200,12,DAY,1/2
1,10101562,FARMING,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,NO,,,,450,450,NO,,,,,,,,
1,10102004,FARMING,,,YES,1/4,RURAL AREAS,OTHER (SPECIFY),FARMING,YES,RURAL AREAS,FARMING,,500,500,YES,300,1,MONTH,1/2,300,1,MONTH,1/4
1,10103414,FARMING,"FIREWOOD, CHARCOAL SELLING","BEER BREWING, KACHASU",YES,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,CIVIL SERVICE,YES,RURAL AREAS,FARMING,"FIREWOOD, CHARCOAL SELLING",300,300,YES,2300,14,DAY,1/4,2300,14,DAY,1/4
1,10104150,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,,NO,,,,500,300,NO,,,,,,,,
1,10201688,FARMING,FISHING,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),TRANSPORT,YES,RURAL AREAS,FARMING,FISHING,300,300,YES,2500,12,DAY,1/4,2500,12,DAY,1/4
1,10202514,FARMING,,,NO,,,,,YES,RURAL AREAS,FARMING,,1000,500,YES,200,2,WEEK,1/2,200,2,WEEK,1/4
1,10203176,FARMING,,,YES,1/4,RURAL AREAS,FARMING,,YES,URBAN CENTRES,FISHING,,500,500,NO,,,,,,,,
1,10203744,FARMING,,,YES,1/4,URBAN CENTRES,FISHING,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,FARMING,TRANSPORT,500,420,YES,3000,2,WEEK,1/4,3000,2,WEEK,1/4
1,10204322,FARMING,FISHING,,YES,1/4,URBAN CENTRES,FISHING,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,FARMING,FISHING,550,500,YES,3500,2,WEEK,1/4,3500,2,WEEK,1/2
