occ,ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf21,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27
1,10101016,YES,1ST HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,10,KM,YES,138,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,4,ACRE,98,0,0,0,0,1,20
1,10101204,YES,1ST HALF NOV,2ND HALF JUN,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,148,0,0,NO,NO,NO,NO,4,ACRE,1,ACRE,7,ACRE,62,9,4,6,3,20,20
1,10101215,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,30,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,4,ACRE,72,0,0,0,0,0,40
1,10101562,YES,2ND HALF DEC,1ST HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,YES,"YES, BUT NOT IF HH IS IN NEED",YES,2,ACRE,1,ACRE,4,ACRE,133,26,19,0,33,10,45
1,10102004,YES,1ST HALF DEC,2ND HALF MAR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,YES,39,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,87,0,0,0,0,0,87
1,10103414,YES,2ND HALF DEC,1ST HALF JUN,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,150,1,1,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",2,ACRE,1,ACRE,3,ACRE,179,16,22,0,92,20,29
1,10104150,YES,2ND HALF DEC,1ST HALF JUN,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,18,KM,NO,,0,0,YES,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,71,0,0,0,20,0,71
1,10201688,YES,1ST HALF JAN,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,4731,112,1200,92,300,27,3000
1,10202514,YES,2ND HALF NOV,1ST HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,5,ACRE,2,ACRE,2,132,20,132,0,0,0
1,10203176,YES,2ND HALF DEC,2ND HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,255,0,0,NO,NO,,,5,HECTARE,1,HECTARE,10,HECTARE,249,10,200,20,10,0,9
1,10203744,YES,1ST HALF DEC,1ST HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,40,11,11,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",4,ACRE,1,ACRE,8,ACRE,492,0,270,0,20,102,100
1,10204322,YES,1ST HALF JAN,2ND HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,YES,220,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,5,ACRE,9,7,40,0,16,0,26
1,10204586,YES,2ND HALF NOV,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,2,2,NO,NO,NO,NO,1,ACRE,5,ACRE,2,ACRE,400,0,0,0,0,0,450
1,10220103,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,2,ACRE,43,0,0,0,0,0,0
1,10220705,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,12,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,900,0,0,0,900,6,900
1,10301663,YES,1ST HALF NOV,1ST HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,6,KM,YES,29,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,7,ACRE,286,20,15,0,0,0,286
1,10302010,YES,2ND HALF NOV,2ND HALF MAR,NONE,ANIMALS GRAZE FREELY BUT FARMERS MAY ONLY FENCE PARENTAL CROPLAND,NO,1,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,4,ACRE,562,13,7,27,30,1,562
