occ,ea_id,com_cf28,com_cf00,com_cf29,com_cf30,com_cf31,com_cf32a,com_cf32b,com_cf33,com_cf34,com_cf35a,com_cf35b,com_cf35c,com_cf35d,com_cf35e
1,10101016,NO,,,,,,,,,,,,,
1,10101204,YES,101,IRAD,IRRIGATION,148,3,2012,EXTERNAL SOURCES ONLY,JICCA,NO,YES,NO,NO,NO
2,10101204,,102,PRESIDENTAL INITIVE,IRRIGATION,122,6,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,NO,NO,NO,NO,NO
1,10101215,NO,,,,,,,,,,,,,
1,10101562,NO,,,,,,,,,,,,,
1,10102004,NO,,,,,,,,,,,,,
1,10103414,YES,101,IRAD,INCREASE CROP YIELDS,150,4,2003,EXTERNAL SOURCES ONLY,UNDP,YES,YES,NO,NO,NO
1,10104150,NO,,,,,,,,,,,,,
1,10201688,YES,101,NASFAM,NEW/IMPROVED VARIETIES,155,8,3,FARMERS ONLY,TOTAL LAND CARE,YES,NO,YES,NO,NO
1,10202514,NO,,,,,,,,,,,,,
1,10203176,NO,,,,,,,,,,,,,
1,10203744,YES,101,IRAD,INCREASE CROP YIELDS,20,10,2012,EXTERNAL SOURCES ONLY,JICCA,YES,YES,NO,NO,NO
2,10203744,,102,TOTAL LAND CARE,IMPROVE SOIL QUALITY,29,9,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,NO,NO,YES,NO,NO
3,10203744,,103,DISCOVER,INTRODUCE LEGUME COVER CROPS,22,9,2012,EXTERNAL SOURCES ONLY,DFID,YES,YES,NO,NO,NO
1,10204322,NO,,,,,,,,,,,,,
1,10204586,NO,,,,,,,,,,,,,
1,10220103,NO,,,,,,,,,,,,,
1,10220705,NO,,,,,,,,,,,,,
1,10301663,NO,,,,,,,,,,,,,
1,10302010,NO,,,,,,,,,,,,,
1,10304012,YES,101,STABEN,INCREASE CROP YIELDS,35,7,2010,EXTERNAL SOURCES ONLY,OTHER (SPECIFY),YES,YES,NO,NO,NO
2,10304012,,102,ASWAP,INCREASE CROP YIELDS,35,1,2011,EXTERNAL SOURCES ONLY,OTHER (SPECIFY),YES,YES,YES,NO,NO
3,10304012,,103,TOTAL LAND CARE,IMPROVE SOIL QUALITY,31,7,2000,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,10305446,NO,,,,,,,,,,,,,
1,10307413,NO,,,,,,,,,,,,,
1,10308636,NO,,,,,,,,,,,,,
1,10401140,NO,,,,,,,,,,,,,
1,10401502,NO,,,,,,,,,,,,,
1,10401522,NO,,,,,,,,,,,,,
1,10404186,NO,,,,,,,,,,,,,
1,10405213,YES,101,IMPROVE SOIL QUALITY,IMPROVE SOIL QUALITY,10,11,2010,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,NO,NO,NO,NO
1,10501505,NO,,,,,,,,,,,,,
1,10501709,NO,,,,,,,,,,,,,
1,10502268,NO,,,,,,,,,,,,,
1,10502593,NO,,,,,,,,,,,,,
1,10503367,NO,,,,,,,,,,,,,
1,10505136,YES,101,WORLD VISION,INTRODUCE LEGUME COVER CROPS,50,12,2005,FARMERS ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,10505310,NO,,,,,,,,,,,,,
1,10505508,NO,,,,,,,,,,,,,
1,10507175,NO,,,,,,,,,,,,,
1,10507344,NO,,,,,,,,,,,,,
1,10509319,NO,,,,,,,,,,,,,
1,10510388,NO,,,,,,,,,,,,,
1,10732192,NO,,,,,,,,,,,,,
