occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
1,10101016,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10101016,A,EARTHQUAKE,OTHER BAD (SPECIFY),2010,ALMOST ALL
3,10101016,B,,,,
4,10101016,C,,,,
5,10101016,D,,,,
6,10101016,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10101016,A,FERTILIZER DISTRIBUTION BY THE MALA,OTHER GOOD (SPECIFY),2013,1/2
8,10101016,B,,,,
9,10101016,C,,,,
10,10101016,D,,,,
1,10101204,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10101204,A,CROP PESTS  AND DISEASES,CROP DISEASE/PESTS,2012,ALMOST ALL
3,10101204,B,LOW COST OF FARM OUTPUTS,OTHER BAD (SPECIFY),2011,ALMOST ALL
4,10101204,C,OFF GRID ELECRTICITY,OFF-GRID ELECTRICITY,2012,ALMOST ALL
5,10101204,D,LLACK OF LOCAL MARKETS,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,10101204,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10101204,A,NEW ROAD,NEW ROAD,2012,ALMOST ALL
8,10101204,B,IRRAGATION PROGRAMME,OTHER GOOD (SPECIFY),2008,1/4
9,10101204,C,DISTRIBUTION OF LIVESTOCK BY,OTHER GOOD (SPECIFY),2012,1/4
10,10101204,D,THE BEGNING OF VILLAGE BANKS,OTHER GOOD (SPECIFY),2012,1/2
1,10101215,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10101215,A,EARTN QUAKE,OTHER BAD (SPECIFY),2009,ALMOST NONE
3,10101215,B,SHORTAGE OF BOREHOLE,OTHER BAD (SPECIFY),2013,1/2
4,10101215,C,DROUGHT,DROUGHT,2012,3/4
5,10101215,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
6,10101215,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10101215,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2011,1/2
8,10101215,B,DEVELOPMENT PROJECT EG CHIPATALA,DEVELOPMENT PROJECT,2011,ALMOST ALL
9,10101215,C,,,,
10,10101215,D,,,,
1,10101562,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10101562,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,10101562,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,10101562,C,OFF GRID ELECTRICITY,OFF-GRID ELECTRICITY,2011,ALMOST ALL
5,10101562,D,,,,
6,10101562,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10101562,A,PROVISION OF HEALTH CLINIC/FACILITY,NEW HEALTH FACILITY,2010,ALMOST ALL
8,10101562,B,,,,
9,10101562,C,,,,
10,10101562,D,,,,
1,10102004,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10102004,A,EARTHQUAKE,OTHER BAD (SPECIFY),2010,1/2
3,10102004,B,,,,
4,10102004,C,,,,
5,10102004,D,,,,
6,10102004,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10102004,A,,,,
8,10102004,B,,,,
9,10102004,C,,,,
10,10102004,D,,,,
1,10103414,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10103414,A,SHORTAGE OF SUBSIDY FERTILIZER COUP,OTHER BAD (SPECIFY),2011,ALMOST ALL
3,10103414,B,LACK OF MARKET TO SELL AND BUY COMM,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,10103414,C,SHORTAGE OF MEDICATION IN HOSPITALS,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,10103414,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
6,10103414,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10103414,A,NEW BRIDGE CONSTRUCTION AND ROAD CO,NEW ROAD,2012,1/2
8,10103414,B,NEW DAM CONSTRUCTION FOR IRRAGATION,OTHER GOOD (SPECIFY),2010,1/4
9,10103414,C,NEW BUIDING FOR HEALTH CENTRE,OTHER GOOD (SPECIFY),2010,ALMOST ALL
10,10103414,D,NEW VILLAGE COMMUNITY WAREHOUSE AT,OTHER GOOD (SPECIFY),2011,1/2
1,10104150,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10104150,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10104150,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,10104150,C,MALARIA HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,1/2
5,10104150,D,,,,
6,10104150,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10104150,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2011,1/4
8,10104150,B,,,,
9,10104150,C,,,,
10,10104150,D,,,,
1,10201688,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10201688,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,10201688,B,FLOOD,FLOOD,2012,ALMOST ALL
4,10201688,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,10201688,D,EARTHQUAKE,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,10201688,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
