occ,ea_id,com_ch0b,com_ch01,com_ch02,com_ch03,com_ch04,com_ch05,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch08,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch10,com_ch11,com_ch12,com_ch13a,com_ch13b,com_ch13c,com_ch14,com_ch15
1,10101016,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10101016,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,10101016,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10101016,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10101016,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10101016,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10101016,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10101016,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10101016,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10101016,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10101016,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10101016,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10101016,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10101016,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10101016,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10101016,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10101016,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10101016,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10101204,ROAD: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,TO BE ADDRESSED; RESPONSE POSITIVE,CENTRAL GOVERNMENT,,,2000000,40000,COMPULSARY,YES,YES,YES,VILLAGE RESIDENTS,
2,10101204,ROAD: MAINTENANCE,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,TO BE ADDRESSED; RESPONSE POSITIVE,MASAF,COMMUNITY FUNDRAISING,,220000,62000,COMPULSARY,YES,YES,YES,VILLAGE RESIDENTS,
3,10101204,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10101204,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10101204,PRIMARY SCHOOL: CONSTRUCTION,YES,YES,YES,YES,VILLAGE HEADMAN,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,166000,25000,COMPULSARY,NO,NO,NO,VILLAGE HEADMAN,
6,10101204,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,VILLAGE HEADMAN,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,,,,,,,,,,,,4
7,10101204,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10101204,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10101204,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,5
10,10101204,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10101204,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
12,10101204,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10101204,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10101204,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10101204,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10101204,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,YES,YES,YES,YES,VILLAGE HEADMAN,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,TO BE ADDRESSED; RESPONSE POSITIVE,DISTRICT/CITY ASSEMBLY,,,10000,20000,COMPULSARY,YES,NO,NO,VILLAGE RESIDENTS,
17,10101204,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10101204,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10101215,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10101215,ROAD: MAINTENANCE,NO,YES,YES,NO,,,YES,YES,NO,YES,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,200000,150000,VOLUNTARY,YES,YES,NO,GROUP VILLAGE HEADMAN,
