occ,ea_id,com_cj0b,com_cj01,com_cj02,com_cj03,com_cj04,com_cj05,com_cj06
1,10101016,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10101016,AGRICULTURAL COOP,NO,,,,,
3,10101016,TOBACCO CLUB,NO,,,,,
4,10101016,FARMERS` GROUP,NO,,,,,
5,10101016,SAVING AND CREDIT COOP,NO,,,,,
6,10101016,BUSINESS ASSOC,NO,,,,,
7,10101016,WOMEN`S GROUP,YES,1,WEEKLY,25,25,1
8,10101016,YOUTH GROUP,NO,,,,,
9,10101016,POLITICAL GROUP,NO,,,,,
10,10101016,RELIGIOUS GROUP,NO,,,,,
11,10101016,CULTURAL GROUP,YES,1,MONTHLY,10,5,0
12,10101016,HEALTH COMMITTEE,YES,1,MONTHLY,10,5,0
13,10101016,SCHOOL COMMITTEE,NO,,,,,
14,10101016,PARENT-TEACHER ASSOC.,NO,,,,,
15,10101016,SPORTS GROUP,NO,,,,,
16,10101016,NGO,NO,,,,,
17,10101016,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,4
18,10101016,DISABLED ASSOC.,NO,,,,,
19,10101016,OTHER (SPECIFY),NO,,,,,
1,10101204,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,18,6,3
2,10101204,AGRICULTURAL COOP,NO,,,,,
3,10101204,TOBACCO CLUB,YES,1,MONTHLY,22,10,4
4,10101204,FARMERS` GROUP,YES,1,MONTHLY,60,27,10
5,10101204,SAVING AND CREDIT COOP,NO,,,,,
6,10101204,BUSINESS ASSOC,NO,,,,,
7,10101204,WOMEN`S GROUP,NO,,,,,
8,10101204,YOUTH GROUP,YES,1,MONTHLY,41,15,39
9,10101204,POLITICAL GROUP,YES,1,MONTHLY,16,6,11
10,10101204,RELIGIOUS GROUP,YES,1,MONTHLY,27,19,11
11,10101204,CULTURAL GROUP,YES,1,MONTHLY,93,84,4
12,10101204,HEALTH COMMITTEE,YES,1,MONTHLY,12,6,5
13,10101204,SCHOOL COMMITTEE,YES,1,MONTHLY,10,4,0
14,10101204,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,42,2,3
15,10101204,SPORTS GROUP,YES,1,WEEKLY,20,2,6
16,10101204,NGO,NO,,,,,
17,10101204,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10101204,DISABLED ASSOC.,NO,,,,,
19,10101204,OTHER (SPECIFY),NO,,,,,
1,10101215,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10101215,AGRICULTURAL COOP,NO,,,,,
3,10101215,TOBACCO CLUB,NO,,,,,
4,10101215,FARMERS` GROUP,YES,1,MONTHLY,10,5,10
5,10101215,SAVING AND CREDIT COOP,NO,,,,,
6,10101215,BUSINESS ASSOC,NO,,,,,
7,10101215,WOMEN`S GROUP,NO,,,,,
8,10101215,YOUTH GROUP,NO,,,,,
9,10101215,POLITICAL GROUP,NO,,,,,
10,10101215,RELIGIOUS GROUP,NO,,,,,
11,10101215,CULTURAL GROUP,YES,1,MONTHLY,7,4,0
12,10101215,HEALTH COMMITTEE,NO,,,,,
13,10101215,SCHOOL COMMITTEE,YES,1,MONTHLY,10,5,0
14,10101215,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,5,0
15,10101215,SPORTS GROUP,YES,1,WEEKLY,10,5,10
16,10101215,NGO,NO,,,,,
17,10101215,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,4,3
18,10101215,DISABLED ASSOC.,NO,,,,,
19,10101215,OTHER (SPECIFY),NO,,,,,
1,10101562,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,10,2,2
2,10101562,AGRICULTURAL COOP,NO,,,,,
3,10101562,TOBACCO CLUB,NO,,,,,
4,10101562,FARMERS` GROUP,NO,,,,,
5,10101562,SAVING AND CREDIT COOP,YES,1,WEEKLY,37,30,10
6,10101562,BUSINESS ASSOC,NO,,,,,
7,10101562,WOMEN`S GROUP,NO,,,,,
8,10101562,YOUTH GROUP,NO,,,,,
9,10101562,POLITICAL GROUP,YES,1,MONTHLY,24,6,0
10,10101562,RELIGIOUS GROUP,YES,1,WEEKLY,16,9,6
11,10101562,CULTURAL GROUP,NO,,,,,
12,10101562,HEALTH COMMITTEE,YES,1,WEEKLY,12,4,8
13,10101562,SCHOOL COMMITTEE,YES,1,MONTHLY,10,4,2
14,10101562,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,6,4
15,10101562,SPORTS GROUP,NO,,,,,
16,10101562,NGO,NO,,,,,
17,10101562,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,1,8
18,10101562,DISABLED ASSOC.,NO,,,,,
19,10101562,OTHER (SPECIFY),NO,,,,,
1,10102004,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10102004,AGRICULTURAL COOP,NO,,,,,
3,10102004,TOBACCO CLUB,YES,2,WEEKLY,23,1,4
4,10102004,FARMERS` GROUP,YES,2,WEEKLY,10,1,10
5,10102004,SAVING AND CREDIT COOP,NO,,,,,
6,10102004,BUSINESS ASSOC,NO,,,,,
7,10102004,WOMEN`S GROUP,NO,,,,,
8,10102004,YOUTH GROUP,NO,,,,,
9,10102004,POLITICAL GROUP,NO,,,,,
10,10102004,RELIGIOUS GROUP,NO,,,,,
11,10102004,CULTURAL GROUP,YES,1,WEEKLY,20,10,5
12,10102004,HEALTH COMMITTEE,NO,,,,,
13,10102004,SCHOOL COMMITTEE,YES,1,MONTHLY,10,4,5
14,10102004,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,10,4,5
15,10102004,SPORTS GROUP,YES,1,WEEKLY,5,1,2
16,10102004,NGO,NO,,,,,
17,10102004,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,5,2,4
18,10102004,DISABLED ASSOC.,NO,,,,,
19,10102004,OTHER (SPECIFY),NO,,,,,
1,10103414,VILLAGE DEVELOPMENT COMMITTE,YES,2,MONTHLY,10,2,4
2,10103414,AGRICULTURAL COOP,YES,1,QUARTERLY,14,6,0
3,10103414,TOBACCO CLUB,YES,3,QUARTERLY,19,8,0
4,10103414,FARMERS` GROUP,YES,1,QUARTERLY,16,4,0
5,10103414,SAVING AND CREDIT COOP,YES,1,WEEKLY,22,4,0
6,10103414,BUSINESS ASSOC,YES,2,WEEKLY,10,6,0
7,10103414,WOMEN`S GROUP,YES,1,OTHER (SPECIFY),16,10,4
8,10103414,YOUTH GROUP,NO,,,,,
9,10103414,POLITICAL GROUP,YES,1,QUARTERLY,27,12,6
10,10103414,RELIGIOUS GROUP,YES,3,WEEKLY,32,16,10
11,10103414,CULTURAL GROUP,NO,,,,,
12,10103414,HEALTH COMMITTEE,YES,1,MONTHLY,20,10,3
13,10103414,SCHOOL COMMITTEE,YES,1,MONTHLY,12,0,3
14,10103414,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,14,10,1
15,10103414,SPORTS GROUP,YES,1,OTHER (SPECIFY),19,3,16
16,10103414,NGO,NO,,,,,
17,10103414,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,9,1,2
18,10103414,DISABLED ASSOC.,NO,,,,,
19,10103414,OTHER (SPECIFY),YES,1,QUARTERLY,11,4,9
1,10104150,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10104150,AGRICULTURAL COOP,NO,,,,,
3,10104150,TOBACCO CLUB,NO,,,,,
4,10104150,FARMERS` GROUP,NO,,,,,
5,10104150,SAVING AND CREDIT COOP,NO,,,,,
6,10104150,BUSINESS ASSOC,NO,,,,,
7,10104150,WOMEN`S GROUP,NO,,,,,
8,10104150,YOUTH GROUP,YES,1,MONTHLY,10,4,9
9,10104150,POLITICAL GROUP,NO,,,,,
10,10104150,RELIGIOUS GROUP,NO,,,,,
11,10104150,CULTURAL GROUP,NO,,,,,
12,10104150,HEALTH COMMITTEE,NO,,,,,
13,10104150,SCHOOL COMMITTEE,NO,,,,,
14,10104150,PARENT-TEACHER ASSOC.,NO,,,,,
15,10104150,SPORTS GROUP,NO,,,,,
16,10104150,NGO,NO,,,,,
17,10104150,COMMUNITY POLICE/WATCH GROUP,YES,2,MONTHLY,10,3,5
18,10104150,DISABLED ASSOC.,NO,,,,,
19,10104150,OTHER (SPECIFY),NO,,,,,
1,10201688,VILLAGE DEVELOPMENT COMMITTE,YES,2,QUARTERLY,10,2,4
2,10201688,AGRICULTURAL COOP,NO,,,,,
3,10201688,TOBACCO CLUB,NO,,,,,
4,10201688,FARMERS` GROUP,NO,,,,,
5,10201688,SAVING AND CREDIT COOP,YES,1,MONTHLY,20,16,18
6,10201688,BUSINESS ASSOC,NO,,,,,
7,10201688,WOMEN`S GROUP,YES,1,WEEKLY,20,20,6
8,10201688,YOUTH GROUP,YES,1,MONTHLY,24,10,20
9,10201688,POLITICAL GROUP,NO,,,,,
10,10201688,RELIGIOUS GROUP,YES,1,WEEKLY,21,6,4
11,10201688,CULTURAL GROUP,NO,,,,,
12,10201688,HEALTH COMMITTEE,YES,1,MONTHLY,10,4,2
13,10201688,SCHOOL COMMITTEE,YES,6,MONTHLY,10,2,1
14,10201688,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,1
15,10201688,SPORTS GROUP,YES,1,WEEKLY,35,12,30
16,10201688,NGO,NO,,,,,
17,10201688,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,2,3
18,10201688,DISABLED ASSOC.,NO,,,,,
19,10201688,OTHER (SPECIFY),NO,,,,,
1,10202514,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
