occ,ea_id,com_ck00a,com_ck00b,com_ck00c,com_ck00b1,com_ck00b2,com_ck00b3
1,10101016,CK1,Maize grain,1,2400,1,5
2,10101016,CK3,Cost to grind 50 kg,1,4500,,
3,10101016,CK4,Cost to grind 50 kg,2,,,
4,10101016,CK22,Bar soap (Maluwa),1,65,1,9
5,10101016,CK23,Toothbrush,1,35,50,18
6,10101016,CK24,Toothpaste (50 g tub,1,800,500,18
7,10101016,CK25,"Clothes soap (Omo, S",1,250,50,19
8,10101016,CK26,Vaseline/glycerin,1,10,10,18
9,10101016,CK27,Aspirin or Panadol,2,,,
10,10101016,CK28,Fansidar (3 tablet p,2,,,
11,10101016,CK29,Chitenje cloth,1,2200,1,9
12,10101016,CK30,Trousers (kaunjika),1,200,,
13,10101016,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10101016,CK32,Carlsberg beer (bott,1,350,,
15,10101016,CK33,"Cigarettes, Embassy",1,25,,
16,10101016,CK34,Battery (dry cell) f,1,80,,
17,10101016,CK35,"Watch, digital (simp",1,1300,,
18,10101016,CK36,Firewood,1,100,1,10
19,10101016,CK37,Charcoal,1,700,50,1
20,10101016,CK38,Paraffin,2,,,
21,10101016,CK39,Chemical fertilizer,1,12800,50,1
22,10101016,CK40,Pesticides/Insectici,2,,,
23,10101016,CK41,Herbicides/Fungicide,2,,,
24,10101016,CK42,Motorized transport,1,150,,
25,10101016,CK43,Hybrid maize seed (m,1,2300,5,1
26,10101016,CK44,"Hand hoe, without ha",1,1200,,
27,10101016,CK45,Panga,1,1000,,
28,10101016,CK46,Sickle,1,450,,
29,10101016,CK47,Axe,1,1500,,
30,10101016,CK48,Bicycle,1,40000,,
31,10101016,CK49,Foam mattress (10 cm,1,10500,,
32,10101016,CK50,"Mosquito net (white,",1,3200,,
1,10101204,CK1,Maize grain,1,1800,1,5
2,10101204,CK3,Cost to grind 50 kg,1,4800,,
3,10101204,CK4,Cost to grind 50 kg,1,12500,,
4,10101204,CK22,Bar soap (Maluwa),1,80,1,9
5,10101204,CK23,Toothbrush,1,50,1,9
6,10101204,CK24,Toothpaste (50 g tub,1,150,50,18
7,10101204,CK25,"Clothes soap (Omo, S",1,450,500,18
8,10101204,CK26,Vaseline/glycerin,1,150,110,19
9,10101204,CK27,Aspirin or Panadol,1,30,10,18
10,10101204,CK28,Fansidar (3 tablet p,2,,,
11,10101204,CK29,Chitenje cloth,1,1000,1,9
12,10101204,CK30,Trousers (kaunjika),1,1000,,
13,10101204,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10101204,CK32,Carlsberg beer (bott,1,330,,
15,10101204,CK33,"Cigarettes, Embassy",1,20,,
16,10101204,CK34,Battery (dry cell) f,1,80,,
17,10101204,CK35,"Watch, digital (simp",1,550,,
18,10101204,CK36,Firewood,1,100,1,8
19,10101204,CK37,Charcoal,1,60,1,23
20,10101204,CK38,Paraffin,1,50,100,19
21,10101204,CK39,Chemical fertilizer,2,,,
22,10101204,CK40,Pesticides/Insectici,1,650,1,500
23,10101204,CK41,Herbicides/Fungicide,2,,,
24,10101204,CK42,Motorized transport,1,250,,
25,10101204,CK43,Hybrid maize seed (m,1,3500,5,1
26,10101204,CK44,"Hand hoe, without ha",1,2800,,
27,10101204,CK45,Panga,1,750,,
28,10101204,CK46,Sickle,1,500,,
29,10101204,CK47,Axe,1,800,,
30,10101204,CK48,Bicycle,1,3000,,
31,10101204,CK49,Foam mattress (10 cm,2,,,
32,10101204,CK50,"Mosquito net (white,",2,,,
1,10101215,CK1,Maize grain,1,700,1,5
2,10101215,CK3,Cost to grind 50 kg,1,4500,,
3,10101215,CK4,Cost to grind 50 kg,2,,,
4,10101215,CK22,Bar soap (Maluwa),1,90,1,9
5,10101215,CK23,Toothbrush,1,30,1,9
6,10101215,CK24,Toothpaste (50 g tub,1,375,50,18
7,10101215,CK25,"Clothes soap (Omo, S",1,150,100,18
8,10101215,CK26,Vaseline/glycerin,1,80,50,18
9,10101215,CK27,Aspirin or Panadol,1,15,10,18
10,10101215,CK28,Fansidar (3 tablet p,2,,,
11,10101215,CK29,Chitenje cloth,1,2000,1,9
12,10101215,CK30,Trousers (kaunjika),1,1500,,
13,10101215,CK31,"Coca-Cola, Fanta (bo",1,120,,
14,10101215,CK32,Carlsberg beer (bott,1,250,,
15,10101215,CK33,"Cigarettes, Embassy",1,25,,
16,10101215,CK34,Battery (dry cell) f,1,80,,
17,10101215,CK35,"Watch, digital (simp",1,100,,
18,10101215,CK36,Firewood,1,100,1,10
19,10101215,CK37,Charcoal,1,600,50,1
20,10101215,CK38,Paraffin,1,30,50,19
21,10101215,CK39,Chemical fertilizer,1,17000,50,1
22,10101215,CK40,Pesticides/Insectici,1,1000,200,19
23,10101215,CK41,Herbicides/Fungicide,1,1000,200,19
24,10101215,CK42,Motorized transport,1,300,,
25,10101215,CK43,Hybrid maize seed (m,1,6200,10,1
26,10101215,CK44,"Hand hoe, without ha",1,1500,,
27,10101215,CK45,Panga,1,1200,,
28,10101215,CK46,Sickle,1,500,,
29,10101215,CK47,Axe,1,2000,,
30,10101215,CK48,Bicycle,1,40000,,
31,10101215,CK49,Foam mattress (10 cm,1,12000,,
32,10101215,CK50,"Mosquito net (white,",1,3000,,
1,10101562,CK1,Maize grain,1,1600,1,5
2,10101562,CK3,Cost to grind 50 kg,1,4600,,
3,10101562,CK4,Cost to grind 50 kg,2,,,
4,10101562,CK22,Bar soap (Maluwa),1,80,1,9
5,10101562,CK23,Toothbrush,1,100,1,9
6,10101562,CK24,Toothpaste (50 g tub,1,450,50,18
7,10101562,CK25,"Clothes soap (Omo, S",1,80,50,18
8,10101562,CK26,Vaseline/glycerin,1,140,50,19
9,10101562,CK27,Aspirin or Panadol,1,30,20,18
10,10101562,CK28,Fansidar (3 tablet p,2,,,
11,10101562,CK29,Chitenje cloth,1,700,1,9
12,10101562,CK30,Trousers (kaunjika),1,2000,,
13,10101562,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10101562,CK32,Carlsberg beer (bott,1,330,,
15,10101562,CK33,"Cigarettes, Embassy",1,30,,
16,10101562,CK34,Battery (dry cell) f,1,90,,
17,10101562,CK35,"Watch, digital (simp",1,650,,
18,10101562,CK36,Firewood,2,,,
19,10101562,CK37,Charcoal,2,,,
20,10101562,CK38,Paraffin,1,150,200,19
21,10101562,CK39,Chemical fertilizer,1,12800,50,1
22,10101562,CK40,Pesticides/Insectici,2,,,
23,10101562,CK41,Herbicides/Fungicide,2,,,
24,10101562,CK42,Motorized transport,1,250,,
25,10101562,CK43,Hybrid maize seed (m,1,3800,5,2
26,10101562,CK44,"Hand hoe, without ha",1,2800,,
27,10101562,CK45,Panga,1,1500,,
28,10101562,CK46,Sickle,1,1000,,
29,10101562,CK47,Axe,1,1800,,
30,10101562,CK48,Bicycle,2,,,
31,10101562,CK49,Foam mattress (10 cm,2,,,
32,10101562,CK50,"Mosquito net (white,",2,,,
1,10102004,CK1,Maize grain,1,3000,1,1
2,10102004,CK3,Cost to grind 50 kg,1,2600,,
3,10102004,CK4,Cost to grind 50 kg,1,13500,,
4,10102004,CK22,Bar soap (Maluwa),1,60,1,9
5,10102004,CK23,Toothbrush,1,15,1,9
6,10102004,CK24,Toothpaste (50 g tub,1,100,50,18
7,10102004,CK25,"Clothes soap (Omo, S",1,100,100,18
8,10102004,CK26,Vaseline/glycerin,1,250,100,18
9,10102004,CK27,Aspirin or Panadol,1,10,10,18
10,10102004,CK28,Fansidar (3 tablet p,1,15,10,18
11,10102004,CK29,Chitenje cloth,1,1000,1,9
12,10102004,CK30,Trousers (kaunjika),1,1200,,
13,10102004,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10102004,CK32,Carlsberg beer (bott,1,350,,
15,10102004,CK33,"Cigarettes, Embassy",1,20,,
16,10102004,CK34,Battery (dry cell) f,1,90,,
17,10102004,CK35,"Watch, digital (simp",1,300,,
18,10102004,CK36,Firewood,1,500,1,10
19,10102004,CK37,Charcoal,1,550,150,1
20,10102004,CK38,Paraffin,1,300,300,19
21,10102004,CK39,Chemical fertilizer,1,2100,50,1
22,10102004,CK40,Pesticides/Insectici,1,200,200,18
23,10102004,CK41,Herbicides/Fungicide,1,200,200,18
24,10102004,CK42,Motorized transport,1,1000,,
25,10102004,CK43,Hybrid maize seed (m,1,2500,5,1
26,10102004,CK44,"Hand hoe, without ha",1,3500,,
27,10102004,CK45,Panga,1,1000,,
28,10102004,CK46,Sickle,1,1000,,
29,10102004,CK47,Axe,1,1700,,
30,10102004,CK48,Bicycle,1,30000,,
31,10102004,CK49,Foam mattress (10 cm,1,8000,,
32,10102004,CK50,"Mosquito net (white,",1,1000,,
1,10103414,CK1,Maize grain,1,1350,1,4
2,10103414,CK3,Cost to grind 50 kg,1,3600,,
3,10103414,CK4,Cost to grind 50 kg,2,,,
4,10103414,CK22,Bar soap (Maluwa),1,70,1,9
5,10103414,CK23,Toothbrush,1,80,1,9
6,10103414,CK24,Toothpaste (50 g tub,1,300,50,9
7,10103414,CK25,"Clothes soap (Omo, S",1,250,200,18
8,10103414,CK26,Vaseline/glycerin,1,120,55,19
9,10103414,CK27,Aspirin or Panadol,1,20,1,9
10,10103414,CK28,Fansidar (3 tablet p,2,,,
11,10103414,CK29,Chitenje cloth,1,1200,1,9
12,10103414,CK30,Trousers (kaunjika),1,200,,
13,10103414,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10103414,CK32,Carlsberg beer (bott,1,150,,
15,10103414,CK33,"Cigarettes, Embassy",1,20,,
16,10103414,CK34,Battery (dry cell) f,1,90,,
17,10103414,CK35,"Watch, digital (simp",1,250,,
18,10103414,CK36,Firewood,1,200,1,8
19,10103414,CK37,Charcoal,1,50,1,10
20,10103414,CK38,Paraffin,1,50,150,19
21,10103414,CK39,Chemical fertilizer,1,13000,50,1
22,10103414,CK40,Pesticides/Insectici,1,750,250,18
23,10103414,CK41,Herbicides/Fungicide,1,3700,1,15
24,10103414,CK42,Motorized transport,1,250,,
25,10103414,CK43,Hybrid maize seed (m,1,3000,5,1
26,10103414,CK44,"Hand hoe, without ha",1,1500,,
27,10103414,CK45,Panga,1,700,,
28,10103414,CK46,Sickle,1,650,,
29,10103414,CK47,Axe,1,1800,,
30,10103414,CK48,Bicycle,1,28000,,
31,10103414,CK49,Foam mattress (10 cm,1,14000,,
32,10103414,CK50,"Mosquito net (white,",1,2500,,
1,10104150,CK1,Maize grain,1,2500,1,5
2,10104150,CK3,Cost to grind 50 kg,1,4000,,
3,10104150,CK4,Cost to grind 50 kg,2,,,
4,10104150,CK22,Bar soap (Maluwa),1,100,1,9
5,10104150,CK23,Toothbrush,1,200,1,9
6,10104150,CK24,Toothpaste (50 g tub,1,150,50,18
7,10104150,CK25,"Clothes soap (Omo, S",1,200,100,18
8,10104150,CK26,Vaseline/glycerin,1,120,50,19
9,10104150,CK27,Aspirin or Panadol,1,20,10,18
10,10104150,CK28,Fansidar (3 tablet p,2,,,
11,10104150,CK29,Chitenje cloth,1,1000,1,9
12,10104150,CK30,Trousers (kaunjika),1,1200,,
13,10104150,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10104150,CK32,Carlsberg beer (bott,1,350,,
15,10104150,CK33,"Cigarettes, Embassy",1,25,,
16,10104150,CK34,Battery (dry cell) f,1,100,,
17,10104150,CK35,"Watch, digital (simp",1,3500,,
18,10104150,CK36,Firewood,2,,,
19,10104150,CK37,Charcoal,2,,,
20,10104150,CK38,Paraffin,1,250,300,19
21,10104150,CK39,Chemical fertilizer,1,14000,50,1
22,10104150,CK40,Pesticides/Insectici,2,,,
23,10104150,CK41,Herbicides/Fungicide,2,,,
24,10104150,CK42,Motorized transport,1,100,,
25,10104150,CK43,Hybrid maize seed (m,1,1200,10,1
26,10104150,CK44,"Hand hoe, without ha",1,1500,,
27,10104150,CK45,Panga,1,1500,,
28,10104150,CK46,Sickle,1,500,,
