HHID,case_id,visit,ea_id,fs_b01_01,fs_b01_02,fs_b01_03,fs_b01_04,fs_b01_05,fs_b01_06,fs_b01_07,fs_b01_08,fs_b01_09,fs_b01_10,fs_b01_11,fs_b01_12,fs_b02,fs_f06,fs_f07,fs_j06,fs_j07
70,101034140064,2,10103414,H,L,L,L,L,L,L,L,L,L,L,L,Yes,Yes,No,,
78,101034140075,2,10103414,H,N,N,N,N,N,N,N,N,N,N,H,Yes,Yes,No,,
182,102037440006,2,10203744,H,H,L,L,L,L,L,L,L,L,H,H,Yes,Yes,Yes,,
188,102037440017,2,10203744,H,H,L,L,L,L,L,H,H,L,H,L,Yes,Yes,Yes,,
170,102037440095,2,10203744,L,L,L,L,H,H,H,H,H,L,L,L,Yes,Yes,Yes,,
184,102037440112,2,10203744,L,L,L,L,L,L,L,H,H,L,L,L,Yes,Yes,Yes,,
232,102201030035,2,10220103,L,H,H,L,L,L,L,H,H,H,H,L,Yes,Yes,Yes,,
248,102201030110,2,10220103,L,L,L,L,L,L,H,H,H,L,L,L,Yes,Yes,No,,
254,102201030125,2,10220103,H,H,H,L,L,L,L,H,H,L,H,H,Yes,Yes,Yes,,
240,102201030133,2,10220103,H,H,H,L,L,L,L,L,H,L,H,H,Yes,Yes,Yes,,
236,102201030155,2,10220103,H,L,H,L,L,L,H,H,L,H,H,H,Yes,Yes,Yes,,
203,102207050206,1,10220705,H,H,H,L,N,N,N,N,L,L,L,H,Yes,Yes,Yes,,
251,103016630307,1,10301663,H,H,H,H,H,H,H,H,H,H,H,H,No,No,,,
273,103020100009,1,10302010,L,L,L,L,L,H,H,H,L,N,N,L,Yes,No,,,
263,103020100028,1,10302010,H,H,H,H,L,L,L,H,H,H,H,L,Yes,Yes,No,,
279,103020100047,1,10302010,L,L,H,H,L,L,L,H,H,H,H,L,Yes,Yes,No,,
291,103040120101,1,10304012,H,H,H,N,H,L,L,L,N,N,N,N,Yes,Yes,No,,
301,103040120129,1,10304012,N,N,L,L,H,H,H,H,H,H,H,H,Yes,No,,,
268,103054460016,2,10305446,H,H,H,H,L,L,L,H,H,H,H,L,Yes,Yes,No,,
266,103054460029,2,10305446,L,L,L,L,L,L,H,H,H,H,L,L,Yes,Yes,No,,
331,103074130190,1,10307413,H,H,L,L,H,H,L,L,L,L,L,L,Yes,Yes,No,,
298,103086360072,2,10308636,L,L,L,L,L,N,N,H,H,H,H,H,Yes,Yes,No,,
314,103086360081,2,10308636,L,L,L,N,N,N,N,N,H,H,H,L,Yes,Yes,No,,
300,103086360090,2,10308636,L,L,L,L,N,N,N,N,H,H,H,L,Yes,Yes,Yes,,
294,103086360099,2,10308636,H,L,L,L,L,L,L,L,H,H,H,H,Yes,Yes,Yes,,
316,103086360135,2,10308636,L,L,L,L,L,L,H,H,H,H,L,L,Yes,Yes,Yes,,
306,103086360153,2,10308636,L,L,L,L,L,N,N,N,H,H,H,H,Yes,Yes,No,,
388,104041860008,2,10404186,H,H,H,N,N,N,N,H,H,H,H,N,No,No,,,
396,104041860012,2,10404186,H,L,L,L,L,L,L,H,H,H,H,H,Yes,Yes,Yes,,
384,104041860017,2,10404186,L,L,H,L,L,H,H,L,L,H,H,H,Yes,Yes,Yes,,
404,104041860021,2,10404186,L,L,L,L,L,H,H,L,H,L,H,L,No,No,,,
410,104041860030,2,10404186,N,N,L,L,L,N,N,L,H,H,H,H,No,No,,,
386,104041860034,2,10404186,H,H,H,L,L,L,L,L,N,N,N,H,Yes,Yes,No,,
406,104041860039,2,10404186,H,H,H,H,L,L,L,N,N,N,H,H,No,No,,,
394,104041860043,2,10404186,H,H,H,H,L,L,L,L,L,N,N,H,Yes,Yes,No,,
408,104041860061,2,10404186,N,N,L,L,L,L,L,H,H,H,N,N,Yes,Yes,Yes,,
390,104041860065,2,10404186,L,L,L,L,L,L,H,H,H,H,N,N,Yes,Yes,Yes,,
412,104041860083,2,10404186,N,N,H,N,L,L,L,H,H,H,H,N,Yes,Yes,Yes,,
424,105015050001,2,10501505,H,N,N,N,N,N,N,N,H,H,H,H,No,No,,,
501,105033670018,1,10503367,L,L,L,L,L,L,L,L,L,H,L,L,Yes,Yes,No,,
633,107321920281,1,10732192,L,L,L,L,L,L,L,L,H,H,L,L,Yes,Yes,Yes,,
764,107462440085,2,10746244,L,L,L,N,N,N,L,H,H,H,H,H,Yes,Yes,Yes,,
793,201106200267,1,20110620,L,L,L,L,L,L,L,L,H,H,H,H,No,Yes,Yes,,
973,204040320072,1,20404032,L,L,L,N,N,N,N,L,H,H,H,H,Yes,Yes,No,,
1107,205083490010,1,20508349,H,H,L,L,L,L,L,L,L,L,H,H,No,No,,,
1091,205083490121,1,20508349,H,H,L,N,L,L,L,H,H,L,L,L,Yes,Yes,Yes,,
1381,207053720086,1,20705372,H,L,L,L,L,L,L,L,H,H,H,H,Yes,Yes,Yes,,
1429,207061630586,1,20706163,L,L,L,L,H,H,H,H,N,N,N,N,Yes,Yes,Yes,,
1461,208044050092,1,20804405,L,L,L,H,H,H,H,H,H,H,H,H,Yes,,,,
1637,210375360135,1,21037536,L,L,L,L,L,L,L,L,L,H,H,H,No,Yes,Yes,,
1951,301012800005,1,30101280,N,L,N,L,L,L,N,N,L,H,H,L,Yes,Yes,No,,
1923,301012800063,1,30101280,H,N,N,H,N,N,N,N,N,N,N,N,Yes,No,,,
1935,301012800066,1,30101280,H,N,L,L,H,N,L,L,L,L,L,L,Yes,Yes,No,,
1943,301012800128,1,30101280,H,L,L,H,N,H,H,L,L,H,L,L,Yes,Yes,Yes,,
1939,301012800172,1,30101280,L,L,L,L,H,L,H,L,L,L,L,L,Yes,Yes,Yes,,
1979,301020280258,1,30102028,N,N,N,N,L,L,L,H,H,H,H,H,Yes,Yes,Yes,,
2053,301084010268,1,30108401,N,N,N,N,N,N,H,H,N,N,N,N,No,No,,,
2189,303026010171,1,30302601,H,L,H,L,L,L,L,H,L,H,L,H,Yes,Yes,Yes,,
2223,303052770138,1,30305277,H,H,H,H,H,H,H,H,H,H,H,H,No,No,,,
