HHID,case_id,visit,ea_id,fs_c00,fs_c01a,fs_c01b,fs_c01c,fs_c02a,fs_c02b,fs_c02c,fs_c03a,fs_c03b,fs_c03c,fs_c04a,fs_c04b,fs_c04c
70,101034140064,2,10103414,1,0,0,0,2,3,3,2,3,3,0,0,0
78,101034140075,2,10103414,1,0,0,0,1,1,2,1,1,2,0,0,0
182,102037440006,2,10203744,1,0,0,0,8,3,7,8,3,7,0,0,0
188,102037440017,2,10203744,1,0,0,0,14,4,8,14,4,8,0,0,0
170,102037440095,2,10203744,1,20,5,12,0,0,0,20,5,12,0,0,0
184,102037440112,2,10203744,1,8,7,12,0,0,0,8,7,12,0,0,0
232,102201030035,2,10220103,2,0,0,0,0,0,0,0,0,0,14,6,6
248,102201030110,2,10220103,1,0,0,0,6,2,12,6,2,12,0,0,0
254,102201030125,2,10220103,1,25,6,12,0,0,0,25,6,12,0,0,0
254,102201030125,2,10220103,2,0,0,0,0,0,0,0,0,0,25,6,8
240,102201030133,2,10220103,1,24,7,12,0,0,0,24,7,12,0,0,0
236,102201030155,2,10220103,1,28,6,10,0,0,0,28,7,10,0,0,0
203,102207050206,1,10220705,1,4,6,4,0,0,0,4,6,4,0,0,0
251,103016630307,1,10301663,1,0,0,0,0,0,0,0,0,0,22,6,6
273,103020100009,1,10302010,1,0,0,0,0,0,0,0,0,0,0,0,0
263,103020100028,1,10302010,2,0,0,0,1,4,6,0,0,0,0,0,0
279,103020100047,1,10302010,1,0,0,0,4,5,7,0,0,0,0,0,0
291,103040120101,1,10304012,1,0,0,0,1,6,3,0,0,0,0,0,0
301,103040120129,1,10304012,1,4,3,5,0,0,0,4,9,9,0,0,0
268,103054460016,2,10305446,1,4,7,10,0,0,0,0,0,0,4,7,10
268,103054460016,2,10305446,2,4,7,10,0,0,0,0,0,0,4,7,10
268,103054460016,2,10305446,3,4,7,10,0,0,0,0,0,0,4,7,10
266,103054460029,2,10305446,1,8,3,7,0,0,0,0,0,0,8,7,10
331,103074130190,1,10307413,1,0,0,0,3,5,9,0,0,0,0,0,0
298,103086360072,2,10308636,1,0,0,0,0,0,0,0,0,0,4,3,6
314,103086360081,2,10308636,2,0,0,0,0,0,0,0,0,0,10,3,4
300,103086360090,2,10308636,1,0,0,0,0,0,0,0,0,0,12,3,6
300,103086360090,2,10308636,2,0,0,0,0,0,0,0,0,0,10,4,4
294,103086360099,2,10308636,1,4,6,10,0,0,0,0,0,0,4,6,10
316,103086360135,2,10308636,1,16,5,4,0,0,0,0,0,0,0,0,0
306,103086360153,2,10308636,2,0,0,0,0,0,0,0,0,0,12,4,2
388,104041860008,2,10404186,2,0,0,0,12,4,6,0,0,0,0,0,0
396,104041860012,2,10404186,1,24,7,4,0,0,0,0,0,0,0,0,0
384,104041860017,2,10404186,1,24,7,5,0,0,0,0,0,0,0,0,0
404,104041860021,2,10404186,4,0,0,0,8,3,4,0,0,0,0,0,0
410,104041860030,2,10404186,1,0,0,0,0,0,0,0,0,0,9,4,5
410,104041860030,2,10404186,2,0,0,0,8,3,4,0,0,0,0,0,0
386,104041860034,2,10404186,1,6,3,6,0,0,0,3,2,4,0,0,0
386,104041860034,2,10404186,3,4,2,4,2,3,3,0,0,0,0,0,0
406,104041860039,2,10404186,1,0,0,0,0,0,0,6,4,6,12,3,4
406,104041860039,2,10404186,2,0,0,0,0,0,0,0,0,0,15,4,6
406,104041860039,2,10404186,4,0,0,0,10,4,3,0,0,0,0,0,0
394,104041860043,2,10404186,1,5,2,6,0,0,0,5,2,1,0,0,0
408,104041860061,2,10404186,1,8,6,10,0,0,0,0,0,0,8,6,10
390,104041860065,2,10404186,1,0,0,0,4,6,7,0,0,0,2,5,6
412,104041860083,2,10404186,2,0,0,0,0,0,0,0,0,0,4,3,3
424,105015050001,2,10501505,1,0,0,0,0,0,0,0,0,0,6,5,4
501,105033670018,1,10503367,1,0,0,0,0,0,0,0,0,0,10,1,5
633,107321920281,1,10732192,1,0,0,0,0,0,0,0,0,0,0,0,0
764,107462440085,2,10746244,2,0,0,0,0,0,0,0,0,0,4,6,6
793,201106200267,1,20110620,1,0,0,0,0,0,0,0,0,0,3,6,7
973,204040320072,1,20404032,1,0,0,0,0,0,0,0,0,0,4,2,5
1107,205083490010,1,20508349,1,0,0,0,0,0,0,0,0,0,16,6,10
1091,205083490121,1,20508349,,,,,,,,,,,,,
1381,207053720086,1,20705372,2,0,0,0,0,0,0,0,0,0,4,4,8
1429,207061630586,1,20706163,1,0,0,0,0,0,0,0,0,0,4,7,10
1461,208044050092,1,20804405,1,0,0,0,0,0,0,0,0,0,36,6,9
1637,210375360135,1,21037536,1,0,0,0,0,0,0,0,0,0,4,7,8
1951,301012800005,1,30101280,1,0,0,0,0,0,0,0,0,0,7,7,7
