HHID,case_id,visit,ea_id,fs_d0c,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13,fs_d14a,fs_d14b,fs_d14c,fs_d14d
70,101034140064,2,10103414,bwato (dugout),No,,,,,,,3,2,0,0
70,101034140064,2,10103414,plankboat,No,,,,,,,,,,
70,101034140064,2,10103414,outboard engine,No,,,,,,,,,,
70,101034140064,2,10103414,"other, specify",No,,,,,,,,,,
70,101034140064,2,10103414,"other, specify",No,,,,,,,,,,
78,101034140075,2,10103414,bwato (dugout),No,,,,,,,0,0,0,0
78,101034140075,2,10103414,plankboat,No,,,,,,,,,,
78,101034140075,2,10103414,outboard engine,No,,,,,,,,,,
78,101034140075,2,10103414,"other, specify",No,,,,,,,,,,
78,101034140075,2,10103414,"other, specify",No,,,,,,,,,,
182,102037440006,2,10203744,bwato (dugout),Yes,1,0,15000,0,10000,7200,4,8,0,0
182,102037440006,2,10203744,plankboat,No,,,,,,,,,,
182,102037440006,2,10203744,outboard engine,No,,,,,,,,,,
182,102037440006,2,10203744,"other, specify",No,,,,,,,,,,
182,102037440006,2,10203744,"other, specify",No,,,,,,,,,,
188,102037440017,2,10203744,bwato (dugout),Yes,4,1,15000,0,5000,10000,5,14,0,0
188,102037440017,2,10203744,plankboat,No,,,,,,,,,,
188,102037440017,2,10203744,outboard engine,No,,,,,,,,,,
188,102037440017,2,10203744,"other, specify",No,,,,,,,,,,
188,102037440017,2,10203744,"other, specify",No,,,,,,,,,,
170,102037440095,2,10203744,bwato (dugout),Yes,3,0,12000,0,12000,0,4,20,0,0
170,102037440095,2,10203744,plankboat,No,,,,,,,,,,
170,102037440095,2,10203744,outboard engine,No,,,,,,,,,,
170,102037440095,2,10203744,"other, specify",No,,,,,,,,,,
170,102037440095,2,10203744,"other, specify",No,,,,,,,,,,
184,102037440112,2,10203744,bwato (dugout),Yes,2,0,10000,0,7000,0,4,8,0,0
184,102037440112,2,10203744,plankboat,No,,,,,,,,,,
184,102037440112,2,10203744,outboard engine,No,,,,,,,,,,
184,102037440112,2,10203744,"other, specify",No,,,,,,,,,,
184,102037440112,2,10203744,"other, specify",No,,,,,,,,,,
232,102201030035,2,10220103,bwato (dugout),No,,,,,,,0,0,0,0
232,102201030035,2,10220103,plankboat,No,,,,,,,,,,
232,102201030035,2,10220103,outboard engine,No,,,,,,,,,,
232,102201030035,2,10220103,"other, specify",No,,,,,,,,,,
232,102201030035,2,10220103,"other, specify",No,,,,,,,,,,
248,102201030110,2,10220103,bwato (dugout),Yes,3,3,12000,0,0,1200,5,6,0,0
248,102201030110,2,10220103,plankboat,No,,,,,,,,,,
248,102201030110,2,10220103,outboard engine,No,,,,,,,,,,
248,102201030110,2,10220103,"other, specify",No,,,,,,,,,,
248,102201030110,2,10220103,"other, specify",No,,,,,,,,,,
254,102201030125,2,10220103,bwato (dugout),Yes,3,3,17000,0,0,0,6,25,0,0
254,102201030125,2,10220103,plankboat,No,,,,,,,,,,
254,102201030125,2,10220103,outboard engine,No,,,,,,,,,,
254,102201030125,2,10220103,"other, specify",No,,,,,,,,,,
254,102201030125,2,10220103,"other, specify",No,,,,,,,,,,
240,102201030133,2,10220103,bwato (dugout),Yes,1,1,5000,0,0,0,4,24,0,0
240,102201030133,2,10220103,plankboat,No,,,,,,,,,,
240,102201030133,2,10220103,outboard engine,No,,,,,,,,,,
240,102201030133,2,10220103,"other, specify",No,,,,,,,,,,
240,102201030133,2,10220103,"other, specify",No,,,,,,,,,,
236,102201030155,2,10220103,bwato (dugout),Yes,3,3,17000,0,0,10000,4,28,0,0
236,102201030155,2,10220103,plankboat,No,,,,,,,,,,
236,102201030155,2,10220103,outboard engine,No,,,,,,,,,,
236,102201030155,2,10220103,"other, specify",No,,,,,,,,,,
236,102201030155,2,10220103,"other, specify",No,,,,,,,,,,
203,102207050206,1,10220705,bwato (dugout),Yes,1,1,15000,0,0,0,0,0,0,0
203,102207050206,1,10220705,plankboat,No,,,,,,,,,,
203,102207050206,1,10220705,outboard engine,No,,,,,,,,,,
203,102207050206,1,10220705,"other, specify",No,,,,,,,,,,
203,102207050206,1,10220705,"other, specify",No,,,,,,,,,,
251,103016630307,1,10301663,bwato (dugout),No,,,,,,,0,0,0,0
251,103016630307,1,10301663,plankboat,No,,,,,,,,,,
251,103016630307,1,10301663,outboard engine,No,,,,,,,,,,
251,103016630307,1,10301663,"other, specify",No,,,,,,,,,,
251,103016630307,1,10301663,"other, specify",No,,,,,,,,,,
273,103020100009,1,10302010,bwato (dugout),No,,,,,,,0,0,0,0
273,103020100009,1,10302010,plankboat,No,,,,,,,,,,
273,103020100009,1,10302010,outboard engine,No,,,,,,,,,,
273,103020100009,1,10302010,"other, specify",No,,,,,,,,,,
273,103020100009,1,10302010,"other, specify",No,,,,,,,,,,
263,103020100028,1,10302010,bwato (dugout),No,,,,,,,0,0,0,0
263,103020100028,1,10302010,plankboat,No,,,,,,,,,,
263,103020100028,1,10302010,outboard engine,No,,,,,,,,,,
263,103020100028,1,10302010,"other, specify",No,,,,,,,,,,
263,103020100028,1,10302010,"other, specify",No,,,,,,,,,,
279,103020100047,1,10302010,bwato (dugout),No,,,,,,,0,0,0,0
279,103020100047,1,10302010,plankboat,No,,,,,,,,,,
279,103020100047,1,10302010,outboard engine,No,,,,,,,,,,
279,103020100047,1,10302010,"other, specify",No,,,,,,,,,,
279,103020100047,1,10302010,"other, specify",No,,,,,,,,,,
291,103040120101,1,10304012,bwato (dugout),No,,,,,,,0,0,0,0
291,103040120101,1,10304012,plankboat,No,,,,,,,,,,
291,103040120101,1,10304012,outboard engine,No,,,,,,,,,,
291,103040120101,1,10304012,"other, specify",No,,,,,,,,,,
291,103040120101,1,10304012,"other, specify",No,,,,,,,,,,
301,103040120129,1,10304012,bwato (dugout),Yes,1,1,20000,0,0,0,2,4,0,0
301,103040120129,1,10304012,plankboat,No,,,,,,,,,,
301,103040120129,1,10304012,outboard engine,No,,,,,,,,,,
301,103040120129,1,10304012,"other, specify",No,,,,,,,,,,
301,103040120129,1,10304012,"other, specify",No,,,,,,,,,,
268,103054460016,2,10305446,bwato (dugout),Yes,1,0,250000,0,0,0,0,0,0,0
268,103054460016,2,10305446,plankboat,No,,,,,,,,,,
268,103054460016,2,10305446,outboard engine,No,,,,,,,,,,
268,103054460016,2,10305446,"other, specify",No,,,,,,,,,,
268,103054460016,2,10305446,"other, specify",No,,,,,,,,,,
266,103054460029,2,10305446,bwato (dugout),Yes,1,0,30000,0,4000,0,0,0,0,0
266,103054460029,2,10305446,plankboat,No,,,,,,,,,,
266,103054460029,2,10305446,outboard engine,No,,,,,,,,,,
266,103054460029,2,10305446,"other, specify",No,,,,,,,,,,
266,103054460029,2,10305446,"other, specify",No,,,,,,,,,,
331,103074130190,1,10307413,bwato (dugout),No,,,,,,,0,0,0,0
331,103074130190,1,10307413,plankboat,No,,,,,,,,,,
331,103074130190,1,10307413,outboard engine,No,,,,,,,,,,
331,103074130190,1,10307413,"other, specify",No,,,,,,,,,,
331,103074130190,1,10307413,"other, specify",No,,,,,,,,,,
298,103086360072,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
298,103086360072,2,10308636,plankboat,No,,,,,,,,,,
298,103086360072,2,10308636,outboard engine,No,,,,,,,,,,
298,103086360072,2,10308636,"other, specify",No,,,,,,,,,,
298,103086360072,2,10308636,"other, specify",No,,,,,,,,,,
314,103086360081,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
314,103086360081,2,10308636,plankboat,No,,,,,,,,,,
314,103086360081,2,10308636,outboard engine,No,,,,,,,,,,
314,103086360081,2,10308636,"other, specify",No,,,,,,,,,,
314,103086360081,2,10308636,"other, specify",No,,,,,,,,,,
300,103086360090,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
300,103086360090,2,10308636,plankboat,No,,,,,,,,,,
300,103086360090,2,10308636,outboard engine,No,,,,,,,,,,
300,103086360090,2,10308636,"other, specify",No,,,,,,,,,,
300,103086360090,2,10308636,"other, specify",No,,,,,,,,,,
294,103086360099,2,10308636,bwato (dugout),Yes,1,0,10000,0,0,0,0,0,0,0
294,103086360099,2,10308636,plankboat,No,,,,,,,,,,
294,103086360099,2,10308636,outboard engine,No,,,,,,,,,,
294,103086360099,2,10308636,"other, specify",No,,,,,,,,,,
294,103086360099,2,10308636,"other, specify",No,,,,,,,,,,
316,103086360135,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
316,103086360135,2,10308636,plankboat,No,,,,,,,,,,
316,103086360135,2,10308636,outboard engine,No,,,,,,,,,,
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
