occ,y2_hhid,qx_type,interview_status,fs_d0c,fs_d0d,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
1,0163-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0163-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0163-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0163-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0163-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0182-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0182-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0182-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0182-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0182-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,3,3,50000,0,0,17000
2,0192-003,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0192-003,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0192-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0192-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0203-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,1,35000,0,0,1000
2,0203-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0203-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0203-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0203-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0232-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,3,2,85000,0,5000,16000
2,0232-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0232-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0232-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0232-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0240-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0240-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0240-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
