HHID,case_id,visit,ea_id,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_d18d,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
70,101034140064,2,10103414,Yes,200,0,Yes,2,Other(specify),0,Piece,No,,,2,,Yes,MADEYA,300,Week
78,101034140075,2,10103414,,,,,,,,,,,,,,Yes,MADEYA,3400,Season
182,102037440006,2,10203744,No,,,No,,,,,Yes,1500,0,0,0,Yes,HARRICANE SERVICE,500,Season
188,102037440017,2,10203744,No,,,No,,,,,Yes,4400,0,0,0,No,,,
170,102037440095,2,10203744,No,,,No,,,,,Yes,14000,0,0,0,Yes,PARAFIN SPIRIT,5000,Week
184,102037440112,2,10203744,No,,,No,,,,,Yes,8400,0,0,0,Yes,PARAFIN SPIRIT,3000,Week
232,102201030035,2,10220103,,,,,,,,,,,,,,No,,,
248,102201030110,2,10220103,No,,,No,,,,,Yes,1000,0,0,0,No,,,
254,102201030125,2,10220103,Yes,25,2000,Yes,1,Other(specify),,,No,,,0,0,Yes,NKHAFI PLASTIC PLATE PARAFFIN,8000,Season
240,102201030133,2,10220103,Yes,1400,,Yes,2,Other(specify),,,No,,,0,0,Yes,PARAFFIN,2000,Week
236,102201030155,2,10220103,Yes,8750,,Yes,1,Other(specify),0,,No,,,0,0,Yes,PARAFIN NKHAFI,8000,Season
203,102207050206,1,10220705,,,,,,,,,,,,,,Yes,NKHAFI THREAD,8000,Season
251,103016630307,1,10301663,,,,,,,,,,,,,,No,,,
273,103020100009,1,10302010,,,,,,,,,,,,,,No,,,
263,103020100028,1,10302010,,,,,,,,,,,,,,No,,,
279,103020100047,1,10302010,,,,,,,,,,,,,,No,,,
291,103040120101,1,10304012,,,,,,,,,,,,,,No,,,
301,103040120129,1,10304012,No,,,Yes,12,Piece,,,No,,,0,0,Yes,BUYING ULUSI FOR FIXING GEARS,120,Week
268,103054460016,2,10305446,,,,,,,,,,,,,,No,,,
266,103054460029,2,10305446,,,,,,,,,,,,,,No,,,
331,103074130190,1,10307413,,,,,,,,,,,,,,No,,,
298,103086360072,2,10308636,,,,,,,,,,,,,,No,,,
314,103086360081,2,10308636,,,,,,,,,,,,,,No,,,
300,103086360090,2,10308636,,,,,,,,,,,,,,No,,,
294,103086360099,2,10308636,,,,,,,,,,,,,,No,,,
316,103086360135,2,10308636,,,,,,,,,,,,,,No,,,
306,103086360153,2,10308636,,,,,,,,,,,,,,No,,,
388,104041860008,2,10404186,,,,,,,,,,,,,,Yes,PARAFIN KOLOBOYI,3000,Season
396,104041860012,2,10404186,,,,,,,,,,,,,,Yes,PARAFIN KOLOBOYI,8000,Season
384,104041860017,2,10404186,,,,,,,,,,,,,,No,,,
404,104041860021,2,10404186,,,,,,,,,,,,,,No,,,
410,104041860030,2,10404186,,,,,,,,,,,,,,No,,,
386,104041860034,2,10404186,,,,,,,,,,,,,,Yes,BUYING NYLON TO MEND THE NETS,3000,Season
406,104041860039,2,10404186,,,,,,,,,,,,,,Yes,NYLON FOR MENDING NETS,2000,Season
394,104041860043,2,10404186,,,,,,,,,,,,,,Yes,BUYING NYLON TO MEND NETS,4200,Season
408,104041860061,2,10404186,,,,,,,,,,,,,,No,,,
390,104041860065,2,10404186,,,,,,,,,,,,,,No,,,
412,104041860083,2,10404186,,,,,,,,,,,,,,No,,,
424,105015050001,2,10501505,,,,,,,,,,,,,,No,,,
501,105033670018,1,10503367,,,,,,,,,,,,,,No,,,
633,107321920281,1,10732192,,,,,,,,,,,,,,No,,,
764,107462440085,2,10746244,,,,,,,,,,,,,,No,,,
793,201106200267,1,20110620,,,,,,,,,,,,,,No,,,
973,204040320072,1,20404032,,,,,,,,,,,,,,No,,,
1107,205083490010,1,20508349,,,,,,,,,,,,,,No,,,
