occ,y2_hhid,qx_type,interview_status,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_d18d,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
1,0163-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0192-003,PANEL B,Panel B - 2 Visits,NO,,,YES,4,DOZEN/BUNDLE,0,0,YES,1000,0,0,0,NO,,,
1,0203-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0232-001,PANEL B,Panel B - 2 Visits,NO,,,YES,1,DOZEN/BUNDLE,0,,YES,2000,0,0,0,NO,,,
1,0240-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0266-001,PANEL B,Panel B - 2 Visits,YES,1500,0,YES,2,SMALL BASKET,0,0,YES,500,0,0,0,NO,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,YES,YES,800,SEASON
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0306-004,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,YES,YES,6800,SEASON
1,0316-001,PANEL B,Panel B - 2 Visits,NO,,,YES,2,SMALL BASKET,0,0,NO,,,0,0,NO,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0355-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0384-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0390-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0406-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0508-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,0782-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1069-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1659-005,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,NO,,,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1804-001,PANEL B,Panel B - 2 Visits,YES,5000,0,NO,,,,,NO,,,0,0,YES,YES,420000,WEEK
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,1921-001,PANEL A,Panel A - 2 Visits,YES,7000,3500,YES,1,5 KG BAG,1,5 KG BAG,NO,,,1500,1500,YES,,3500,SEASON
1,1935-001,PANEL A,Panel A - 2 Visits,NO,,,YES,1,5 KG BAG,4,,YES,6000,0,3000,0,YES,YES,1200,WEEK
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,YES,,2100,WEEK
1,1949-001,PANEL A,Panel A - 2 Visits,NO,,,NO,,,,,YES,1000,0,520,0,NO,,,
1,1951-001,PANEL A,Panel A - 2 Visits,NO,,,YES,7,5 KG BAG,7,5 KG BAG,YES,21000,14000,1400,1400,NO,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
