HHID,case_id,visit,ea_id,fs_e01,fs_e02,fs_e02_os,fs_e03,fs_e04a,fs_e04b,fs_e04b_os,fs_e04c,fs_e04c_os,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06b_os,fs_e06c,fs_e06c_os,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e07_os,fs_e08a,fs_e08b,fs_e08b_os,fs_e08c,fs_e08c_os,fs_e08d,fs_e08e,fs_e08f,fs_e08f_os,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e10_os,fs_e11a,fs_e11b,fs_e11b_os,fs_e11c,fs_e11c_os,fs_e11d,fs_e11e,fs_e11e_os,fs_e11f,fs_e12,fs_e13,fs_e13_os
70,101034140064,2,10103414,Yes,Chambo,,2,30,Piece,,Fresh,,,,,60,,60,Piece,,Fresh,,,,,"Yes, the figures matched",,25,Piece,,Fresh,,200,,,,,,2,No,,5,Piece,,Fresh,,,,,,Almost none,"Yes, the figures matched",
78,101034140075,2,10103414,Yes,Chambo,,1,115,Piece,,Fresh,,,,,115,,115,Piece,,Fresh,,,,,"Yes, the figures matched",,97,Piece,,Fresh,,250,,,,,,1,No,,18,Piece,,Fresh,,,,,,Almost none,"Yes, the figures matched",
182,102037440006,2,10203744,Yes,Chambo,,8,40,Piece,,Fresh,,,,,320,,320,Piece,,Fresh,,,,,,,35,Piece,,Fresh,,100,,,,,,8,No,,5,Piece,,Fresh,,,,,,Almost none,,
182,102037440006,2,10203744,Yes,Usipa,,8,28,Other (specify),SMALL PAIL,Fresh,,,,,224,,224,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,27,Other (specify),SMALL PAIL,Fresh,,800,,,,,,8,No,SMALL PAIL,1,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
188,102037440017,2,10203744,Yes,Chambo,,10,55,Piece,,Fresh,,,,,550,,550,Piece,,Fresh,,,,,,,50,Piece,,Fresh,,100,,,,,,10,No,,5,Piece,,Fresh,,,,,,Almost none,,
188,102037440017,2,10203744,Yes,Usipa,,14,40,Other (specify),SMALL PAIL,Fresh,,,,,560,,560,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,39,Other (specify),SMALL PAIL,Fresh,,600,,,,,,14,No,,.5,Other (specify),SMALL PAIL,Fresh,,.5,Other (specify),SMALL PAIL,Sun-dried,Almost none,"Yes, the figures matched",
188,102037440017,2,10203744,Yes,Utaka,,10,15,Other (specify),SMALL PAIL,Fresh,,,,,150,,150,Other (specify),SMALL PAIL,Fresh,,,,,,,14,Other (specify),SMALL PAIL,Fresh,,500,,,,,,10,No,,1,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,,
170,102037440095,2,10203744,Yes,Usipa,,20,150,Other (specify),10 LITTER PAIL,Fresh,,,,,3000,,3000,Other (specify),10 LITTER PAIL,Fresh,,,,,"Yes, the figures matched",,148,Other (specify),10 LITTER PAIL,Fresh,,500,,,,,,20,No,,2,Other (specify),10 LITTER PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
184,102037440112,2,10203744,Yes,Usipa,,8,48,Other (specify),10 LITRE PAIL,Fresh,,,,,384,,384,Other (specify),10 LITRE PAIL,Fresh,,,,,"Yes, the figures matched",,47,Other (specify),10 LITRE PAIL,Fresh,,500,,,,,,8,No,,1,Other (specify),10 LITRE PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
232,102201030035,2,10220103,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,102201030110,2,10220103,Yes,Matemda,,6,15,Other (specify),SMAIL PAIL,Fresh,,,,,90,,909,Other (specify),SMAIL PAIL,Fresh,,,,,,,14.5,Other (specify),SMAIL PAIL,Fresh,,700,,,,,,6,No,,.5,Other (specify),SMAIL PAIL,Fresh,,.5,Other (specify),SMAIL PAIL,Sun-dried,Almost none,,
248,102201030110,2,10220103,Yes,Usipa,,6,15,Other (specify),SMAIL PAIL,Fresh,,,,,90,,90,Other (specify),SMAIL PAIL,Fresh,,,,,"Yes, the figures matched",,14.5,Other (specify),SMAIL PAIL,Fresh,,600,,,,,,6,No,,.5,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
254,102201030125,2,10220103,Yes,Usipa,,25,210,Other (specify),SMALL PAIL,Fresh,,,,,5250,,5250,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,198,Other (specify),SMALL PAIL,Fresh,,400,,,,,,25,No,,12,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
240,102201030133,2,10220103,Yes,Makakani,,24,245,Other (specify),SMALL PAIL,Fresh,,,,,5880,,588,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,238,Other (specify),SMALL PAIL,Fresh,,500,,,,,,24,No,,7,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
236,102201030155,2,10220103,Yes,Usipa,,28,180,Other (specify),SMALL PAIL,Fresh,,,,,5040,,5040,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,168,Other (specify),10LTS PAIL,Fresh,,500,,,,,,28,No,,12,Other (specify),SMALL PAIL,Fresh,,,,,,Almost none,"Yes, the figures matched",
203,102207050206,1,10220705,Yes,Makakani,,4,24,Piece,,Fresh,,,,,96,,96,Piece,,Fresh,,,,,"Yes, the figures matched",,19,Piece,,Fresh,,600,,,,,,4,No,NO NOTES,5,Piece,,Fresh,,,,,,Almost none,"Yes, the figures matched",
203,102207050206,1,10220705,Yes,Chambo,,12,60,Piece,,Fresh,,,,,720,,720,Piece,,Fresh,,,,,,,48,Piece,,Fresh,,300,,,,,,4,Yes,,12,Piece,,Fresh,,,,,,Almost none,,
251,103016630307,1,10301663,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,103020100009,1,10302010,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,103020100028,1,10302010,Yes,Utaka,,1,10,Piece,,Fresh,,,,,10,,10,Piece,,Fresh,,,,,"Yes, the figures matched",,0,,,,,,,,,,,0,Yes,,10,Piece,,Fresh,,,,,,Almost all,"Yes, the figures matched",
279,103020100047,1,10302010,Yes,Chambo,,1,1,Dozen,,Fresh,,,,,1,,1,Dozen,,Fresh,,,,,"Yes, the figures matched",,,,,,,,,,,,,0,Yes,,1,Dozen,,Fresh,,,,,,Almost all,"Yes, the figures matched",
279,103020100047,1,10302010,Yes,Ncheni,,3,2,Dozen,,Fresh,,,,,6,,2,Dozen,,Fresh,,,,,,,,,,,,,,,,,,0,Yes,,2,Dozen,,Fresh,,,,,,Almost all,,
291,103040120101,1,10304012,Yes,Utaka,,1,1,Small basket,,Fresh,,,,,1,,1,Small basket,,Fresh,,,,,"Yes, the figures matched",,0,,,,,,,,,,,0,Yes,,1,Small basket,,Fresh,,,,,,Almost all,"Yes, the figures matched",
301,103040120129,1,10304012,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THI,,,,,,,,,,,,SOME WERE GIVEOUT AS GIFT TO OTHER PEOPLE
268,103054460016,2,10305446,Yes,Matemda,,4,10,Dozen,,Fresh,,,,,40,,40,Dozen,,Fresh,,,,,"Yes, the figures matched",,20,Dozen,,Fresh,,16500,,,,,,4,No,,20,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
268,103054460016,2,10305446,Yes,Usipa,,4,10,Dozen,,Fresh,,,,,40,,40,Dozen,,Fresh,,,,,,,20,Dozen,,Fresh,,16500,,,,,,4,No,,20,Dozen,,Fresh,,,,,,1/2,,
266,103054460029,2,10305446,Yes,Usipa,,8,10,Dozen,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,"Yes, the figures matched",,40,Dozen,,Fresh,,5000,,,,,,8,No,,40,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
331,103074130190,1,10307413,Yes,Matemda,,2,1,Dozen,,Fresh,,,,,2,,1,Dozen,,Fresh,,,,,,,1,Small basket,,Smoked,,700,,,,,,1,Yes,,1,Other (specify),COAIR,Sun-dried,,,,,,1/2,,
331,103074130190,1,10307413,Yes,Chambo,,2,9,Piece,,Fresh,,,,,18,,9,Piece,,Fresh,,,,,"Yes, the figures matched",,1,Dozen,,Fresh,,1000,,,,,,2,No,,2,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
331,103074130190,1,10307413,Yes,Usipa,,2,1,Dozen,,Fresh,,,,,2,,1,Dozen,,Fresh,,,,,,,1,Small basket,,Fresh,,700,,,,,,1,Yes,,1,Other (specify),COAIR,Sun-dried,,,,,,1/2,,
298,103086360072,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,103086360099,2,10308636,Yes,Usipa,,4,20,Dozen,,Fresh,,20,Dozen,Sun-dried,80,80,40,Dozen,,Fresh,,40,Dozen,Sun-dried,"Yes, the figures matched",,30,Dozen,,Fresh,,4000,30,Dozen,,Sun-dried,4000,4,No,,10,Dozen,,Fresh,,10,Dozen,,Sun-dried,1/4,"Yes, the figures matched",
