occ,y2_hhid,qx_type,interview_status,fs_e0a,fs_e01,fs_e02,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e12,fs_e13
1,0163-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0182-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,1,YES,USIPA,10,60,OTHER (SPECIFY),FRESH,,,,600,,600,OTHER (SPECIFY),FRESH,,,,"YES, THE FIGURES MATCHED",59,OTHER (SPECIFY),FRESH,2500,,,,,10,NO,2,DOZEN/BUNDLE,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,0192-003,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,10,9,OTHER (SPECIFY),FRESH,,,,90,,90,OTHER (SPECIFY),FRESH,,,,,9,OTHER (SPECIFY),FRESH,2500,,,,,10,,1,PIECE,FRESH,,,,ALMOST NONE,
3,0192-003,PANEL B,Panel B - 2 Visits,3,YES,CHAMBO,7,15,PIECE,FRESH,,,,105,,105,PIECE,FRESH,,,,,12,PIECE,FRESH,150,,,,,7,,3,PIECE,FRESH,,,,ALMOST NONE,
1,0203-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0232-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,12,30,OTHER (SPECIFY),FRESH,,,,360,,360,OTHER (SPECIFY),FRESH,,,,"YES, THE FIGURES MATCHED",28,OTHER (SPECIFY),FRESH,2000,,,,,12,NO,2,OTHER (SPECIFY),FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,0232-001,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,8,6,OTHER (SPECIFY),FRESH,,,,48,,48,OTHER (SPECIFY),FRESH,,,,,47,OTHER (SPECIFY),FRESH,2000,,,,,8,,1,OTHER (SPECIFY),FRESH,,,,ALMOST NONE,
1,0240-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0266-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,4,3,LARGE BASKET,FRESH,,,,12,,3,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",2,LARGE BASKET,FRESH,5000,,,,,1,YES,1,SMALL BASKET,FRESH,,,,3/4,"YES, THE FIGURES MATCHED"
1,0268-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,1,YES,USIPA,1,17,LARGE BASKET,FRESH,,,,17,,17,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",17,LARGE BASKET,FRESH,68000,,,,,1,NO,1,SMALL BASKET,FRESH,,,,1/4,"YES, THE FIGURES MATCHED"
1,0300-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,6,3,LARGE BASKET,FRESH,,,,18,,18,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",3,LARGE BASKET,FRESH,9000,,,,,6,NO,0,0,0,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
